,prediction,real
0,130874.22771595254,122607.607757305
1,134934.11936281985,131473.429731963
2,139377.24837573612,140148.72875950902
3,144190.25973409915,147090.432562919
4,149193.23283126098,154059.967298452
5,154608.1421880315,161330.200798615
6,160253.9494263981,168807.12508727598
7,166162.26339974906,176498.08210550394
8,172170.00167007747,184242.95580117602
9,179370.70550118355,193145.481552867
10,189132.76548524562,204242.25188872105
11,196939.42486260942,213740.773655711
12,197963.3127115913,214333.00629035
13,199017.16797070304,214986.91777839602
14,200004.8622373371,215580.51271229397
15,200905.81285202407,216151.883229977
16,201725.7187482342,216641.35582533397
17,202051.41040908138,216714.11122357
18,199622.2055156207,214391.56924964802
19,200191.720095533,214603.944170334
20,200524.15411358076,214761.119692077
21,200934.99437329752,214840.63392172105
22,201263.0737724041,214918.538296369
23,201564.5299630285,215039.99643031397
24,200471.6170673982,213859.252826023
25,199062.6279997066,212394.33868383305
26,197773.15148045443,211095.547110813
27,196585.38374702394,209906.521100318
28,195247.60324215735,208546.896161247
29,193956.77209875005,207186.364355707
30,192730.05160237977,205961.435628152
31,191479.56080259,204680.83410777609
32,190061.5948780296,203274.1641799161
33,188895.80077450606,202052.238247832
34,187590.58935036723,200757.548614725
35,186344.73118688777,199503.96474134692
36,188436.09564391302,201303.82392401
37,190495.31688268285,203090.6932882389
38,192585.74532972823,204847.034298673
39,194592.79750220245,206587.597899195
40,196690.47574190778,208392.501378913
41,198698.90620299004,210112.040863325
42,200818.59811120265,211880.54235381892
43,203077.19347801438,213746.60127224305
44,205250.90840942907,215577.96455008892
45,207251.13171768887,217249.189850763
46,209478.89656372444,219163.969309944
47,211340.02429627633,220652.962647354
48,211685.2621796595,220811.20969881106
49,211942.52064107137,220858.109229497
50,211722.0807379077,220500.69084756
51,212149.26617683496,220706.8739171489
52,212209.99358934062,220542.941506886
53,212369.81786371846,220562.67279878398
54,212421.05751583277,220437.054168473
55,212534.64961986267,220338.733673212
56,212560.3046593226,220190.33891760398
57,212722.00018511372,220185.869295848
58,212664.02914931907,219973.41942400602
59,212844.42918971446,220005.53624781602
60,213300.07833663226,220395.91256919
61,213370.5893295023,220379.73446319
62,214002.2892278114,220951.913930437
63,214223.9151728992,221084.140065398
64,214664.4061779435,221441.279872188
65,214918.55523552938,221607.27859199198
66,215451.14653742992,222106.34373743398
67,215531.85748684563,222133.18444413305
68,216074.7025378692,222601.742900028
69,216530.1757945013,222922.010381817
70,216856.23482596138,223246.1565593861
71,217006.93781107225,223332.680481243
72,206944.75409304618,215323.662828121
73,208229.63307019093,216398.79347069692
74,209853.8667220436,217850.63323184
75,211652.93929887013,219383.272695716
