,prediction,real
0,3583.11112521,3594.0836264
1,3583.11112521,3594.0836264
2,3583.11112521,3594.0836264
3,3583.11112521,3594.0836264
4,3583.11112521,3594.0836264
5,3583.11112521,3594.0836264
6,3583.11112521,3594.0836264
7,3583.11112521,3594.0836264
8,9709.0752272,9659.29014696
9,5288.51874971,5255.11630389
10,7365.11337295,7313.26821668
11,6939.40326131,6889.26258024
12,6984.26093019,6933.89976478
13,7030.7436742,6980.16459763
14,7062.08594126,7011.3659127
15,7101.66293016,7050.77170418
16,7142.82323725,7091.76189642
17,7181.24100193,7130.02807644
18,7217.63415394,7166.28395332
19,7277.57597193,7226.01286625
20,7625.96632343,8233.72828246
21,7914.85384842,7861.95955569
22,4831.89430085,4806.95501922
23,5626.60686,5588.17625417
24,5668.1736812,5629.19053147
25,5750.20433372,5710.17065881
26,5811.18156942,5770.40056433
27,5868.96312489,5827.49975412
28,5933.50598208,5891.30944498
29,5992.23805523,5949.40043214
30,6051.83845204,6008.37512141
31,6108.42399498,6064.38930698
32,10192.6350702,11616.592124
33,5910.87426365,5868.93136
34,9926.46805572,9877.5458622
35,8662.97268695,8610.35001651
36,8750.68610845,8698.20319465
37,8783.72176743,8731.29673601
38,8771.15866525,8718.7112883
39,8750.12044416,8697.63656396
40,8674.2367102,8621.63083861
41,8635.28149132,8582.6189832
42,8598.75756161,8546.04571433
43,8557.48468006,8504.72152663
44,6015.38855978,5972.30494851
45,8796.59359841,8744.19188367
46,7165.97547487,7114.8219569
47,7493.93114186,7441.73125598
48,7401.74548904,7349.79225507
49,7389.45579646,7337.53817544
50,7404.64056611,7352.6790373
51,7417.80374419,7365.80495363
52,7428.65465439,7376.62570394
53,7439.61530226,7387.55639527
54,7452.06359124,7399.97127897
55,7462.6761849,7410.5559097
56,4467.718303,4451.11690608
57,6881.9584405,6832.11498676
58,5605.25745587,5567.11602367
59,5902.67251734,5860.82244637
60,5908.05718029,5866.14610712
61,5918.6848141,5876.65395927
62,5929.81537083,5887.65994204
63,5943.71489891,5901.40515884
64,5956.36264431,5913.91369425
65,5967.87454515,5925.29987993
66,5981.99874172,5939.27112077
67,5995.30520876,5952.43477886
68,3988.18696955,3985.09883333
69,7437.21482892,7385.16243906
70,5503.95304657,5467.23449744
71,5969.42126966,5926.8297854
72,5988.37237572,5945.57619509
73,6017.66707638,5974.55945754
74,6038.09494174,5994.77370171
75,6058.18226385,6014.65378637
76,6077.25704632,6033.53435027
77,6092.87900659,6048.99910323
78,6108.87334675,6064.83420883
79,6124.76580239,6080.57015842
80,3583.11112521,3594.0836264
81,6699.5419631,6650.75687141
82,4659.84317041,4638.65338068
83,5109.83202704,5079.49800694
84,5125.86734684,5095.24564253
85,5146.26623516,5115.2821342
86,5164.65256107,5133.34522298
87,5183.38298013,5151.74965227
88,5199.85422963,5167.9369628
89,5216.99149398,5184.78150324
90,5233.27125462,5200.78571836
91,5248.3450439,5215.60656009
92,4625.96035305,4605.54820025
93,5390.55576585,5355.53221578
94,5019.8137274,4991.14130589
95,5121.59236101,5091.04711034
96,5136.89690169,5106.07875657
97,5153.31381548,5122.20543563
98,5168.03175973,5136.66536374
99,5183.0757911,5151.44778292
100,5198.3821273,5166.49013365
101,5211.91085742,5179.78736395
102,5226.95961791,5194.58061842
103,5240.57798538,5207.96957588
104,5254.07474801,5221.24066507
105,5288.46669496,5255.06509995
106,5300.08788874,5266.49695946
107,5313.59272794,5279.78330707
108,5327.48762337,5293.45511035
109,5339.66066343,5305.43412234
110,5352.48733952,5318.05777869
111,5366.26887826,5331.62280812
112,5378.36415269,5343.52944423
113,5390.75993844,5355.73323692
114,5404.21979116,5368.98613567
115,5416.22061746,5380.80376996
116,6650.3634201,6601.89449011
117,3583.11112521,3594.0836264
118,4715.20808983,4692.77582143
119,4374.2097277,4360.00391902
120,4346.83226156,4333.34877437
121,4329.85630913,4316.82556145
122,4315.38210046,4302.74032644
123,4304.44764099,4292.10152797
124,4294.31912754,4282.24828186
125,4286.38086978,4274.52670964
126,4279.10691701,4267.45203987
127,4273.30510164,4261.80967791
128,5858.4557508,5817.11462215
129,3583.11112521,3594.0836264
130,4476.75991601,4459.93265221
131,4218.38125996,4208.41760679
132,4193.12182011,4183.87630926
133,4177.15948802,4168.37229795
134,4161.93772124,4153.59085975
135,4149.40078428,4141.41899807
136,4137.41536462,4129.78464152
137,4126.70320177,4119.38794913
138,4117.09609821,4110.06514477
139,4107.57645154,4100.82849438
140,15302.9780128,15285.1295442
141,15197.2207561,15178.7710556
142,15197.2207561,15178.7710556
143,15197.2207561,15178.7710556
144,15197.2207561,15178.7710556
145,15197.2207561,15178.7710556
146,15197.2207561,15178.7710556
147,15197.2207561,15178.7710556
148,15197.2207561,15178.7710556
149,15197.2207561,15178.7710556
150,15197.2207561,15178.7710556
151,15197.2207561,15178.7710556
152,3583.11112521,3594.0836264
153,3669.73543017,3677.4746702
154,3583.11112521,3594.0836264
155,3583.11112521,3594.0836264
156,3583.11112521,3594.0836264
157,3583.11112521,3594.0836264
158,3583.11112521,3594.0836264
159,3583.11112521,3594.0836264
160,3583.11112521,3594.0836264
161,3583.11112521,3594.0836264
162,3583.11112521,3594.0836264
163,3583.11112521,3594.0836264
164,8453.86018634,9301.40978832
165,3583.11112521,3594.0836264
166,5280.4686617,5247.19808286
167,4592.36953619,4572.74145076
168,4572.16209401,4553.01205407
169,4555.0081236,4536.26768215
170,4539.11614255,4520.75829174
171,4524.59017466,4506.58467419
172,4511.5373812,4493.85066437
173,4498.83301266,4481.45855043
174,4486.73060678,4469.65542958
175,4475.24526433,4458.45576775
176,15296.7136791,15278.8934009
177,8518.9537202,9386.42734101
178,3583.11112521,3594.0836264
179,3583.11112521,3594.0836264
180,3583.11112521,3594.0836264
181,3583.11112521,3594.0836264
182,3583.11112521,3594.0836264
183,3583.11112521,3594.0836264
184,3583.11112521,3594.0836264
185,3583.11112521,3594.0836264
186,3583.11112521,3594.0836264
187,3583.11112521,3594.0836264
188,3583.11112521,3594.0836264
189,3583.11112521,3594.0836264
190,3583.11112521,3594.0836264
191,3583.11112521,3594.0836264
192,3583.11112521,3594.0836264
193,3583.11112521,3594.0836264
194,3583.11112521,3594.0836264
195,3583.11112521,3594.0836264
196,3583.11112521,3594.0836264
197,3583.11112521,3594.0836264
198,3583.11112521,3594.0836264
199,3583.11112521,3594.0836264
200,4546.82860419,4528.28470346
201,3583.11112521,3594.0836264
202,3583.11112521,3594.0836264
203,3583.11112521,3594.0836264
204,3583.11112521,3594.0836264
205,3583.11112521,3594.0836264
206,3583.11112521,3594.0836264
207,3583.11112521,3594.0836264
208,3583.11112521,3594.0836264
209,3583.11112521,3594.0836264
210,3583.11112521,3594.0836264
211,3583.11112521,3594.0836264
212,6696.65666666,7070.11981529
213,3583.11112521,3594.0836264
214,4198.26246638,4188.87009806
215,3729.332463,3734.92133202
216,3711.79025387,3718.00591745
217,3699.20101254,3705.86965271
218,3686.97973705,3694.09065056
219,3675.65618008,3683.17912119
220,3665.06962139,3672.97973265
221,3655.12231191,3663.39794799
222,3645.70880371,3654.3319025
223,3636.75023599,3645.70541317
224,3583.11112521,3594.0836264
225,3828.82121904,3830.95040962
226,3583.11112521,3594.0836264
227,3583.11112521,3594.0836264
228,3583.11112521,3594.0836264
229,3583.11112521,3594.0836264
230,3583.11112521,3594.0836264
231,3583.11112521,3594.0836264
232,3583.11112521,3594.0836264
233,3583.11112521,3594.0836264
234,3583.11112521,3594.0836264
235,3583.11112521,3594.0836264
236,3583.11112521,3594.0836264
237,3583.11112521,3594.0836264
238,3583.11112521,3594.0836264
239,3583.11112521,3594.0836264
240,3583.11112521,3594.0836264
241,3583.11112521,3594.0836264
242,3583.11112521,3594.0836264
243,3583.11112521,3594.0836264
244,3583.11112521,3594.0836264
245,3583.11112521,3594.0836264
246,3583.11112521,3594.0836264
247,3583.11112521,3594.0836264
248,8995.21364683,10012.7313425
249,3583.11112521,3594.0836264
250,5123.96955628,5093.38177026
251,4371.07616035,4356.9525404
252,4354.79842418,4341.10376666
253,4334.20587281,4321.05876906
254,4316.50402153,4303.83199989
255,4300.16206487,4287.93225847
256,4284.9892134,4273.17312607
257,4270.76598705,4259.34048723
258,4257.3409207,4246.28655558
259,4244.450236,4233.75449804
260,8590.16715107,9479.60370061
261,3780.63593886,3784.42074731
262,6436.76610691,6389.83042985
263,5604.22254649,5566.09522539
264,5592.52673445,5554.55949027
265,5559.65815329,5522.1467369
266,5531.22847894,5494.11849071
267,5504.28989656,5467.56647525
268,5478.81329857,5442.46106327
269,5454.61070967,5418.61618584
270,5431.48924626,5395.84112531
271,5409.3029323,5373.99153038
272,5555.07854919,5517.63134697
273,5553.70489959,5516.27699107
274,5536.34007729,5499.15742006
275,5520.13754482,5483.18597752
276,5504.20247793,5467.48032094
277,5488.67382019,5452.17727133
278,5473.53839211,5437.26369531
279,5458.61942181,5422.56530528
280,5444.43065388,5408.58808173
281,5430.66600159,5395.03029901
282,5417.54826745,5382.11123012
283,5407.36870517,5372.08686073
284,4889.45998701,4863.338092
285,5918.17059546,5876.14551744
286,5397.58861956,5362.45672532
287,5518.40720417,5481.48044515
288,5520.92323628,5483.96041259
289,5521.7609115,5484.78609233
290,5521.85650547,5484.88031777
291,5520.89317088,5483.93077783
292,5520.99594277,5484.03207769
293,5519.12054182,5482.18355249
294,5518.07972732,5481.15766621
295,5516.4718669,5479.57288482
296,9164.83330136,9113.27050707
297,8926.21026831,8874.06667771
298,9107.65668518,9055.94276853
299,9113.8277211,9062.12976134
300,9165.41195065,9113.85072306
301,9208.21316746,9156.76986856
302,9248.4320326,9197.10318044
303,9285.88156543,9234.66239254
304,9318.15899469,9267.0367258
305,9350.37051154,9299.34710767
306,9378.95635689,9328.02247291
307,9405.12712664,9354.27665177
308,10460.7203661,10831.5803737
309,8392.61456402,8339.69502438
310,6626.31811596,6578.00867999
311,6571.60586519,6523.67153707
312,6848.10238417,6798.4420558
313,6874.94364633,6825.13764732
314,6914.77562094,6864.7603043
315,6949.66516314,6899.47315131
316,6984.89382843,6934.52962419
317,7018.04051946,6967.51993775
318,7049.45092936,6998.78714767
319,7085.48820894,7034.66604011
320,9292.28050895,9241.08037361
321,6940.03796316,6889.89409183
322,8067.58019042,8014.59568908
323,7815.30352557,7762.5126017
324,7832.01737402,7779.20656743
325,7847.57783406,7794.74944118
326,7862.09979445,7809.25578849
327,7877.16997922,7824.31058255
328,7893.91014758,7841.03461858
329,7908.51491786,7855.62613838
330,7923.86306368,7870.96118211
331,7940.22843854,7887.31351021
332,8259.32770857,9048.2187545
333,8386.45138218,8333.52754357
334,5037.23228443,5008.2321018
335,5994.29570899,5951.43606955
336,5983.94320596,5941.19463842
337,6021.14610074,5978.00189516
338,6051.38304846,6007.92440521
339,6080.06721041,6036.31611218
340,6109.25112646,6065.20824845
341,6136.09715413,6091.79095925
342,6159.42522788,6114.89414471
343,6189.47300894,6144.65758307
344,4295.97014608,4283.85433791
345,5610.49889506,5572.2861282
346,4961.31923109,4933.76980734
347,5129.10354441,5098.42408103
348,5143.22808757,5112.29770833
349,5161.8414654,5130.58333906
350,5182.30066996,5150.68608877
351,5201.09716736,5169.15857746
352,5222.01298109,5189.71773609
353,5243.39569349,5210.74003181
354,5262.96064662,5229.97889989
355,5284.61537624,5251.27679737
356,6133.59631533,6089.31444502
357,6121.75685262,6077.59070955
358,6155.95200877,6111.45417841
359,6187.82175233,6143.02179758
360,6217.32504324,6172.25135669
361,6248.06964179,6202.71673669
362,6274.28848761,6228.70227929
363,6296.91863425,6251.13458549
364,6319.62243592,6273.64316151
365,6343.04528839,6296.86799862
366,6363.79201361,6317.44218793
367,6384.04348933,6337.52781427
368,12002.6641997,11964.8106639
369,6019.36970706,5976.24417214
370,8653.0800454,8600.44290402
371,7971.66252345,7918.72518918
372,7980.07427751,7927.1315354
373,7981.51293877,7928.56929647
374,7967.1997856,7914.26542085
375,7947.61248831,7894.69198396
376,7929.13694522,7876.23075538
377,7907.89367243,7855.00544101
378,7885.89159834,7833.02367051
379,7863.94249657,7811.09656444
380,8055.89970584,8784.91958638
381,8274.27225602,8221.29035703
382,4986.44980457,4958.4136745
383,5845.93284287,5804.73847103
384,5823.94583651,5783.01195156
385,5838.94685281,5797.83485582
386,5854.95969677,5813.65942179
387,5870.07952598,5828.6032149
388,5895.44351208,5853.67566948
389,5912.0303995,5870.07444923
390,5924.80736332,5882.70787379
391,5937.92515287,5895.67952128
392,4627.87310459,4607.41669993
393,6196.92522406,6152.04019901
394,5404.75742032,5369.51553121
395,5601.95601449,5563.8596281
396,5613.28398623,5575.03340524
397,5628.22170735,5589.76937791
398,5643.69583904,5605.03640387
399,5670.25347552,5631.24303993
400,5688.59932046,5649.34967427
401,5705.79636468,5666.32488684
402,5720.18978207,5680.53441229
403,5736.54653925,5696.68414559
404,3622.56322996,3632.04711653
405,3904.95443087,3904.5424995
406,3698.49818705,3705.19219379
407,3720.37634785,3726.28458704
408,3709.74048957,3716.02972607
409,3696.11384124,3702.89396602
410,3688.89578295,3695.93719134
411,3682.33565113,3689.61528649
412,3677.8991664,3685.34032075
413,3673.69183061,3681.2864683
414,3670.59295906,3678.3008348
415,3668.23899059,3676.03299302
416,5058.56825457,5029.17070448
417,3583.11112521,3594.0836264
418,3829.52475687,3831.63004882
419,3614.59895573,3624.3811709
420,3612.0897987,3621.96623038
421,3609.86021952,3619.8204615
422,3607.96211599,3617.99377609
423,3606.29828116,3616.39259627
424,3604.81651122,3614.96666588
425,3603.48750369,3613.68777366
426,3602.28826952,3612.53378761
427,3601.20031778,3611.48690688
428,4364.43984422,4350.49069916
429,3601.8886427,3612.1492446
430,3836.63258905,3838.49687329
431,3722.79712886,3728.61891334
432,3717.13155326,3723.15582809
433,3708.80499628,3715.12783402
434,3701.76339851,3708.33962634
435,3696.07207161,3702.85370588
436,3689.87682842,3696.88267299
437,3688.76398071,3695.81016829
438,3684.2596072,3691.46930027
439,3679.14333781,3686.53916214
440,4825.24144664,4800.44111585
441,3611.96504395,3621.84616291
442,4067.8387664,4062.28603979
443,3911.21477781,3910.59789574
444,3900.37752065,3900.11580895
445,3890.35266449,3890.4211087
446,3882.09164077,3882.43331912
447,3874.69082355,3875.27818383
448,3867.13704482,3867.97604395
449,3861.16047741,3862.19920489
450,3854.92353287,3856.17128623
451,3848.73517943,3850.19093342
452,4062.16255781,4056.78240746
453,3787.56972953,3791.11400094
454,3907.16306983,3906.67876352
455,3871.91989219,3872.59945716
456,3865.57643733,3866.46753587
457,3859.72698043,3860.81369639
458,3853.7675541,3855.05411611
459,3847.94580099,3849.42813057
460,3842.29863785,3843.97137362
461,3836.80087092,3838.65945886
462,3831.63230518,3833.66605234
463,3826.85991274,3829.05576879
464,9852.40693346,11157.0385534
