,Unnamed: 0,p0,m0,p1,m1,p2,m2,p3,m3
0,0,21709.9333808,13.6657285421,30680.6638624,40.6166308572,4004.45395139,4.9475065844,0.0,0.0
1,1,21709.9333808,13.6657285421,23223.8415328,34.040070757,4192.13279246,5.08963223492,0.0,0.0
2,2,21709.9333808,13.6657285421,22492.2919019,33.3454903529,4104.15574245,5.02338409998,0.0,0.0
3,3,21709.9333808,13.6657285421,22686.0984522,33.5305007557,4129.06967199,5.04221091423,0.0,0.0
4,4,21709.9333808,13.6657285421,22674.7144721,33.5196535662,4133.35287043,5.04544230934,0.0,0.0
5,5,21709.9333808,13.6657285421,22689.313986,33.5335642142,4133.70753268,5.04570980942,0.0,0.0
6,6,21709.9333808,13.6657285421,22679.3717676,33.5240915578,4135.79143588,5.04728135556,0.0,0.0
7,7,21709.9333808,13.6657285421,22663.1101461,33.5085938461,4135.31798772,5.04692434353,0.0,0.0
8,8,21709.9333808,13.6657285421,22667.9400724,33.5131974136,4134.82083708,5.04654943785,0.0,0.0
9,9,21709.9333808,13.6657285421,22630.0323856,33.4770541864,4135.55734158,5.04710483494,0.0,0.0
10,10,21709.9333808,13.6657285421,22624.6919949,33.4719601368,4131.14180179,5.04377439545,0.0,0.0
11,11,21709.9333808,13.6657285421,22585.8086734,33.434853763,4128.23148632,5.0415783759,0.0,0.0
12,12,21709.9333808,13.6657285421,23643.5797084,34.4340604149,4269.00184635,5.1469903584,0.0,0.0
13,13,21709.9333808,13.6657285421,22585.6806471,33.434731539,4137.33968716,5.04844870983,0.0,0.0
14,14,21709.9333808,13.6657285421,23116.2227833,33.938527825,4202.83252265,5.09764518242,0.0,0.0
15,15,21709.9333808,13.6657285421,23011.8985506,33.8398858301,4191.13683838,5.08888589053,0.0,0.0
16,16,21709.9333808,13.6657285421,23017.6163169,33.845297482,4192.07559161,5.08958937218,0.0,0.0
17,17,21709.9333808,13.6657285421,23033.8600012,33.8606681525,4194.77830996,5.09161432415,0.0,0.0
18,18,21709.9333808,13.6657285421,23043.5305545,33.8698165984,4198.60286925,5.09447875788,0.0,0.0
19,19,21709.9333808,13.6657285421,23051.7713983,33.8776111319,4198.52813047,5.09442279326,0.0,0.0
20,20,21709.9333808,13.6657285421,23075.6369613,33.9001769552,4201.60337141,5.09672516126,0.0,0.0
21,21,21709.9333808,13.6657285421,23078.7479063,33.9031176852,4201.98112618,5.09700792443,0.0,0.0
22,22,21709.9333808,13.6657285421,23101.0973358,33.9242389151,4205.5838811,5.09970412569,0.0,0.0
23,23,21709.9333808,13.6657285421,23119.7374741,33.9418475148,4210.56804191,5.10343236866,0.0,0.0
24,24,21709.9333808,13.6657285421,23486.6141708,34.2871031836,4257.27797552,5.13827336219,0.0,0.0
25,25,21709.9333808,13.6657285421,23176.4897577,33.9954190157,4218.66249294,5.10948281058,0.0,0.0
26,26,21709.9333808,13.6657285421,23355.5751915,34.164073211,4243.31907651,5.12788004478,0.0,0.0
27,27,21709.9333808,13.6657285421,23367.1668233,34.1749691431,4245.97971482,5.12986228559,0.0,0.0
28,28,21709.9333808,13.6657285421,23369.4529249,34.1771177456,4246.87363882,5.1305281517,0.0,0.0
29,29,21709.9333808,13.6657285421,23408.9454729,34.2142197456,4253.19841082,5.13523749364,0.0,0.0
30,30,21709.9333808,13.6657285421,23440.9781647,34.2442923159,4257.92109407,5.13875182535,0.0,0.0
31,31,21709.9333808,13.6657285421,23467.4685134,34.2691474164,4261.71735558,5.1415754613,0.0,0.0
32,32,21709.9333808,13.6657285421,23493.2672408,34.2933411939,4265.46462326,5.14436151301,0.0,0.0
33,33,21709.9333808,13.6657285421,23533.8554708,34.3313797003,4271.52817079,5.1488672914,0.0,0.0
34,34,21709.9333808,13.6657285421,23553.7435589,34.3500074211,4274.24711562,5.15088675705,0.0,0.0
35,35,21709.9333808,13.6657285421,23605.1357567,34.3981092803,4281.94224185,5.15659900089,0.0,0.0
36,36,21709.9333808,13.6657285421,24270.0181855,35.0161366232,4414.16744496,5.25401978294,0.0,0.0
37,37,21709.9333808,13.6657285421,23572.1157692,34.3672089046,4282.38184145,5.15692518063,0.0,0.0
38,38,21709.9333808,13.6657285421,23893.6556111,34.6672675356,4321.9581978,5.18622725023,0.0,0.0
39,39,21709.9333808,13.6657285421,23807.7493057,34.5872831566,4309.88278054,5.17729992398,0.0,0.0
40,40,21709.9333808,13.6657285421,23798.257269,34.5784373123,4307.17793708,5.17529865138,0.0,0.0
41,41,21709.9333808,13.6657285421,23770.6726498,34.5527213654,4306.58739614,5.17486164165,0.0,0.0
42,42,21709.9333808,13.6657285421,23764.3708046,34.5468445022,4302.9556404,5.17217347357,0.0,0.0
43,43,21709.9333808,13.6657285421,23742.5682159,34.5265066983,4298.36376437,5.16877313397,0.0,0.0
44,44,21709.9333808,13.6657285421,23739.8496859,34.5239702078,4298.00184317,5.16850505539,0.0,0.0
