,t1,w1,t2
0,16.55760927,16.70068583,16.45598654
1,16.55673274,16.69725992,16.45254428
2,16.5550732,16.69325466,16.44532248
3,16.55453877,16.6886623,16.44137278
4,16.55379407,16.68385035,16.435679
5,16.55235001,16.67881019,16.42485801
6,16.55111849,16.67332161,16.41494897
7,16.55009973,16.66759605,16.40561633
8,16.54881327,16.66189482,16.39645761
9,16.54768965,16.65597063,16.38734982
10,16.54725636,16.64954709,16.38222146
11,16.54600373,16.64314258,16.37147161
12,16.54476858,16.63777987,16.36323839
13,16.54357038,16.63317535,16.35798807
14,16.54307714,16.62917797,16.35663625
15,16.54225034,16.62579403,16.35465869
16,16.54145117,16.62271812,16.35302557
17,16.54058971,16.61991973,16.35131366
18,16.53891722,16.61764787,16.3482943
19,16.53746158,16.61524739,16.34603187
20,16.53618769,16.61289065,16.34421868
21,16.53502406,16.61066103,16.34263984
22,16.53393145,16.60846348,16.3412031
23,16.5328871,16.60631575,16.33986236
24,16.53190056,16.60421646,16.33941798
25,16.53095025,16.60223527,16.34017029
26,16.52990094,16.60037782,16.34161565
27,16.52951595,16.59856471,16.34270805
28,16.52841647,16.59688365,16.34495821
29,16.5274405,16.59535299,16.34715437
30,16.52649333,16.59386915,16.34934543
31,16.52562937,16.59242491,16.35154695
32,16.5248102,16.59102373,16.35376732
33,16.52395233,16.5896622,16.35600032
34,16.52329925,16.58832943,16.35826739
35,16.52276126,16.58695388,16.35959335
36,16.52188531,16.58555527,16.36064361
37,16.52101218,16.58406106,16.3591471
38,16.52022,16.58236893,16.3562972
39,16.51937098,16.58051717,16.35269069
40,16.51902712,16.57856995,16.3503215
41,16.51810176,16.5765122,16.34535439
42,16.51724659,16.57441783,16.3405395
43,16.51641038,16.57224292,16.33581211
44,16.51560823,16.57002982,16.33111834
45,16.51479835,16.56779027,16.32643204
46,16.51395566,16.565534,16.32174234
47,16.51310495,16.56326581,16.31706393
48,16.51272232,16.56112161,16.31523586
49,16.51222148,16.55904375,16.31396241
50,16.51169821,16.55720666,16.31210205
51,16.51053658,16.5553644,16.3089686
52,16.51005808,16.55355595,16.30810104
53,16.50947436,16.55181615,16.30681499
54,16.50829553,16.55011252,16.30453847
55,16.50723289,16.5484316,16.30272737
56,16.50619668,16.54674599,16.30124242
57,16.50580954,16.54507133,16.30051747
58,16.505388,16.54343365,16.29987584
59,16.50482843,16.54189725,16.29893678
60,16.50367921,16.54028486,16.29712902
61,16.50263786,16.53865197,16.29545496
62,16.50175096,16.53696356,16.29387691
63,16.50094167,16.53526313,16.29235666
64,16.50009848,16.53355876,16.29087292
65,16.49929765,16.53185104,16.28940625
66,16.49854515,16.53014645,16.28795338
67,16.49779974,16.52844708,16.28651459
68,16.49708806,16.52675224,16.28508516
69,16.49632207,16.52506669,16.28366336
70,16.49568263,16.52338359,16.28226428
71,16.49516522,16.52170481,16.28146752
72,16.50490134,16.52371586,16.28015175
73,16.51315375,16.52527498,16.2790448
74,16.52765556,16.5265486,16.2779055
75,16.53754521,16.52783625,16.27777125
76,16.54429816,16.52886154,16.2775315
77,16.54910143,16.52956731,16.27676296
78,16.55249977,16.52993702,16.27540995
79,16.55498842,16.52978638,16.27352474
80,16.5568265,16.5294639,16.27114604
81,16.55810559,16.52893327,16.26831048
82,16.55858678,16.52824805,16.26650008
83,16.55900266,16.52740907,16.26430835
84,16.55918705,16.52654298,16.26351238
85,16.55918441,16.52577912,16.26307206
86,16.55937742,16.52502711,16.2634949
87,16.55938004,16.52431126,16.26468798
88,16.55938822,16.52368456,16.26653648
89,16.55936295,16.52774641,16.26878665
90,16.55937249,16.5343721,16.27143032
91,16.55944394,16.54409809,16.27454122
92,16.55982421,16.55472567,16.2781565
93,16.56042701,16.56674402,16.28225509
94,16.56158955,16.58038897,16.2867574
95,16.56294236,16.59480816,16.29167124
96,16.56398783,16.60929456,16.29331441
97,16.56649458,16.62567724,16.29640964
98,16.56925319,16.64208516,16.2983014
99,16.57324707,16.65884462,16.29962892
100,16.58346402,16.67598679,16.30128348
101,16.60592572,16.69376159,16.30475224
102,16.63643932,16.71101815,16.31121845
103,16.66877016,16.72838219,16.32033776
104,16.70171188,16.74596294,16.3312172
105,16.73507471,16.76377728,16.34325052
106,16.76873391,16.7817995,16.35514106
107,16.80299481,16.79905076,16.36654604
108,16.83930115,16.81789105,16.37572847
109,16.87360913,16.8363957,16.38277896
110,16.89119834,16.85458358,16.38621122
111,16.92667319,16.87259516,16.39361532
112,16.95839331,16.89056269,16.39990415
113,16.98839649,16.90831421,16.40530448
114,17.01502496,16.92452899,16.41003755
115,17.03755366,16.93963834,16.41387646
116,17.05763926,16.95383241,16.41614249
117,17.07655026,16.96679391,16.41682477
118,17.0870007,16.97932644,16.41713282
119,17.09864474,16.99152109,16.41674751
120,17.1129559,17.00296946,16.41918645
121,17.13108824,17.01427199,16.42418892
122,17.14757565,17.02622564,16.4300248
123,17.16752396,17.03760443,16.43825272
124,17.18742659,17.04976159,16.44784353
125,17.22180323,17.06198388,16.46787108
126,17.23067943,17.07445812,16.47524998
127,17.24432482,17.08490318,16.48648441
128,17.25476719,17.09524312,16.49649838
129,17.26359731,17.10454108,16.5058793
130,17.27679221,17.11302455,16.52150082
131,17.28398327,17.12119549,16.53135824
132,17.29632319,17.12979143,16.55041163
133,17.29939011,17.1383348,16.55648094
134,17.30607678,17.14356843,16.57224597
135,17.30725962,17.14981429,16.57842398
136,17.30822806,17.15575768,16.58361727
137,17.31002977,17.16114378,16.59110353
138,17.30820194,17.16457825,16.59706477
139,17.30387531,17.16613405,16.60348142
140,17.29553015,17.16662682,16.61370935
141,17.28589298,17.16626131,16.61965889
142,17.27507822,17.16174163,16.62093985
143,17.26353196,17.15763151,16.62188028
144,17.25346102,17.15379296,16.62251939
145,17.2424871,17.14997286,16.6228083
146,17.22453415,17.14593492,16.62219107
147,17.21077559,17.14147726,16.62053869
148,17.19494857,17.13351609,16.61847261
149,17.17769162,17.12622179,16.61555477
150,17.16487411,17.12044782,16.61211182
151,17.15717756,17.11570392,16.60916572
152,17.15162892,17.11179246,16.60723715
153,17.14709431,17.10848581,16.60630235
154,17.14502951,17.10568346,16.60675011
155,17.14211822,17.10329903,16.60735056
156,17.13618706,17.09796622,16.60872766
157,17.1307599,17.09399506,16.61040199
158,17.12204035,17.09062068,16.61334255
159,17.11609497,17.08762488,16.6161648
160,17.11390526,17.08503493,16.61815059
161,17.10876915,17.08275229,16.62276581
162,17.10719823,17.08037846,16.62528073
163,17.10422034,17.07807929,16.63063641
164,17.10244614,17.07580307,16.63576051
165,17.10213619,17.07362124,16.63839866
166,17.10175938,17.07153047,16.64227637
167,17.10164107,17.06894043,16.64614248
168,17.10102273,17.06645041,16.65024085
169,17.09928434,17.06398835,16.65749173
170,17.10238848,17.0646376,16.66002065
171,17.10444324,17.06411952,16.66405308
172,17.10565601,17.0630731,16.66775906
173,17.10682651,17.06153985,16.6722654
174,17.10626801,17.05946009,16.67605849
175,17.10390824,17.05669126,16.68208722
176,17.10116067,17.05361313,16.68561283
177,17.09772451,17.05022791,16.68881924
178,17.09324434,17.0464928,16.69203399
179,17.08848373,17.04247392,16.69477619
180,17.08330596,17.03865537,16.69806512
181,17.07807304,17.03448234,16.70131501
182,17.07222441,17.0300877,16.70489518
183,17.06248676,17.02289521,16.70825567
184,17.05312735,17.01639133,16.71133096
185,17.03726994,17.01014517,16.71584026
186,17.0260804,17.00438159,16.71850254
187,17.01782186,16.99911984,16.72085276
188,17.01422672,16.99422603,16.72270395
189,17.00972635,16.98963385,16.72522096
190,17.00177086,16.98514678,16.72962816
191,16.99815445,16.98057312,16.73177039
192,16.99280307,16.97590686,16.73473852
193,16.98331647,16.9711708,16.73960424
194,16.97582007,16.96641984,16.74321644
195,16.96860423,16.96135077,16.74639742
196,16.96073769,16.95364312,16.74826735
197,16.95493337,16.94786841,16.75015482
