,t4,t5,t6
0,23.3997848318,23.7074591871,23.3998660835
1,23.4000081496,23.6934000574,23.4001142982
2,23.4001562629,23.684264242,23.4001685124
3,23.3999859229,23.6763868957,23.4001323905
4,23.3999836128,23.6688602205,23.400247351
5,23.4000374565,23.6617310172,23.4001404983
6,23.3998836429,23.6550694773,23.4000856737
7,23.3999815006,23.6488143539,23.3998193522
8,23.502196778,23.638900312,23.5074416206
9,23.5092292454,23.6415583279,23.5097813328
10,23.5098971318,23.6518317813,23.5097768173
11,23.5099458305,23.6600023212,23.5098096041
12,23.5097853795,23.6637101793,23.5097953912
13,23.5099506896,23.6645645346,23.5097882642
14,23.5100071602,23.6645616791,23.509781856
15,23.509835931,23.664618375,23.5097755935
16,23.5098936844,23.6648556212,23.5097694678
17,23.5098570881,23.6651390346,23.509763456
18,23.5098820373,23.66538548,23.509757553
19,23.5098960945,23.6656218907,23.5097517509
20,23.6403918636,23.6698238338,23.6475054594
21,23.6491202178,23.6907503277,23.6497509864
22,23.6498969487,23.7136890194,23.6496972168
23,23.6498023666,23.7275481238,23.649759151
24,23.6498563457,23.7324172448,23.649741362
25,23.6498407466,23.7324453295,23.6497355355
26,23.6498056622,23.7308706023,23.6497306034
27,23.6497864988,23.72903867,23.6497257146
28,23.6498222635,23.7272011899,23.6497209226
29,23.6498027828,23.7253184411,23.6497162066
30,23.6497497295,23.723356292,23.6497115645
31,23.6498233079,23.7213355589,23.6497070192
32,23.3449113884,23.7053148177,23.3372998018
33,23.3300161659,23.6489059424,23.3298381
34,23.3298770812,23.5855016312,23.3297933762
35,23.3298379026,23.5484640115,23.3296179235
36,23.3298291433,23.5350688835,23.3296444978
37,23.3297020579,23.5326039237,23.329644621
38,23.3297686274,23.5327919209,23.3296426183
39,23.3298399234,23.5330529145,23.3296407061
40,23.3298185742,23.533487717,23.3296387291
41,23.3298146793,23.5343048586,23.3296367386
42,23.3298210363,23.5354752541,23.329634756
43,23.3297218187,23.5368807321,23.3296327906
44,23.7655496898,23.5801180271,23.7012201874
45,23.7700403147,23.6708734122,23.7696719704
46,23.7698360877,23.7469763015,23.7695662314
47,23.76989884,23.7899832124,23.7697089752
48,23.7697402816,23.8098453664,23.7697009973
49,23.7698403962,23.8199025346,23.7696868654
50,23.7697617334,23.8274383514,23.7696828284
51,23.7697201972,23.8345953012,23.7696791197
52,23.7698918097,23.841463461,23.7696755514
53,23.769750841,23.8479450324,23.7696720892
54,23.7699393505,23.8538852311,23.7696687042
55,23.7697583008,23.8594554017,23.7696653995
56,23.5702864289,23.8603887229,23.5587751214
57,23.5513851146,23.8342599294,23.5503114574
58,23.5499875286,23.7959136803,23.5497957207
59,23.5497925929,23.7686698311,23.5496783668
60,23.5498969827,23.7558313438,23.5497020746
61,23.5498398979,23.751493439,23.5497040357
62,23.5498071555,23.7500783493,23.5497040933
63,23.5498534782,23.7490912017,23.5497040993
64,23.5497796643,23.7480820796,23.5497040349
65,23.5498482972,23.7471824571,23.5501044355
66,23.549789972,23.7464979397,23.5497144837
67,23.5497439218,23.7459679936,23.5497035313
68,23.5315141897,23.7424288914,23.5304070053
69,23.5299572506,23.7369386591,23.5296324562
70,23.529840029,23.7322167465,23.5296277374
71,23.5298182442,23.7298724106,23.5303929
72,23.5296616945,23.7293756845,23.5296399623
73,23.5298045575,23.7297056987,23.5296116274
74,23.5297465669,23.7303617373,23.5303891973
75,23.5297732717,23.7311357071,23.5296346666
76,23.5297347972,23.7319804019,23.529606283
77,23.529757145,23.7328805997,23.5296051708
78,23.5297869498,23.7338371337,23.5296029431
79,23.5297372689,23.7348317008,23.5296013935
80,23.7356172966,23.7457112817,23.7457725802
81,23.7483978992,23.7841395384,23.7496067412
82,23.7496706455,23.8257414487,23.7495203716
83,23.749863966,23.8532529627,23.7496624632
84,23.7498514131,23.8668970278,23.7496331317
85,23.7496980928,23.8730292846,23.749628571
86,23.7497646599,23.8766432735,23.7496259889
87,23.7497226384,23.8798478971,23.7496233636
88,23.7497372029,23.882974195,23.749620863
89,23.7497166075,23.8859011541,23.7496184344
90,23.7498956307,23.888566859,23.7496160696
91,23.7498861088,23.891060775,23.7496137631
92,23.2876673553,23.868602905,23.3159509555
93,23.2700262531,23.7887430319,23.2698103635
94,23.2698298509,23.6879960837,23.2697225165
95,23.2696830974,23.6275219913,23.2702421406
96,23.2697301845,23.6047228171,23.2695388219
97,23.269791606,23.5994467105,23.270281042
98,23.2697268595,23.5980531723,23.2695540882
99,23.2697406176,23.596059157,23.2695258858
100,23.2697683897,23.5937176574,23.2695288665
101,23.2696991679,23.591821387,23.269530838
102,23.2696931256,23.5905016336,23.2695333015
103,23.2698470441,23.589514463,23.2695356156
104,23.3246569711,23.5924919863,23.32742777
105,23.3292294416,23.6012119211,23.3295157012
106,23.3296796009,23.6112500785,23.3295371294
107,23.329834555,23.6169087629,23.3295776429
108,23.3297376962,23.6184185102,23.3295773519
109,23.329850436,23.6178239951,23.3295818834
110,23.3298553511,23.6166238635,23.3295869082
111,23.3298962616,23.6153366982,23.32959185
112,23.3298466969,23.6139611499,23.3295967173
113,23.3298404633,23.6125064058,23.3296015056
114,23.3297934863,23.611005113,23.3296062182
115,23.3298510204,23.6094653135,23.329610852
116,23.2655775686,23.6152746059,23.2616373902
117,23.2604421444,23.6183179977,23.2601579361
118,23.2599591863,23.6161680297,23.2598178658
119,23.2597925651,23.6148438073,23.2597773425
120,23.2598974297,23.6161281589,23.2597882754
121,23.2599274983,23.6192137183,23.2597919786
122,23.2599209221,23.6229321438,23.2597951751
123,23.2599114176,23.6266724506,23.2597981561
124,23.2600009646,23.6302860197,23.2598009542
125,23.2598497523,23.6338331687,23.2598035988
126,23.2599068242,23.6373187397,23.259806121
127,23.2598507424,23.6407855331,23.2598085359
128,23.4973257595,23.6647800486,23.5051985585
129,23.5090523634,23.7054248572,23.5097247913
130,23.5100600178,23.747046908,23.5098922049
131,23.5099158761,23.7731147191,23.5099688981
132,23.5100313591,23.7844230775,23.5102770223
133,23.5100887027,23.7876163443,23.5103181615
134,23.5100015783,23.7877424079,23.5103428159
135,23.5100000677,23.7868865028,23.5101189429
136,23.5099729081,23.7855223836,23.5105018504
137,23.510114091,23.7836672572,23.5104654883
138,23.51000934,23.7813977017,23.5103895089
139,23.5100789337,23.778795202,23.5101861594
140,23.5382054437,23.7785571376,23.5397240729
141,23.539830557,23.781337317,23.5402085061
142,23.5398906102,23.7854837162,23.5402385212
143,23.5399990837,23.7885110636,23.5402874751
144,23.5398621969,23.7900937721,23.5398838228
145,23.5400698365,23.7907807798,23.540162532
146,23.5398763052,23.7911486541,23.5398467576
147,23.5400067823,23.7914076215,23.5404768929
148,23.540172445,23.7916363386,23.5401670072
149,23.5399289429,23.7918559511,23.5401350627
150,23.539865485,23.7920135373,23.5403589172
151,23.5399188848,23.7921171078,23.540145387
152,23.7673360429,23.7973213861,23.7754505159
153,23.7792570827,23.8261921667,23.780194936
154,23.7796730811,23.8598801423,23.7803016173
155,23.7802195332,23.8829197706,23.7803587863
156,23.7801134031,23.894257802,23.7799649137
157,23.7802055167,23.898482778,23.7797807049
158,23.7802643743,23.8996508166,23.7801689876
159,23.780259442,23.8997144092,23.7803590133
160,23.7800943261,23.8992456428,23.7799233555
161,23.7800794814,23.8983305019,23.780363726
162,23.7797374785,23.8970403208,23.7801395707
163,23.7797409049,23.8954400946,23.7805613912
164,23.3945322321,23.8716238478,23.38816856
165,23.3800019352,23.8221758398,23.3803942397
166,23.3799833719,23.7593587504,23.3800505629
167,23.3800675314,23.7157265415,23.3803593596
168,23.379935227,23.6934460354,23.379769914
169,23.3800126948,23.683405774,23.3801726484
170,23.3801434828,23.6779623582,23.3798298543
171,23.3800716426,23.67361718,23.3800785862
172,23.3799060578,23.6695059314,23.3799191944
173,23.3798813729,23.6656567283,23.3801369333
174,23.3801508941,23.6621591644,23.380308576
175,23.3797342074,23.6590032856,23.380123913
176,23.2594781039,23.6499004859,23.4791961384
177,23.2505384672,23.6338070949,23.6148669218
178,23.2501113941,23.6131756411,23.7341290603
179,23.249905391,23.5984221848,23.8153204376
