,Unnamed: 0,z0,z1,z2,z3,z4,tout,s,i,t1,t2,t3,sp0,sp1,sp2,sp3,sp4,sp,m,rh
0,0,23.0956428828,23.7657471049,23.76960586,23.7604573812,21.5166627507,-2.29166666667,0.0,10247.0590484,22.7913545047,22.9131278245,22.8956027694,23.75,23.75,23.75,23.75,23.75,23.75,13.6657285421,81226.7606137
1,1,23.0954112406,23.7512283737,23.7537598934,23.7501210181,21.5195874861,-1.78333333333,0.0,10247.0590484,22.7905976542,22.9030204343,22.8949264219,23.75,23.75,23.75,23.75,23.75,23.75,13.6657285421,86999.0844352
2,2,23.0947304171,23.7506439768,23.7511795581,23.7497142082,21.5230195479,-1.275,0.0,10247.0590484,22.7908270324,22.8930718615,22.8942486526,23.75,23.75,23.75,23.75,23.75,23.75,13.6657285421,84131.4173604
3,3,23.0940990689,23.7502981708,23.7498488282,23.7512486129,21.5267273685,-0.766666666667,0.0,10247.0590484,22.7912537309,22.8862885394,22.8935698116,23.75,23.75,23.75,23.75,23.75,23.75,13.6657285421,84635.7449333
4,4,23.0936685347,23.7486895528,23.7508446899,23.7504522128,21.5309043132,-0.258333333333,0.0,10247.0590484,22.7918839227,22.882074094,22.8928900761,23.75,23.75,23.75,23.75,23.75,23.75,13.6657285421,84576.306673
5,5,23.0933522303,23.7499607575,23.7496419328,23.7501378688,21.535614706,0.25,0.0,10247.0590484,22.7927661697,22.8790643885,22.8922101273,23.75,23.75,23.75,23.75,23.75,23.75,13.6657285421,84518.6025898
6,6,23.0930329317,23.751626057,23.7485762002,23.7500145866,21.5408231578,0.758333333333,0.0,10247.0590484,22.7937856562,22.876489767,22.8915300783,23.75,23.75,23.75,23.75,23.75,23.75,13.6657285421,84422.3769905
7,7,23.0926527747,23.7499008269,23.7500747489,23.7499276381,21.5464772139,1.26666666667,0.0,10247.0590484,22.7948236182,22.8741621378,22.8908499442,23.75,23.75,23.75,23.75,23.75,23.75,13.6657285421,84363.0606802
8,8,23.0922083987,23.7489575445,23.7505878258,23.7502069458,21.5525468082,1.775,0.0,10247.0590484,22.7959237048,22.8720941138,22.8901701166,23.75,23.75,23.75,23.75,23.75,23.75,13.6657285421,84265.1312499
9,9,23.0917140586,23.7492763113,23.7490308974,23.7512488488,21.5590163472,2.28333333333,0.0,10247.0590484,22.7970878371,22.8703144743,22.8894912137,23.75,23.75,23.75,23.75,23.75,23.75,13.6657285421,84148.182505
10,10,23.0911786423,23.7505192041,23.7497359623,23.7506885803,21.5720221475,2.79166666667,0.0,10247.0590484,22.7997989243,22.8688243003,22.88881394,23.75,23.75,23.75,23.75,23.75,23.75,13.6657285421,84026.5350109
11,11,23.0906024146,23.7502345006,23.7477532052,23.7508146256,21.5836311543,3.3,0.0,10247.0590484,22.8020422641,22.8680061675,22.8881389526,23.75,23.75,23.75,23.75,23.75,23.75,13.6657285421,83869.8364344
12,12,23.0901181909,23.9262326144,23.9282054335,23.9311962374,21.5867970833,3.20833333333,0.0,10247.0590484,22.8191603796,22.8678061459,22.8874674889,23.94,23.94,23.94,23.94,23.94,23.94,13.6657285421,87971.0687099
13,13,23.0897186272,23.93935301,23.9399981491,23.9394265888,21.5849736044,3.11666666667,0.0,10247.0590484,22.8195180489,22.8718891193,22.886800267,23.94,23.94,23.94,23.94,23.94,23.94,13.6657285421,83650.9770695
14,14,23.0893632074,23.9384577471,23.9397838623,23.9396980096,21.5823961277,3.025,0.0,10247.0590484,22.8186486365,22.8755020121,22.8861375689,23.94,23.94,23.94,23.94,23.94,23.94,13.6657285421,85755.7500174
15,15,23.0890346551,23.9387208819,23.9399670084,23.9405207817,21.5802170661,2.93333333333,0.0,10247.0590484,22.8179586201,22.8763604656,22.8854795807,23.94,23.94,23.94,23.94,23.94,23.94,13.6657285421,85422.3491386
16,16,23.0887318872,23.9388401232,23.9402438765,23.9390691175,21.5780656783,2.84166666667,0.0,10247.0590484,22.8172266516,22.8752743032,22.8848265607,23.94,23.94,23.94,23.94,23.94,23.94,13.6657285421,85403.3230924
17,17,23.0884526574,23.9402232018,23.938730834,23.9401152896,21.5756482286,2.75,0.0,10247.0590484,22.8165103025,22.8735416897,22.8841786637,23.94,23.94,23.94,23.94,23.94,23.94,13.6657285421,85475.5620716
18,18,23.0881893614,23.939060002,23.9408470462,23.9386044993,21.5729972604,2.65833333333,0.0,10247.0590484,22.8156960706,22.8718067113,22.883535819,23.94,23.94,23.94,23.94,23.94,23.94,13.6657285421,85490.1010092
19,19,23.0879334237,23.9380719899,23.9419652433,23.9389465751,21.5702171713,2.56666666667,0.0,10247.0590484,22.8148849883,22.8701373662,22.8828976968,23.94,23.94,23.94,23.94,23.94,23.94,13.6657285421,85561.8576419
20,20,23.0876792134,23.9389969121,23.9397576371,23.9386671637,21.5673535315,2.475,0.0,10247.0590484,22.8140077692,22.8684624817,22.882263822,23.94,23.94,23.94,23.94,23.94,23.94,13.6657285421,85595.3286119
21,21,23.087424463,23.9396478526,23.9405695451,23.9405147514,21.5644117526,2.38333333333,0.0,10247.0590484,22.813251467,22.8667327963,22.8816336543,23.94,23.94,23.94,23.94,23.94,23.94,13.6657285421,85682.8112326
22,22,23.0871698767,23.9387338829,23.9405511077,23.94096329,21.5614051394,2.29166666667,0.0,10247.0590484,22.8123604156,22.8650144787,22.8810084462,23.94,23.94,23.94,23.94,23.94,23.94,13.6657285421,85699.4033305
23,23,23.0869138922,23.9383214039,23.9403326715,23.9385458295,21.5520358729,2.2,0.0,10247.0590484,22.8099220596,22.8632611402,22.8803855796,23.94,23.94,23.94,23.94,23.94,23.94,13.6657285421,85748.8901134
24,24,23.0866577279,23.9781129839,23.9772868088,23.976799332,21.5437487295,2.10833333333,0.0,10247.0590484,22.8114163942,22.8608210998,22.8797655779,23.98,23.98,23.98,23.98,23.98,23.98,13.6657285421,86723.5681826
25,25,23.086401567,23.9791568962,23.9810512305,23.9799280893,21.5384573574,2.01666666667,0.0,10247.0590484,22.8102509262,22.8587697432,22.8791483504,23.98,23.98,23.98,23.98,23.98,23.98,13.6657285421,85853.3932498
26,26,23.0861466755,23.9794741009,23.9781391432,23.9810188601,21.5342973702,1.925,0.0,10247.0590484,22.8090674571,22.856701873,22.8785329245,23.98,23.98,23.98,23.98,23.98,23.98,13.6657285421,86370.5881039
27,27,23.0858952688,23.9805980816,23.9797802654,23.9787357117,21.5299702703,1.83333333333,0.0,10247.0590484,22.8079180053,22.8543465514,22.8779186669,23.98,23.98,23.98,23.98,23.98,23.98,13.6657285421,86367.2245248
28,28,23.0856480033,23.9816113661,23.9803701482,23.9810592642,21.5253776717,1.74166666667,0.0,10247.0590484,22.8068027849,22.8517681342,22.8773054237,23.98,23.98,23.98,23.98,23.98,23.98,13.6657285421,86467.5351657
29,29,23.0854035971,23.9818266519,23.9817607307,23.9802814752,21.520745333,1.65,0.0,10247.0590484,22.8055890744,22.8491138593,22.8766932458,23.98,23.98,23.98,23.98,23.98,23.98,13.6657285421,86512.7150528
30,30,23.0851601973,23.9811970308,23.9798330121,23.9807259101,21.5161555821,1.55833333333,0.0,10247.0590484,22.8042908829,22.8464309851,22.8760821928,23.98,23.98,23.98,23.98,23.98,23.98,13.6657285421,86594.6606762
31,31,23.0849164269,23.9799664531,23.979007494,23.9790400429,21.5115788053,1.46666666667,0.0,10247.0590484,22.8029473825,22.8437062342,22.8754722391,23.98,23.98,23.98,23.98,23.98,23.98,13.6657285421,86656.25005
32,32,23.0846715326,23.9783663785,23.9811245809,23.9814063819,21.506984485,1.375,0.0,10247.0590484,22.8017864407,22.8409310663,22.8748633038,23.98,23.98,23.98,23.98,23.98,23.98,13.6657285421,86783.993978
33,33,23.0844251262,23.980242554,23.9801542225,23.9801487039,21.5023684943,1.28333333333,0.0,10247.0590484,22.8005509582,22.838169427,22.8742552646,23.98,23.98,23.98,23.98,23.98,23.98,13.6657285421,86828.2548735
34,34,23.0841770887,23.9789757711,23.9795576288,23.9797698528,21.4977362351,1.19166666667,0.0,10247.0590484,22.7992336469,22.8354181618,22.873648,23.98,23.98,23.98,23.98,23.98,23.98,13.6657285421,86907.6024207
35,35,23.0839274765,23.9790783347,23.9812959259,23.9809601123,21.4930905681,1.1,0.0,10247.0590484,22.7980745131,22.832640856,22.8730413863,23.98,23.98,23.98,23.98,23.98,23.98,13.6657285421,87030.0223827
36,36,23.0836626992,24.0355301477,24.0358399996,24.0387392489,21.4905715647,1.1,0.0,10247.0590484,22.8025685033,22.8306204512,22.8724352523,24.04,24.04,24.04,24.04,24.04,24.04,13.6657285421,88298.4862877
37,37,23.083384655,24.0392789481,24.0395121173,24.0400485091,21.4895891097,1.1,0.0,10247.0590484,22.8024329553,22.8308562931,22.871829482,24.04,24.04,24.04,24.04,24.04,24.04,13.6657285421,86920.9016228
38,38,23.0831032597,24.0413284908,24.0392571113,24.0405971895,21.4889673006,1.1,0.0,10247.0590484,22.8021798802,22.8317086741,22.8712240693,24.04,24.04,24.04,24.04,24.04,24.04,13.6657285421,87602.3855116
39,39,23.0828244032,24.0418334365,24.0394318083,24.0414527698,21.4882706902,1.1,0.0,10247.0590484,22.801877164,22.8321466672,22.87061915,24.04,24.04,24.04,24.04,24.04,24.04,13.6657285421,87451.1695739
40,40,23.0825528135,24.0413315988,24.0407086795,24.0396834202,21.4875661154,1.1,0.0,10247.0590484,22.801501096,22.832131867,22.8700149921,24.04,24.04,24.04,24.04,24.04,24.04,13.6657285421,87420.4020709
41,41,23.0822803605,24.0403233208,24.0423860313,24.0399126434,21.4869212854,1.1,0.0,10247.0590484,22.8011878319,22.8319283548,22.8694118736,24.04,24.04,24.04,24.04,24.04,24.04,13.6657285421,87435.7234739
42,42,23.0820037319,24.0391091884,24.0390891935,24.0403340674,21.4863422406,1.1,0.0,10247.0590484,22.8007368283,22.8317313935,22.868810008,24.04,24.04,24.04,24.04,24.04,24.04,13.6657285421,87391.3918628
43,43,23.0817248076,24.0413583515,24.0401904723,24.0412223829,21.4858137124,1.1,0.0,10247.0590484,22.8005641202,22.8315468443,22.8682095024,24.04,24.04,24.04,24.04,24.04,24.04,13.6657285421,87449.248994
44,44,23.081444742,24.0407321217,24.038882204,24.0392817679,21.485321959,1.1,0.0,10247.0590484,22.8001455426,22.8314267695,22.8676103911,24.04,24.04,24.04,24.04,24.04,24.04,13.6657285421,87360.2638821
45,45,23.0811636054,24.0415132021,24.0417670561,24.0409670243,21.4848621359,1.1,0.0,10247.0590484,22.8000100735,22.8313017596,22.8670126532,24.04,24.04,24.04,24.04,24.04,24.04,13.6657285421,87449.1077928
46,46,23.0808800071,24.0391528886,24.0411631308,24.0412639101,21.4844299255,1.1,0.0,10247.0590484,22.7996241915,22.8312201627,22.8664162541,24.04,24.04,24.04,24.04,24.04,24.04,13.6657285421,87360.1316927
47,47,23.0805935855,24.0388173025,24.0392320765,24.0411488452,21.4840241788,1.1,0.0,10247.0590484,22.7992640602,22.8311263602,22.8658211478,24.04,24.04,24.04,24.04,24.04,24.04,13.6657285421,87389.0887194
48,48,23.0803059835,24.1053732998,24.1038598304,24.1061093504,21.4821686537,1.15,0.0,10247.0590484,22.8047593826,22.8300570233,22.865227321,24.11,24.11,24.11,24.11,24.11,24.11,13.6657285421,88968.5324902
49,49,23.0800159595,24.1111073243,24.1114738464,24.1097740153,21.4793930919,1.2,0.0,10247.0590484,22.8044533106,22.8296051774,22.864634747,24.11,24.11,24.11,24.11,24.11,24.11,13.6657285421,87462.0608776
50,50,23.0797270199,24.1084962496,24.1105528471,24.1099341861,21.4765112322,1.25,0.0,10247.0590484,22.8034723689,22.828685451,22.8640434381,24.11,24.11,24.11,24.11,24.11,24.11,13.6657285421,88213.1640652
51,51,23.0794446996,24.1112394628,24.111737328,24.1091391564,21.4737734613,1.3,0.0,10247.0590484,22.8027572659,22.826728287,22.8634535278,24.11,24.11,24.11,24.11,24.11,24.11,13.6657285421,88188.896836
52,52,23.0791709049,24.1105380239,24.1081696312,24.1110769071,21.4711119675,1.35,0.0,10247.0590484,22.8018768442,22.8241234564,22.8628652818,24.11,24.11,24.11,24.11,24.11,24.11,13.6657285421,88168.8174698
53,53,23.0789033791,24.1112209037,24.1110147559,24.1102653011,21.4684589759,1.4,0.0,10247.0590484,22.8011666253,22.8212878826,22.8622789765,24.11,24.11,24.11,24.11,24.11,24.11,13.6657285421,88260.1373275
54,54,23.0786384272,24.1098317681,24.109760617,24.1086635713,21.465811264,1.45,0.0,10247.0590484,22.8002409935,22.8184672569,22.8616948072,24.11,24.11,24.11,24.11,24.11,24.11,13.6657285421,88250.3385137
55,55,23.0783731345,24.11111334,24.1092302148,24.1099443238,21.4631843144,1.5,0.0,10247.0590484,22.7995175377,22.8156435898,22.8611128511,24.11,24.11,24.11,24.11,24.11,24.11,13.6657285421,88365.1814675
56,56,23.0781058536,24.1105490927,24.1079162966,24.1106123732,21.4605842657,1.55,0.0,10247.0590484,22.7986924511,22.8128399716,22.8605331007,24.11,24.11,24.11,24.11,24.11,24.11,13.6657285421,88365.1482668
57,57,23.0778359041,24.109171685,24.1093428938,24.1089263233,21.4580098191,1.6,0.0,10247.0590484,22.7978584108,22.8100350534,22.8599554949,24.11,24.11,24.11,24.11,24.11,24.11,13.6657285421,88418.5120515
58,58,23.0775631066,24.1082879612,24.1096669845,24.1091698025,21.455459306,1.65,0.0,10247.0590484,22.7970666372,22.8072199511,22.8593799576,24.11,24.11,24.11,24.11,24.11,24.11,13.6657285421,88478.844216
59,59,23.0772874132,24.1112603063,24.1117097317,24.1089513135,21.45293248,1.7,0.0,10247.0590484,22.7964548679,22.8044126216,22.8588064091,24.11,24.11,24.11,24.11,24.11,24.11,13.6657285421,88557.9555405
60,60,23.0770017911,24.2421851378,24.2429466433,24.2447404094,21.4531775105,1.7,0.0,10247.0590484,22.8087042628,22.8033185803,22.8582348226,24.25,24.25,24.25,24.25,24.25,24.25,13.6657285421,91580.241991
61,61,23.0767063393,24.2504587652,24.2504459337,24.2504080711,21.4552842959,1.7,0.0,10247.0590484,22.8096724187,22.8072898561,22.8576635135,24.25,24.25,24.25,24.25,24.25,24.25,13.6657285421,88296.4509199
62,62,23.0764138357,24.2488303648,24.2512556897,24.2494583495,21.4577502582,1.7,0.0,10247.0590484,22.8099875588,22.8124497504,22.8570944801,24.25,24.25,24.25,24.25,24.25,24.25,13.6657285421,89761.3655439
63,63,23.0761359733,24.2507334326,24.251450735,24.2497932234,21.4600810661,1.7,0.0,10247.0590484,22.810425159,22.8163838812,22.8565288302,24.25,24.25,24.25,24.25,24.25,24.25,13.6657285421,89413.2355108
64,64,23.075873898,24.2489083336,24.247843315,24.2485710733,21.4623755082,1.7,0.0,10247.0590484,22.8105747164,22.8191577244,22.8559664941,24.25,24.25,24.25,24.25,24.25,24.25,13.6657285421,89227.4635192
65,65,23.0756209502,24.2509078922,24.2478488072,24.2509182873,21.4647456465,1.7,0.0,10247.0590484,22.8110921572,22.8214511235,22.8554074074,24.25,24.25,24.25,24.25,24.25,24.25,13.6657285421,89252.4198317
66,66,23.0753691276,24.2511489221,24.2492807276,24.2510166143,21.4671911232,1.7,0.0,10247.0590484,22.8115446778,22.8237984304,22.8548516451,24.25,24.25,24.25,24.25,24.25,24.25,13.6657285421,89114.270137
67,67,23.0751130988,24.2495561277,24.2497080174,24.2499517711,21.4696792691,1.7,0.0,10247.0590484,22.8118762334,22.8262872425,22.8542992661,24.25,24.25,24.25,24.25,24.25,24.25,13.6657285421,89031.9475159
68,68,23.0748506338,24.2502667891,24.2487046465,24.2492435144,21.4721956072,1.7,0.0,10247.0590484,22.8122598294,22.8288078886,22.8537502244,24.25,24.25,24.25,24.25,24.25,24.25,13.6657285421,88974.3008658
