,prediction,real
0,23.4084581266,23.4000081496
1,23.4166862257,23.4001562629
2,23.424634107,23.3999859229
3,23.4322249936,23.3999836128
4,23.4395555574,23.4000374565
5,23.4465135158,23.3998836429
6,23.4531124196,23.3999815006
7,23.4595242257,23.502196778
8,23.4807387478,23.5092292454
9,23.4904806517,23.5098971318
10,23.505805411,23.5099458305
11,23.5192973244,23.5097853795
12,23.5321178612,23.5099506896
13,23.5442289142,23.5100071602
14,23.5557058843,23.509835931
15,23.5667034624,23.5098936844
16,23.5772854646,23.5098570881
17,23.5872880381,23.5098820373
18,23.5969307334,23.5098960945
19,23.6061898343,23.6403918636
20,23.6237233861,23.6491202178
21,23.6273337556,23.6498969487
22,23.6386018084,23.6498023666
23,23.6480119067,23.6498563457
24,23.6571927444,23.6498407466
25,23.6658194903,23.6498056622
26,23.6739689538,23.6497864988
27,23.6816777803,23.6498222635
28,23.6889785455,23.6498027828
29,23.6958822952,23.6497497295
30,23.7024154179,23.6498233079
31,23.7086030925,23.3449113884
32,23.7101284118,23.3300161659
33,23.7227366772,23.3298770812
34,23.7192227717,23.3298379026
35,23.7194844827,23.3298291433
36,23.7191414991,23.3297020579
37,23.718775228,23.3297686274
38,23.7181920979,23.3298399234
39,23.7173946375,23.3298185742
40,23.7166874895,23.3298146793
41,23.71588483,23.3298210363
42,23.7149681678,23.3297218187
43,23.7139339059,23.7655496898
44,23.7160174454,23.7700403147
45,23.7056247662,23.7698360877
46,23.7167422223,23.76989884
47,23.7219538869,23.7697402816
48,23.7277099534,23.7698403962
49,23.7332229704,23.7697617334
50,23.7386471501,23.7697201972
51,23.7440064635,23.7698918097
52,23.749296667,23.769750841
53,23.7543510867,23.7699393505
54,23.7593626902,23.7697583008
55,23.7641977452,23.5702864289
56,23.7542393616,23.5513851146
57,23.7644014369,23.5499875286
58,23.763010225,23.5497925929
59,23.7634283212,23.5498969827
60,23.7635917147,23.5498398979
61,23.7636699088,23.5498071555
62,23.7638181284,23.5498534782
63,23.7638899149,23.5497796643
64,23.7639667494,23.5498482972
65,23.764083349,23.549789972
66,23.764175484,23.5497439218
67,23.7642750557,23.5315141897
68,23.7644004381,23.5299572506
69,23.7666956874,23.529840029
70,23.7677168486,23.5298182442
71,23.7688618196,23.5296616945
72,23.7699045993,23.5298045575
73,23.7709284715,23.5297465669
74,23.7718131567,23.5297732717
75,23.7726473913,23.5297347972
76,23.7733976853,23.529757145
77,23.7741039524,23.5297869498
78,23.774770767,23.5297372689
79,23.7755558076,23.7356172966
80,23.7900212705,23.7483978992
81,23.7833691703,23.7496706455
82,23.7893760728,23.749863966
83,23.793045019,23.7498514131
84,23.7969134542,23.7496980928
85,23.8006690416,23.7497646599
86,23.8043692367,23.7497226384
87,23.8079315384,23.7497372029
88,23.8114153505,23.7497166075
89,23.8147905444,23.7498956307
90,23.8180835085,23.7498861088
91,23.8212534989,23.2876673553
92,23.8258101554,23.2700262531
93,23.8403030978,23.2698298509
94,23.8292832584,23.2696830974
95,23.8245253304,23.2697301845
96,23.8189141014,23.269791606
97,23.8137967821,23.2697268595
98,23.8088118733,23.2697406176
99,23.8042841636,23.2697683897
100,23.7998673138,23.2696991679
101,23.7955660678,23.2696931256
102,23.7914176914,23.2698470441
103,23.7874243646,23.3246569711
104,23.7878203451,23.3292294416
105,23.7823302829,23.3296796009
106,23.7804844648,23.329834555
107,23.7780884847,23.3297376962
108,23.7761022719,23.329850436
109,23.7741778083,23.3298553511
110,23.7724464249,23.3298962616
111,23.7707338576,23.3298466969
112,23.7691247887,23.3298404633
113,23.7675352665,23.3297934863
114,23.7659484544,23.3298510204
115,23.7644688617,23.2655775686
116,23.7525055643,23.2604421444
117,23.7479757485,23.2599591863
118,23.7401815375,23.2597925651
119,23.7337387864,23.2598974297
120,23.7277724275,23.2599274983
121,23.7222477429,23.2599209221
122,23.7171737177,23.2599114176
123,23.7125121028,23.2600009646
124,23.7082208824,23.2598497523
125,23.704257915,23.2599068242
126,23.7006406959,23.2598507424
127,23.6973041302,23.4973257595
128,23.7079787825,23.5090523634
129,23.6937945892,23.5100600178
130,23.6943894112,23.5099158761
131,23.6925896086,23.5100313591
132,23.6913599598,23.5100887027
133,23.6903123394,23.5100015783
134,23.6894057187,23.5100000677
135,23.6886010856,23.5099729081
136,23.6878840767,23.510114091
137,23.6872456651,23.51000934
138,23.6866367302,23.5100789337
139,23.6860948598,23.5382054437
140,23.6873941218,23.539830557
141,23.6858839621,23.5398906102
142,23.6860787764,23.5399990837
143,23.6860625665,23.5398621969
144,23.6861134975,23.5400698365
