,tout,s,t1,t2,m,tret
0,-2.29166666667,0.0,22.9131278245,22.7913545047,13.6657285421,22.9174698413
1,-1.78333333333,0.0,22.9030204343,22.7905976542,13.6657285421,22.9131278245
2,-1.275,0.0,22.8930718615,22.7908270324,13.6657285421,22.9030204343
3,-0.766666666667,0.0,22.8862885394,22.7912537309,13.6657285421,22.8930718615
4,-0.258333333333,0.0,22.882074094,22.7918839227,13.6657285421,22.8862885394
5,0.25,0.0,22.8790643885,22.7927661697,13.6657285421,22.882074094
6,0.758333333333,0.0,22.876489767,22.7937856562,13.6657285421,22.8790643885
7,1.26666666667,0.0,22.8741621378,22.7948236182,13.6657285421,22.876489767
8,1.775,0.0,22.8720941138,22.7959237048,13.6657285421,22.8741621378
9,2.28333333333,0.0,22.8703144743,22.7970878371,13.6657285421,22.8720941138
10,2.79166666667,0.0,22.8688243003,22.7997989243,13.6657285421,22.8703144743
11,3.3,0.0,22.8680061675,22.8020422641,13.6657285421,22.8688243003
12,3.20833333333,0.0,22.8678061459,22.8191603796,13.6657285421,22.8680061675
13,3.11666666667,0.0,22.8718891193,22.8195180489,13.6657285421,22.8678061459
14,3.025,0.0,22.8755020121,22.8186486365,13.6657285421,22.8718891193
15,2.93333333333,0.0,22.8763604656,22.8179586201,13.6657285421,22.8755020121
16,2.84166666667,0.0,22.8752743032,22.8172266516,13.6657285421,22.8763604656
17,2.75,0.0,22.8735416897,22.8165103025,13.6657285421,22.8752743032
18,2.65833333333,0.0,22.8718067113,22.8156960706,13.6657285421,22.8735416897
19,2.56666666667,0.0,22.8701373662,22.8148849883,13.6657285421,22.8718067113
20,2.475,0.0,22.8684624817,22.8140077692,13.6657285421,22.8701373662
21,2.38333333333,0.0,22.8667327963,22.813251467,13.6657285421,22.8684624817
22,2.29166666667,0.0,22.8650144787,22.8123604156,13.6657285421,22.8667327963
23,2.2,0.0,22.8632611402,22.8099220596,13.6657285421,22.8650144787
24,2.10833333333,0.0,22.8608210998,22.8114163942,13.6657285421,22.8632611402
25,2.01666666667,0.0,22.8587697432,22.8102509262,13.6657285421,22.8608210998
26,1.925,0.0,22.856701873,22.8090674571,13.6657285421,22.8587697432
27,1.83333333333,0.0,22.8543465514,22.8079180053,13.6657285421,22.856701873
28,1.74166666667,0.0,22.8517681342,22.8068027849,13.6657285421,22.8543465514
29,1.65,0.0,22.8491138593,22.8055890744,13.6657285421,22.8517681342
30,1.55833333333,0.0,22.8464309851,22.8042908829,13.6657285421,22.8491138593
31,1.46666666667,0.0,22.8437062342,22.8029473825,13.6657285421,22.8464309851
32,1.375,0.0,22.8409310663,22.8017864407,13.6657285421,22.8437062342
33,1.28333333333,0.0,22.838169427,22.8005509582,13.6657285421,22.8409310663
34,1.19166666667,0.0,22.8354181618,22.7992336469,13.6657285421,22.838169427
35,1.1,0.0,22.832640856,22.7980745131,13.6657285421,22.8354181618
36,1.1,0.0,22.8306204512,22.8025685033,13.6657285421,22.832640856
37,1.1,0.0,22.8308562931,22.8024329553,13.6657285421,22.8306204512
38,1.1,0.0,22.8317086741,22.8021798802,13.6657285421,22.8308562931
39,1.1,0.0,22.8321466672,22.801877164,13.6657285421,22.8317086741
40,1.1,0.0,22.832131867,22.801501096,13.6657285421,22.8321466672
41,1.1,0.0,22.8319283548,22.8011878319,13.6657285421,22.832131867
42,1.1,0.0,22.8317313935,22.8007368283,13.6657285421,22.8319283548
43,1.1,0.0,22.8315468443,22.8005641202,13.6657285421,22.8317313935
44,1.1,0.0,22.8314267695,22.8001455426,13.6657285421,22.8315468443
45,1.1,0.0,22.8313017596,22.8000100735,13.6657285421,22.8314267695
46,1.1,0.0,22.8312201627,22.7996241915,13.6657285421,22.8313017596
47,1.1,0.0,22.8311263602,22.7992640602,13.6657285421,22.8312201627
48,1.15,0.0,22.8300570233,22.8047593826,13.6657285421,22.8311263602
49,1.2,0.0,22.8296051774,22.8044533106,13.6657285421,22.8300570233
50,1.25,0.0,22.828685451,22.8034723689,13.6657285421,22.8296051774
51,1.3,0.0,22.826728287,22.8027572659,13.6657285421,22.828685451
52,1.35,0.0,22.8241234564,22.8018768442,13.6657285421,22.826728287
53,1.4,0.0,22.8212878826,22.8011666253,13.6657285421,22.8241234564
54,1.45,0.0,22.8184672569,22.8002409935,13.6657285421,22.8212878826
55,1.5,0.0,22.8156435898,22.7995175377,13.6657285421,22.8184672569
56,1.55,0.0,22.8128399716,22.7986924511,13.6657285421,22.8156435898
57,1.6,0.0,22.8100350534,22.7978584108,13.6657285421,22.8128399716
58,1.65,0.0,22.8072199511,22.7970666372,13.6657285421,22.8100350534
59,1.7,0.0,22.8044126216,22.7964548679,13.6657285421,22.8072199511
60,1.7,0.0,22.8033185803,22.8087042628,13.6657285421,22.8044126216
61,1.7,0.0,22.8072898561,22.8096724187,13.6657285421,22.8033185803
62,1.7,0.0,22.8124497504,22.8099875588,13.6657285421,22.8072898561
63,1.7,0.0,22.8163838812,22.810425159,13.6657285421,22.8124497504
64,1.7,0.0,22.8191577244,22.8105747164,13.6657285421,22.8163838812
65,1.7,0.0,22.8214511235,22.8110921572,13.6657285421,22.8191577244
66,1.7,0.0,22.8237984304,22.8115446778,13.6657285421,22.8214511235
67,1.7,0.0,22.8262872425,22.8118762334,13.6657285421,22.8237984304
68,1.7,0.0,22.8288078886,22.8122598294,13.6657285421,22.8262872425
69,1.7,0.0,22.8313166322,22.8127817572,13.6657285421,22.8288078886
70,1.7,0.0,22.8338558477,22.813041176,13.6657285421,22.8313166322
71,1.7,0.0,22.836369002,22.8135156382,13.6657285421,22.8338558477
72,1.74166666667,0.0,22.8374510365,22.808722403,13.6657285421,22.836369002
73,1.78333333333,0.0,22.8357360632,22.8130367126,13.6657285421,22.8374510365
74,1.825,0.0,22.8343874716,22.815648101,13.6657285421,22.8357360632
75,1.86666666667,0.0,22.8341286719,22.8164672389,13.6657285421,22.8343874716
76,1.90833333333,0.0,22.8339689371,22.8164087519,13.6657285421,22.8341286719
77,1.95,0.0,22.8331891457,22.8158965918,13.6657285421,22.8339689371
78,1.99166666667,0.0,22.8317555545,22.8155085744,13.6657285421,22.8331891457
79,2.03333333333,0.0,22.8300229709,22.8150223102,13.6657285421,22.8317555545
80,2.075,0.0,22.8282152891,22.8145926988,13.6657285421,22.8300229709
81,2.11666666667,0.0,22.8264188493,22.8140447445,13.6657285421,22.8282152891
82,2.15833333333,0.0,22.824604586,22.8136765672,13.6657285421,22.8264188493
83,2.2,0.0,22.822807451,22.8131921766,13.6657285421,22.824604586
84,2.2,0.0,22.822137606,22.7980006251,13.6657285421,22.822807451
85,2.2,0.0,22.8186739571,22.7968622814,13.6657285421,22.822137606
86,2.2,0.0,22.8156749777,22.7964425655,13.6657285421,22.8186739571
87,2.2,0.0,22.8147838678,22.7962356523,13.6657285421,22.8156749777
88,2.2,0.0,22.8154745864,22.7961065167,13.6657285421,22.8147838678
89,2.2,0.0,22.8167784924,22.7960488486,13.6657285421,22.8154745864
90,2.2,94.25,22.8181685815,22.7974666587,13.6657285421,22.8167784924
91,2.2,133.5,22.8199399407,22.7991883773,13.6657285421,22.8181685815
92,2.2,172.75,22.8222115559,22.800778193,13.6657285421,22.8199399407
93,2.2,212.0,22.8247828115,22.8025763005,13.6657285421,22.8222115559
94,2.2,251.25,22.8275254612,22.8047567206,13.6657285421,22.8247828115
95,2.2,290.5,22.8304703887,22.807382502,13.6657285421,22.8275254612
96,2.2,329.75,22.8316967155,22.790310938,13.6657285421,22.8304703887
97,2.2,369.0,22.825926232,22.7915681229,13.6657285421,22.8316967155
98,2.2,408.25,22.8189663929,22.7941776605,13.6657285421,22.825926232
99,2.2,447.5,22.8143973242,22.7974941668,13.6657285421,22.8189663929
100,2.2,486.75,22.8121907529,22.8013187781,13.6657285421,22.8143973242
101,2.2,526.0,22.8111772889,22.8052224568,13.6657285421,22.8121907529
102,2.2,533.25,22.8105098516,22.8091291946,13.6657285421,22.8111772889
103,2.2,540.5,22.8098902278,22.8132144258,13.6657285421,22.8105098516
104,2.2,547.75,22.8093509423,22.8166706212,13.6657285421,22.8098902278
105,2.2,555.0,22.8087612046,22.8196838173,13.6657285421,22.8093509423
106,2.2,562.25,22.8079908703,22.8226395342,13.6657285421,22.8087612046
107,2.2,569.5,22.8070786547,22.8252623943,13.6657285421,22.8079908703
108,2.2,576.75,22.8069972586,22.8394627901,13.6657285421,22.8070786547
109,2.2,584.0,22.8112249671,22.844200187,13.6830729185,22.8069972586
110,2.2,591.25,22.8157493498,22.8449929605,13.6657285421,22.8112249671
111,2.2,598.5,22.8192845997,22.8496905456,13.6980754631,22.8157493498
112,2.2,605.75,22.8222422366,22.8543955703,13.7313857991,22.8192845997
113,2.2,613.0,22.8251474522,22.8585674504,13.7648542034,22.8222422366
114,2.2,633.666666667,22.8282867845,22.8630487048,13.8101301331,22.8251474522
115,2.2,654.333333333,22.8315693602,22.8673420268,13.8596795054,22.8282867845
116,2.2,675.0,22.8347956298,22.8715373573,13.9111828042,22.8315693602
117,2.2,695.666666667,22.8379105065,22.8756723366,13.9644896373,22.8347956298
118,2.2,716.333333333,22.8408539622,22.8799729334,14.0144303441,22.8379105065
119,2.2,737.0,22.8439152368,22.8846440893,14.0700713441,22.8408539622
120,2.25,757.666666667,22.864219298,22.9210545895,14.6649924413,22.8520842119
121,2.3,778.333333333,22.8250307778,22.6550335513,7.75391165387,22.868185409
122,2.35,799.0,22.7785625519,22.6951344969,8.11653546696,22.8250307778
123,2.4,819.666666667,22.7532552809,22.7280418476,8.13710072543,22.7785625519
124,2.45,840.333333333,22.7530331471,22.7494366849,8.1908601299,22.7532552809
125,2.5,861.0,22.7658800651,22.7588701205,8.25928375811,22.7530331471
126,2.55,862.583333333,22.7796178583,22.7625622889,8.30332410797,22.7658800651
127,2.6,864.166666667,22.7897145152,22.7680037112,8.34134712304,22.7796178583
128,2.65,865.75,22.7973544394,22.7739788398,8.37808114138,22.7897145152
129,2.7,867.333333333,22.8044810975,22.7796359213,8.4133790351,22.7973544394
130,2.75,868.916666667,22.81188158,22.7849878872,8.44742269043,22.8044810975
131,2.8,870.5,22.8195172234,22.7899773436,8.48029755738,22.81188158
132,2.84166666667,872.083333333,22.825015445,22.8362868011,8.40036056377,22.8195172234
133,2.88333333333,873.666666667,22.8399139018,22.8522130743,8.51146559818,22.825015445
134,2.925,875.25,22.8562585333,22.8535780583,8.50185383923,22.8399139018
135,2.96666666667,876.833333333,22.8687048205,22.8578878199,8.53584492414,22.8562585333
136,3.00833333333,878.416666667,22.87703521,22.8616406354,8.56283120384,22.8687048205
137,3.05,880.0,22.883100106,22.8654287538,8.58819045585,22.87703521
138,3.09166666667,883.75,22.8884729916,22.8691285791,8.61596484308,22.883100106
139,3.13333333333,887.5,22.893716461,22.8729558189,8.6420205199,22.8884729916
140,3.175,891.25,22.8989400754,22.8761697906,8.66704405777,22.893716461
141,3.21666666667,895.0,22.9040190682,22.8798262822,8.69180099377,22.8989400754
142,3.25833333333,898.75,22.9090107497,22.8831251998,8.71619359254,22.9040190682
143,3.3,902.5,22.9138726137,22.8861497312,8.7401028692,22.9090107497
144,3.39166666667,906.25,22.9195380772,22.865929654,8.82549041493,22.9138726137
145,3.48333333333,910.0,22.919505301,22.8628035561,8.80656985126,22.9195380772
146,3.575,913.75,22.9182626992,22.8674689403,8.84869096761,22.919505301
147,3.66666666667,917.5,22.9191730073,22.8713648792,8.8676291641,22.9182626992
148,3.75833333333,921.25,22.9225576617,22.8772099192,8.88855325546,22.9191730073
149,3.85,925.0,22.9276741364,22.8840819547,8.90919804416,22.9225576617
150,3.94166666667,920.416666667,22.9336441551,22.8905959146,8.91505233038,22.9276741364
151,4.03333333333,915.833333333,22.9400130328,22.8984134312,8.91711452181,22.9336441551
152,4.125,911.25,22.9468622827,22.9072977504,8.91786243481,22.9400130328
153,4.21666666667,906.666666667,22.9543351887,22.9169640886,8.91707182946,22.9468622827
154,4.30833333333,902.083333333,22.9624296214,22.9276713518,8.91405060708,22.9543351887
155,4.4,897.5,22.9708072429,22.9469125366,8.9224833544,22.9677305129
156,4.45,892.916666667,22.9791486937,22.9988368601,8.78671079564,22.9778132718
157,4.5,888.333333333,22.9972764105,23.0239230188,8.82528211179,22.9909045404
158,4.55,883.75,23.0243570783,23.0381945661,8.82602528786,23.0174323031
159,4.6,879.166666667,23.0405590982,23.0508751696,8.81456040101,23.0362569524
160,4.65,874.583333333,23.0525409392,23.063567359,8.80163890591,23.049279552
161,4.7,870.0,23.0626814709,23.076754706,8.78769822636,23.0598649579
162,4.75,865.75,23.0721751005,23.0907252707,8.77325555118,23.0695015102
163,4.8,861.5,23.0816043468,23.1052704625,8.75799757756,23.0789340025
164,4.85,857.25,23.0911793233,23.1203413875,8.74186679601,23.0884609265
165,4.9,853.0,23.0969470514,23.1381015774,8.72795221561,23.0941655794
166,4.95,848.75,23.1098331004,23.1537949228,8.71020250172,23.1054804267
167,5.0,844.5,23.1210512096,23.1697571703,8.69169668198,23.1171960286
168,5.0,840.25,23.1934108394,23.3577527908,14.8708322375,23.170470999
169,5.0,836.0,23.2394711171,23.2548697726,14.8793569816,23.2323494756
170,5.0,831.75,23.215412677,23.2214206607,14.8724161865,23.2220609602
171,5.0,827.5,23.2103080446,23.2288651396,14.858648436,23.2125901618
172,5.0,823.25,23.202632845,23.2231222811,14.8416155998,23.2050361688
173,5.0,819.0,23.1999570497,23.2253828049,14.8235117921,23.2005581031
174,5.0,806.583333333,23.201889925,23.2300941322,14.7944778394,23.2010425513
175,5.0,794.166666667,23.2060916128,23.2353602007,14.7626762263,23.2045527108
176,5.0,781.75,23.2112620532,23.2408696767,14.7300317479,23.2094255001
177,5.0,769.333333333,23.2168357512,23.2463208135,14.6967178542,23.2148815303
178,5.0,756.916666667,23.222326381,23.2498868555,14.6628818977,23.2204663109
179,5.0,744.5,23.2258441282,23.2592836405,14.6320236874,23.2235791101
180,4.95,732.083333333,23.2579247607,23.4809019156,6.8173875631,23.2351255181
181,4.9,719.666666667,23.2926956862,23.4799623984,6.24640657621,23.2714426133
182,4.85,707.25,23.3157190883,23.4802385931,6.23980458412,23.2926956862
183,4.8,694.833333333,23.3267409984,23.4798761652,6.22543863945,23.3157190883
184,4.75,682.416666667,23.3307807927,23.4798938083,6.19129910173,23.3267409984
185,4.7,670.0,23.3320611796,23.4800060549,6.15689821658,23.3307807927
186,4.65,636.666666667,23.3324386884,23.480009036,6.08898427842,23.3320611796
187,4.6,603.333333333,23.3323654076,23.4798634237,6.01430212175,23.3324386884
188,4.55,570.0,23.3318636656,23.4802026749,5.93820592158,23.3323654076
189,4.5,536.666666667,23.3310314261,23.4800979407,5.86125760666,23.3318636656
190,4.45,503.333333333,23.3299051757,23.4802683177,5.78434735213,23.3310314261
191,4.4,470.0,23.3285729978,23.4797813551,5.70772900036,23.3299051757
192,4.26666666667,436.666666667,23.3307410147,23.3428222449,6.21337006521,23.3285729978
193,4.13333333333,403.333333333,23.3154143453,23.3315995216,5.6240769165,23.3307410147
194,4.0,370.0,23.2957972016,23.3302602347,5.67211188994,23.3154143453
195,3.86666666667,336.666666667,23.2829598589,23.330318145,5.58864069981,23.2957972016
196,3.73333333333,303.333333333,23.2784748753,23.3299691894,5.5030153131,23.2829598589
197,3.6,270.0,23.2792999739,23.330059388,5.4104374275,23.2784748753
198,3.46666666667,247.5,23.2825402747,23.3300547889,5.32689529808,23.2792999739
199,3.33333333333,225.0,23.2866762786,23.3303969778,5.24322857165,23.2825402747
200,3.2,202.5,23.2912444228,23.3304765569,5.15677008969,23.2866762786
201,3.06666666667,0.0,23.2959393582,23.3298551829,4.82300529111,23.2912444228
202,2.93333333333,0.0,23.3008126044,23.3304571342,4.75208881423,23.2959393582
203,2.8,0.0,23.3060739908,23.3300278355,4.72470141393,23.3008126044
204,2.75,0.0,23.3163420856,23.4054381842,11.2549635966,23.3070872706
205,2.7,0.0,23.3470878348,23.3903130596,11.1253515531,23.3288758689
206,2.65,0.0,23.3614541849,23.3490021409,11.1253515531,23.3527660174
207,2.6,0.0,23.3543996544,23.3101340752,11.1253515531,23.3614541849
208,2.55,0.0,23.3341128151,23.2880025616,11.1253515531,23.3543996544
209,2.5,0.0,23.3129857072,23.2794467618,11.1253515531,23.3341128151
210,2.45,0.0,23.2984424628,23.2769399519,11.1253515531,23.3129857072
211,2.4,0.0,23.2910180195,23.2754129891,11.1253515531,23.2984424628
212,2.35,0.0,23.287752656,23.2736921437,11.1253515531,23.2910180195
213,2.3,0.0,23.2858998272,23.2719672653,11.1253515531,23.287752656
214,2.25,0.0,23.2842191485,23.2703911645,11.1253515531,23.2858998272
215,2.2,0.0,23.2825132272,23.2689130837,11.1253515531,23.2842191485
216,2.10833333333,0.0,23.2819651091,23.2445123545,11.1253515531,23.2825132272
217,2.01666666667,0.0,23.2774325362,23.2374728028,11.1253515531,23.2819651091
218,1.925,0.0,23.2720771697,23.2336423943,11.1253515531,23.2774325362
219,1.83333333333,0.0,23.2687895791,23.2316375926,11.1253515531,23.2720771697
220,1.74166666667,0.0,23.2680464847,23.2305204782,11.1253515531,23.2687895791
221,1.65,0.0,23.2690197918,23.2297266681,11.1253515531,23.2680464847
222,1.55833333333,0.0,23.2708109071,23.2289526699,11.1253515531,23.2690197918
223,1.46666666667,0.0,23.2728924003,23.2283326612,11.1253515531,23.2708109071
224,1.375,0.0,23.2751070076,23.2275533578,11.1253515531,23.2728924003
225,1.28333333333,0.0,23.2773834729,23.2269446297,11.1253515531,23.2751070076
226,1.19166666667,0.0,23.2797404361,23.2263879213,11.1253515531,23.2773834729
227,1.1,0.0,23.2821882635,23.2259508567,11.1253515531,23.2797404361
228,1.1,0.0,23.3035754923,23.3331721556,4.70270374913,23.2821882635
229,1.1,0.0,23.3278686643,23.3304784741,4.70270374913,23.3035754923
230,1.1,0.0,23.343983369,23.3301775435,4.70270374913,23.3278686643
231,1.1,0.0,23.351243124,23.3296940589,4.70270374913,23.343983369
232,1.1,0.0,23.3529847524,23.3298736635,4.70270374913,23.351243124
233,1.1,0.0,23.3522541819,23.3302018516,4.70270374913,23.3529847524
234,1.1,0.0,23.3506107658,23.3302197233,4.70270374913,23.3522541819
235,1.1,0.0,23.3485281182,23.3301274421,4.70270374913,23.3506107658
236,1.1,0.0,23.346084685,23.3297431623,4.70270374913,23.3485281182
237,1.1,0.0,23.3432885447,23.3298845554,4.70270374913,23.346084685
238,1.1,0.0,23.3402628963,23.3299034641,4.70270374913,23.3432885447
239,1.1,0.0,23.3370710988,23.329853906,4.70270374913,23.3402628963
240,0.958333333333,0.0,23.335220467,23.5566094088,4.70270374913,23.3370710988
241,0.816666666667,0.0,23.360565121,23.5694392698,4.70270374913,23.335220467
242,0.675,0.0,23.3944840539,23.5694698894,4.70270374913,23.360565121
243,0.533333333333,0.0,23.4215246756,23.5697018625,4.70270374913,23.3944840539
244,0.391666666667,0.0,23.4386592792,23.569917688,4.70270374913,23.4215246756
245,0.25,0.0,23.448962402,23.5697529807,4.70270374913,23.4386592792
246,0.108333333333,0.0,23.4558874901,23.569929589,4.70270374913,23.448962402
247,-0.0333333333333,0.0,23.4614869427,23.5700097249,4.70270374913,23.4558874901
248,-0.175,0.0,23.4665583281,23.5694579218,4.70270374913,23.4614869427
249,-0.316666666667,0.0,23.4712501087,23.570138048,4.70270374913,23.4665583281
250,-0.458333333333,0.0,23.4757570829,23.5696853865,4.70270374913,23.4712501087
251,-0.6,0.0,23.4800728005,23.5698121473,4.70270374913,23.4757570829
252,-0.641666666667,0.0,23.4828854543,23.7218333218,4.70270374913,23.4800728005
253,-0.683333333333,0.0,23.5013087636,23.7296496372,4.70270374913,23.4828854543
254,-0.725,0.0,23.5236041126,23.729990431,4.70270374913,23.5013087636
255,-0.766666666667,0.0,23.5400434796,23.7305795489,4.70270374913,23.5236041126
256,-0.808333333333,0.0,23.5490174768,23.7298275456,4.70270374913,23.5400434796
257,-0.85,0.0,23.5526949805,23.7298750763,4.70270374913,23.5490174768
258,-0.891666666667,0.0,23.5536498786,23.7308005247,4.70270374913,23.5526949805
259,-0.933333333333,0.0,23.5535249951,23.7297925173,4.70270374913,23.5536498786
260,-0.975,0.0,23.5527513795,23.7299331568,4.70270374913,23.5535249951
261,-1.01666666667,0.0,23.5515668369,23.7301549499,4.70270374913,23.5527513795
262,-1.05833333333,0.0,23.5501137297,23.7304942703,4.70270374913,23.5515668369
263,-1.1,0.0,23.5484899164,23.7303893188,4.70270374913,23.5501137297
264,-1.19166666667,0.0,23.5404370717,23.1830814526,10.8319490331,23.555331652
265,-1.28333333333,0.0,23.4686665585,23.254411633,4.70270374913,23.5187007557
266,-1.375,0.0,23.3978625349,23.2596982264,5.11891415863,23.4686665585
267,-1.46666666667,0.0,23.3557430733,23.2599759498,4.70270374913,23.3978625349
268,-1.55833333333,0.0,23.3370998492,23.260196366,4.70270374913,23.3557430733
269,-1.65,0.0,23.3299624035,23.2597012527,4.70270374913,23.3370998492
270,-1.74166666667,0.0,23.3265086845,23.2600006624,4.70270374913,23.3299624035
271,-1.83333333333,0.0,23.3239283437,23.2598469477,4.70270374913,23.3265086845
272,-1.925,0.0,23.3217563367,23.2600394321,4.70270374913,23.3239283437
273,-2.01666666667,0.0,23.3201292149,23.2597118074,4.70270374913,23.3217563367
274,-2.10833333333,0.0,23.3190054174,23.2602879778,4.70270374913,23.3201292149
275,-2.2,0.0,23.3183442441,23.2598873626,4.70270374913,23.3190054174
276,-2.25,0.0,23.3141371653,23.3227176647,11.2232201475,23.3156719403
277,-2.3,0.0,23.3203208443,23.288720672,11.1253515531,23.3171108887
278,-2.35,0.0,23.3170809622,23.2707385451,11.1253515531,23.3205570766
279,-2.4,0.0,23.3060237905,23.2652682074,11.1253515531,23.3170809622
280,-2.45,0.0,23.2945239347,23.2652802704,11.1253515531,23.3060237905
281,-2.5,0.0,23.2867031833,23.265964108,11.1253515531,23.2945239347
282,-2.55,0.0,23.2822743151,23.2654099204,11.1253515531,23.2867031833
283,-2.6,0.0,23.2791606836,23.2643844863,11.1253515531,23.2822743151
284,-2.65,0.0,23.2759831209,23.2634309281,11.1253515531,23.2791606836
285,-2.7,0.0,23.272477592,23.2627886721,11.1253515531,23.2759831209
286,-2.75,0.0,23.2688910065,23.262294977,11.1253515531,23.272477592
287,-2.8,0.0,23.2654161003,23.2618851217,11.1253515531,23.2688910065
288,-2.75,0.0,23.2802522293,23.2558052611,5.07791441446,23.2718173595
289,-2.7,0.0,23.2828703429,23.2502733944,4.70270374913,23.2822858399
290,-2.65,0.0,23.2772389418,23.2498542501,4.70270374913,23.2828703429
291,-2.6,0.0,23.271327564,23.2501229164,4.70270374913,23.2772389418
292,-2.55,0.0,23.2684725156,23.249936324,4.70270374913,23.271327564
293,-2.5,0.0,23.2683549444,23.2495163288,4.70270374913,23.2684725156
294,-2.45,0.0,23.2696580468,23.2501605687,4.70270374913,23.2683549444
295,-2.4,0.0,23.2715943354,23.2501391177,4.70270374913,23.2696580468
296,-2.35,0.0,23.2737492944,23.2498564085,4.70270374913,23.2715943354
297,-2.3,0.0,23.2759589666,23.2497183735,4.70270374913,23.2737492944
298,-2.25,0.0,23.2782137193,23.2506412795,4.70270374913,23.2759589666
299,-2.2,0.0,23.2806421397,23.249841495,4.70270374913,23.2782137193
300,-2.2,0.0,23.2822409422,23.5242824537,4.70270374913,23.2806421397
301,-2.2,0.0,23.3137205381,23.5390120808,4.7073329109,23.2822409422
302,-2.2,0.0,23.3532790669,23.5394390106,4.70270374913,23.3137205381
303,-2.2,0.0,23.3830469582,23.5403112469,4.70270374913,23.3532790669
304,-2.2,0.0,23.4001008919,23.5394261036,4.70270374913,23.3830469582
305,-2.2,0.0,23.4084040377,23.5398113737,4.70270374913,23.4001008919
306,-2.2,0.0,23.4124571158,23.5400681566,4.70270374913,23.4084040377
307,-2.2,0.0,23.4148064071,23.5402355783,4.70270374913,23.4124571158
308,-2.2,0.0,23.4163929592,23.539995292,4.70270374913,23.4148064071
309,-2.2,0.0,23.4174156718,23.5403327044,4.70270374913,23.4163929592
310,-2.2,0.0,23.4180174715,23.5398683638,4.70270374913,23.4174156718
311,-2.2,0.0,23.4182323091,23.5402300863,4.70270374913,23.4180174715
312,-2.25,0.0,23.4185786352,23.805025253,4.70270374913,23.4182323091
313,-2.3,0.0,23.4494162149,23.8191760904,4.70270374913,23.4185786352
314,-2.35,0.0,23.4897023458,23.8193669972,4.70270374913,23.4494162149
315,-2.4,0.0,23.5215730771,23.8193737161,4.70270374913,23.4897023458
316,-2.45,0.0,23.5414039998,23.8192340178,4.70270374913,23.5215730771
317,-2.5,0.0,23.5526981616,23.820491685,4.70270374913,23.5414039998
318,-2.55,0.0,23.5596293402,23.8201449867,4.70270374913,23.5526981616
319,-2.6,0.0,23.5645004437,23.8197315784,4.70270374913,23.5596293402
320,-2.65,0.0,23.5682863573,23.8198630655,4.70270374913,23.5645004437
321,-2.7,0.0,23.5714267379,23.8197441607,4.70270374913,23.5682863573
322,-2.75,0.0,23.5741002061,23.8200947394,4.70270374913,23.5714267379
323,-2.8,0.0,23.5764802364,23.820484677,4.70270374913,23.5741002061
324,-2.89166666667,0.0,23.578232477,23.7163691876,4.70270374913,23.5764802364
325,-2.98333333333,0.0,23.5672798398,23.7102603175,4.70270374913,23.578232477
326,-3.075,0.0,23.5518487395,23.7099190122,4.70270374913,23.5672798398
327,-3.16666666667,0.0,23.5391539085,23.7096830056,4.70270374913,23.5518487395
328,-3.25833333333,0.0,23.5311468401,23.7104316129,4.70270374913,23.5391539085
329,-3.35,0.0,23.5267713254,23.7101955753,4.70270374913,23.5311468401
330,-3.44166666667,0.0,23.5242785888,23.7105233792,4.70270374913,23.5267713254
331,-3.53333333333,0.0,23.5226034091,23.7104327465,4.70270374913,23.5242785888
332,-3.625,0.0,23.5212468096,23.7100928151,4.70270374913,23.5226034091
333,-3.71666666667,0.0,23.5200216636,23.7096347582,4.70270374913,23.5212468096
334,-3.80833333333,0.0,23.518868529,23.7098787342,4.70270374913,23.5200216636
335,-3.9,0.0,23.5178531022,23.7101455084,4.70270374913,23.518868529
336,-3.9,0.0,23.519145868,23.341171677,6.8637736863,23.5232797459
337,-3.9,0.0,23.4753236725,23.3298658561,4.70270374913,23.5095853464
338,-3.9,0.0,23.4192699665,23.3299628109,4.70270374913,23.4753236725
339,-3.9,0.0,23.3769984733,23.3297315627,4.70270374913,23.4192699665
340,-3.9,0.0,23.3527495586,23.3293334266,4.70270374913,23.3769984733
341,-3.9,0.0,23.3405700732,23.3303053919,4.70270374913,23.3527495586
342,-3.9,0.0,23.3342424007,23.3299713687,4.70270374913,23.3405700732
343,-3.9,0.0,23.3301349435,23.3297621725,4.70270374913,23.3342424007
344,-3.9,0.0,23.3268395234,23.3300799535,4.70270374913,23.3301349435
345,-3.9,0.0,23.3241220676,23.3297858972,4.70270374913,23.3268395234
346,-3.9,0.0,23.3218789497,23.3298088675,4.70270374913,23.3241220676
347,-3.9,0.0,23.3200189758,23.3298014126,4.70270374913,23.3218789497
348,-3.80833333333,0.0,23.3172402283,23.6040710007,4.70270374913,23.3200189758
349,-3.71666666667,0.0,23.3441094194,23.6192905203,4.70270374913,23.3172402283
350,-3.625,0.0,23.3790666385,23.6200640711,4.70270374913,23.3441094194
351,-3.53333333333,0.0,23.4042747202,23.6203025407,4.70270374913,23.3790666385
