,prediction,real
0,22.8995139134,
1,22.8986711688,22.8949264219
2,22.8978335399,22.8942486526
3,22.8969961615,22.8935698116
4,22.8961592485,22.8928900761
5,22.8953237902,22.8922101273
6,22.8944891396,22.8915300783
7,22.8936545275,22.8908499442
8,22.8928206266,22.8901701166
9,22.8919880564,22.8894912137
10,22.8911673001,22.88881394
11,22.8903457003,22.8881389526
12,22.8886467212,22.8874674889
13,22.888025245,22.886800267
14,22.8874001088,22.8861375689
15,22.8867807817,22.8854795807
16,22.8861660559,22.8848265607
17,22.8855564635,22.8841786637
18,22.8849511858,22.883535819
19,22.8843505659,22.8828976968
20,22.8837536798,22.882263822
21,22.8831612322,22.8816336543
22,22.8825727647,22.8810084462
23,22.88197638,22.8803855796
24,22.8811595112,22.8797655779
25,22.880577068,22.8791483504
26,22.879996275,22.8785329245
27,22.8794168538,22.8779186669
28,22.8788386546,22.8773054237
29,22.8782608511,22.8766932458
30,22.8776835944,22.8760821928
31,22.877107118,22.8754722391
32,22.8765328469,22.8748633038
33,22.8759589635,22.8742552646
34,22.8753853004,22.873648
35,22.8748133208,22.8730413863
36,22.8738739311,22.8724352523
37,22.8732782264,22.871829482
38,22.8726820968,22.8712240693
39,22.872086124,22.87061915
40,22.8714904144,22.8700149921
41,22.8708961401,22.8694118736
42,22.8703021867,22.868810008
43,22.869711406,22.8682095024
44,22.8691203711,22.8676103911
45,22.868532554,22.8670126532
46,22.8679443981,22.8664162541
47,22.8673576816,22.8658211478
48,22.8663575929,22.865227321
49,22.8657566407,22.864634747
50,22.8651524748,22.8640434381
51,22.8645514374,22.8634535278
52,22.8639509427,22.8628652818
53,22.8633534773,22.8622789765
54,22.862756687,22.8616948072
55,22.8621634048,22.8611128511
56,22.8615716173,22.8605331007
57,22.8609818765,22.8599554949
58,22.8603944458,22.8593799576
59,22.8598101565,22.8588064091
60,22.8584573686,22.8582348226
61,22.857902789,22.8576635135
62,22.8573461322,22.8570944801
63,22.8567936063,22.8565288302
64,22.8562424324,22.8559664941
65,22.8556968781,22.8554074074
66,22.8551541594,22.8548516451
67,22.8546139641,22.8542992661
68,22.8540773894,22.8537502244
69,22.8535448664,22.853204379
70,22.8530135618,22.8526615396
71,22.8524864336,22.8521215075
72,22.8591607579,22.8584366551
73,22.8677187491,22.8671378287
74,22.8747529525,22.8742985866
75,22.879202071,22.8788386759
76,22.881613254,22.881309178
77,22.8828381532,22.8825745873
78,22.883476382,22.8832416807
79,22.8838225924,22.8836120354
80,22.8839960287,22.8838060513
81,22.8840425731,22.8838716329
82,22.8839922113,22.8838373137
83,22.8838667119,22.8837272537
84,22.8846627071,22.883561179
85,22.8844525886,22.8833548433
86,22.8842197503,22.8831205368
87,22.8839677117,22.8828652452
88,22.8836991129,22.8825925653
89,22.8834161276,22.8823047532
90,22.8831457762,22.8820023355
91,22.882855561,22.8816878861
92,22.8825572878,22.8813661173
93,22.8822590074,22.8810429405
94,22.8819682375,22.8807248417
95,22.8816915144,22.8804180539
96,22.8826723097,22.8801281967
97,22.8824246964,22.8798602579
98,22.8822115684,22.8796183463
99,22.8820316692,22.8794055218
100,22.8818859113,22.8792240511
101,22.8817735539,22.8790760647
102,22.8816908514,22.8789642179
103,22.8816484525,22.8788922172
104,22.8816454856,22.8788646049
105,22.8816878866,22.8788861754
106,22.8817823799,22.8789611846
107,22.8819305029,22.87909305
108,22.8814030566,22.8792840802
109,22.8816826888,22.8795356593
110,22.8819962366,22.8798483039
111,22.8823956925,22.8802221823
112,22.8828550142,22.8806569797
113,22.8833698397,22.8811518887
114,22.883946526,22.8817052196
115,22.8845771166,22.8823147119
116,22.8852594777,22.8829775877
117,22.8859907256,22.8836906568
118,22.886767758,22.8844492405
119,22.8875841463,22.8852454135
120,22.8908038664,22.8855642124
121,22.8896915095,22.8862337217
122,22.8909295569,22.8872384753
123,22.8922530469,22.8883786182
124,22.8935187362,22.8895373094
125,22.8947014755,22.8906919548
126,22.8958569605,22.8918610035
127,22.8970594352,22.8930661452
128,22.8983121777,22.8943188922
129,22.8996117384,22.8956214587
130,22.9009551079,22.896970693
131,22.9023371033,22.8983617026
132,22.9034697705,22.8997892182
133,22.904993773,22.9012484097
134,22.9064484316,22.9027348948
135,22.9079461315,22.9042454125
136,22.9094613649,22.905777532
137,22.9109962246,22.907329402
138,22.9125483634,22.9088990597
139,22.9141168972,22.9104845578
140,22.915694939,22.9120838629
141,22.9172877292,22.9136952125
142,22.9188883442,22.9153169356
143,22.92049477,22.9169464216
144,22.9222489533,22.9185827657
145,22.9238112171,22.9202260287
146,22.9254314183,22.9218759041
147,22.927052414,22.9235317626
148,22.9286912845,22.9251927189
149,22.9303413495,22.9268581701
150,22.9319916174,22.9285277876
151,22.9336545709,22.9302015588
152,22.9353283813,22.9318792135
153,22.9370104763,22.9335600468
154,22.9387012431,22.9352427122
155,22.9396494938,22.936111794
156,22.9407671479,22.9374903108
157,22.9419986559,22.9385940711
158,22.9442675853,22.9408270906
159,22.9463178272,22.9428480909
160,22.9482329379,22.944731392
161,22.9500633353,22.9465250892
162,22.9518383984,22.9482571037
163,22.953572971,22.9499440176
164,22.9552761718,22.9515954464
165,22.9561533088,22.952387506
166,22.9580726922,22.9542549156
167,22.9598955606,22.9560222236
168,22.9601468198,22.9568552172
169,22.9612965442,22.9587187403
170,22.9627809744,22.9604562391
171,22.9635795002,22.9612202115
172,22.9653165277,22.9630286557
173,22.9669680057,22.9646961564
174,22.9684992397,22.9662262381
175,22.9699394428,22.9676598811
176,22.9713061687,22.9690170563
177,22.972608904,22.9703094539
178,22.9738428361,22.9715444566
179,22.974413438,22.9720646979
180,22.9789658379,22.9726570978
181,22.9800790316,22.9737820403
182,22.981434182,22.9751452233
183,22.9827285054,22.9764507527
184,22.983863167,22.9775911224
185,22.9848476406,22.9785779005
186,22.9857191914,22.9794543047
187,22.9865137654,22.9802533128
188,22.9872512249,22.9809908936
189,22.987930262,22.981671961
190,22.98855611,22.9822970091
191,22.9891221436,22.9828655609
192,22.9896947268,22.9833775169
193,22.990107488,22.9838331732
194,22.9905306839,22.9842329969
195,22.9909081115,22.9845768136
196,22.9912273577,22.9848641127
197,22.9914939657,22.9850948506
198,22.9917077313,22.9852703925
199,22.991872149,22.9853933453
200,22.9919866926,22.9854672708
201,22.9920192159,22.9854958966
202,22.9920557548,22.9854826776
203,22.9920465285,22.9854297845
204,22.9900773663,22.9853749601
205,22.9898562966,22.9852341295
206,22.9894255843,22.9850558757
207,22.9889884059,22.98485461
208,22.9886407299,22.9846319536
209,22.9883604857,22.9843866837
210,22.9880984578,22.9841192902
211,22.9878223982,22.9838310177
212,22.9875260056,22.9835233412
213,22.9872118488,22.9831976003
214,22.9868822969,22.9828551802
215,22.986538268,22.9824973572
216,22.9802865367,22.9753952945
217,22.9709692718,22.9659217876
218,22.963112526,22.9579141336
219,22.9577531426,22.9524375849
220,22.9543764372,22.9489742801
221,22.9521662067,22.9466967708
222,22.9505448806,22.9450188844
223,22.9492222442,22.9436441562
224,22.9480759371,22.9424500777
225,22.9470577734,22.9413853569
226,22.9461368177,22.9404192856
227,22.9452887874,22.9395266789
228,22.9468565075,22.9386887613
229,22.94605178,22.9378873183
230,22.9452871102,22.9371105814
231,22.9445395489,22.9363524959
232,22.9438113962,22.9356097178
233,22.943096996,22.9348799464
234,22.942393369,22.9341632335
235,22.9416998209,22.9334575259
236,22.9410123947,22.9327600165
237,22.9403345531,22.9320687335
238,22.9396609572,22.9313825981
239,22.9389894742,22.9306990749
240,22.9383708285,22.930018104
241,22.9378386453,22.9293405594
242,22.9372278086,22.9286689784
243,22.9366234978,22.9280026896
244,22.9360259137,22.92734336
245,22.9354357364,22.9266941326
246,22.9348598398,22.9260571539
247,22.9342958398,22.9254329397
248,22.9337395774,22.9248208551
249,22.9332021635,22.9242196824
250,22.932666684,22.923628097
251,22.932143196,22.9230448278
252,22.9315984583,22.9224687408
253,22.9311047011,22.9218988306
254,22.9305684847,22.9213359469
255,22.9300408562,22.9207801395
256,22.9295115091,22.9202316
257,22.9289953413,22.9196911063
258,22.9284936119,22.9191594136
259,22.9279879947,22.9186367627
260,22.9274985761,22.918122885
261,22.9270177068,22.9176171685
262,22.9265449146,22.9171188876
263,22.9260757664,22.9166273052
264,22.9252432156,22.916444997
265,22.9253779243,22.9160706503
266,22.9249062126,22.9155228088
267,22.924351625,22.9149242457
268,22.9238114361,22.9143407319
269,22.9232895197,22.9137806388
270,22.9227815753,22.9132294325
271,22.9222654751,22.9126729671
272,22.9217397416,22.9121043629
273,22.9211973503,22.9115222913
274,22.92064888,22.9109279513
275,22.9200835721,22.9103230317
276,22.9172284248,22.9100851304
277,22.9162931412,22.9093438262
278,22.9154131043,22.9085510971
279,22.9146882085,22.9078322342
280,22.9140622206,22.9071772363
281,22.9134641134,22.9065461156
282,22.912860211,22.9059174178
283,22.9122494433,22.905284897
284,22.911635456,22.904648614
285,22.9110213088,22.9040100748
286,22.9104069584,22.9033703297
287,22.9097923082,22.9027297155
288,22.9310760323,22.921554987
289,22.9568013171,22.9478089048
290,22.978931041,22.9703666264
291,22.9937928759,22.9855179082
292,23.0026015362,22.9945075346
