,b0,b1,b2,b3,b4,b5,b6
0,28.4172101132,23.8675346838,23.8361061746,39.6780470292,27.5227654957,0.0460910843466,21.2095710269
1,28.4172006534,23.8675120496,23.8360989302,39.6781271687,27.5228112326,0.0460789592889,21.2095599781
2,28.4171949089,23.867487055,23.8360855246,39.6782799708,27.5228593799,0.0460319994286,21.209543206
3,28.4170420588,23.867178461,23.8360771151,39.6784892329,27.5229066101,0.0459853839358,21.209526434
4,28.4170352589,23.8669316493,23.8360586547,39.6786694049,27.5229457722,0.0459417980331,21.209509662
5,28.4168836878,23.8668713712,23.8360350103,39.6788487881,27.5229842706,0.0458984613499,21.2094928899
6,28.4168769869,23.8665901374,23.8358403166,39.6786366146,27.5230196072,0.0458563119049,21.2094761179
7,28.4167243218,23.8665933911,23.8358293422,39.6788458767,27.5230499265,0.0458160464686,21.2094593459
8,28.5501890468,23.9801822908,23.949070604,39.8727135574,27.6626505744,0.0472570352236,21.3033173658
9,28.5502249055,23.979462903,23.9487779238,39.8721616959,27.6580307496,0.0491200253133,21.3116623813
10,28.5501842057,23.9797704214,23.9489032325,39.872776752,27.6602744699,0.0482082241803,21.3078562533
11,28.5501773869,23.97961415,23.9488385699,39.8728356959,27.6595904336,0.0484899317367,21.3087890296
12,28.5501695507,23.9794549575,23.9488047517,39.8730110312,27.6595091422,0.0485256063873,21.3089035437
13,28.5501579623,23.9793992578,23.948244008,39.8731872127,27.6594192202,0.0485643785655,21.3089776732
14,28.5501466076,23.9793033958,23.9482132119,39.8722106961,27.6593433506,0.0485763943754,21.3090429858
15,28.5501357797,23.9792156436,23.9481822496,39.8724397679,27.6592756124,0.0485952965928,21.3090993268
16,28.5501246464,23.9791485144,23.9481547282,39.8726575857,27.659215161,0.0486133676556,21.3091491488
17,28.550119118,23.9790430999,23.9481234742,39.8728731575,27.6591509215,0.0486710282811,21.3091934286
18,28.5501077652,23.9789709817,23.9480957386,39.8730903934,27.6591024532,0.0487329809873,21.3092332748
19,28.5500965602,23.9788965765,23.9480605058,39.8733082866,27.6590550469,0.0487951318325,21.3092692832
20,28.7157523085,24.1182655132,24.0865791651,40.1079825905,27.8247265626,0.0465652162053,21.4261271605
