,t41,t42,t43,t44,t45,t5,t6
0,23.3988879464,23.4000692988,23.3989227977,23.399648731,23.3999677376,23.7074591871,23.3998660835
1,23.400323988,23.3988248947,23.3991102729,23.4013098332,23.3999690114,23.6934000574,23.4001142982
2,23.4012845399,23.4016724741,23.3991943198,23.4000632789,23.3999709978,23.684264242,23.4001685124
3,23.3999477299,23.3995227813,23.4007195532,23.3999512267,23.3999734053,23.6763868957,23.4001323905
4,23.4003181293,23.3997098975,23.3993104218,23.4003532412,23.3999759669,23.6688602205,23.400247351
5,23.3991226916,23.4007896212,23.4002255926,23.4005181597,23.3999785714,23.6617310172,23.4001404983
6,23.3999486782,23.3992095166,23.4000454907,23.3995554189,23.3999811697,23.6550694773,23.4000856737
7,23.3988641453,23.4009344676,23.3995885949,23.4004533438,23.3999837525,23.6488143539,23.3998193522
8,23.5045236931,23.5032714945,23.5040130635,23.4984489244,23.5022684208,23.638900312,23.5074416206
9,23.5095483393,23.5091795009,23.5091872089,23.5086306581,23.5092877173,23.6415583279,23.5097813328
10,23.5102588166,23.5097621685,23.510191083,23.5098049999,23.5098667222,23.6518317813,23.5097768173
11,23.5103653696,23.5101826471,23.5101801689,23.5099068328,23.5098814485,23.6600023212,23.5098096041
12,23.5098319093,23.5085870689,23.5096009843,23.5099060927,23.5098638827,23.6637101793,23.5097953912
13,23.5099389308,23.5107009096,23.5107499472,23.5099026876,23.5098505046,23.6645645346,23.5097882642
14,23.5099866152,23.5116766617,23.5109379614,23.5099031524,23.5098410245,23.6645616791,23.509781856
15,23.5092606549,23.5104328863,23.5098427599,23.5099026329,23.5098331003,23.664618375,23.5097755935
16,23.5092995544,23.5116823562,23.509756842,23.5099000731,23.5098254069,23.6648556212,23.5097694678
17,23.5098617972,23.5103060573,23.5098797694,23.5098961786,23.5098178851,23.6651390346,23.509763456
18,23.5098818562,23.5097398302,23.5110958819,23.5098912728,23.5098104217,23.66538548,23.509757553
19,23.5098713405,23.5112416196,23.5099226208,23.509886048,23.5098031879,23.6656218907,23.5097517509
20,23.6418872454,23.6406962289,23.6441375375,23.6352895118,23.6406654385,23.6698238338,23.6475054594
21,23.6492917004,23.6506063706,23.65076696,23.6481456136,23.6490274665,23.6907503277,23.6497509864
22,23.6498023297,23.6514396029,23.6512772316,23.6496604261,23.6497215457,23.7136890194,23.6496972168
23,23.6498355978,23.6499325266,23.6498704893,23.6498481402,23.6497773536,23.7275481238,23.649759151
24,23.6498258321,23.6500087492,23.6509515816,23.6498618154,23.6497713329,23.7324172448,23.649741362
25,23.649817766,23.6504425104,23.6502834608,23.6498602468,23.6497652031,23.7324453295,23.6497355355
26,23.6498128592,23.6500622838,23.650083518,23.6498559136,23.6497590675,23.7308706023,23.6497306034
27,23.6498093676,23.6502429487,23.6495954637,23.6498515129,23.6497533876,23.72903867,23.6497257146
28,23.649806487,23.6506185886,23.6500233656,23.6498471325,23.6497479003,23.7272011899,23.6497209226
29,23.6498040966,23.6503797119,23.6499692619,23.6498427085,23.6497425585,23.7253184411,23.6497162066
30,23.6498016746,23.6489692455,23.6504652748,23.6498383927,23.6497373609,23.723356292,23.6497115645
31,23.6497992853,23.6506914882,23.6502418102,23.649834248,23.6497323412,23.7213355589,23.6497070192
32,23.3435302141,23.3393513235,23.3374908553,23.3469038911,23.3458337831,23.7053148177,23.3372998018
33,23.3299717546,23.3309824848,23.3305833862,23.3301729178,23.3298874858,23.6489059424,23.3298381
34,23.3298421254,23.3314192916,23.330429547,23.3299243761,23.3297544251,23.5855016312,23.3297933762
35,23.3297721907,23.3314736053,23.3306793811,23.3298057393,23.3297000555,23.5484640115,23.3296179235
36,23.3297824646,23.3308234729,23.3309904314,23.3298089051,23.329708713,23.5350688835,23.3296444978
37,23.3297866924,23.3291764857,23.3296262126,23.329811698,23.3297093298,23.5326039237,23.329644621
38,23.3297938304,23.3296716602,23.3306999122,23.3298140656,23.3297088631,23.5327919209,23.3296426183
39,23.329800338,23.3311661352,23.3308360871,23.3298145971,23.3297076555,23.5330529145,23.3296407061
40,23.3298086288,23.3310532986,23.3304588547,23.3298126118,23.3297052603,23.533487717,23.3296387291
41,23.3298132105,23.3313346287,23.3300752598,23.329811863,23.3297040078,23.5343048586,23.3296367386
42,23.3298155408,23.3307017082,23.3309264546,23.329810768,23.3297025354,23.5354752541,23.329634756
43,23.3298170986,23.3296292874,23.32971932,23.329809648,23.329701132,23.5368807321,23.3296327906
44,23.7628269777,23.7606152212,23.7643326087,23.7555586185,23.7678499911,23.5801180271,23.7012201874
45,23.7696349561,23.7717850935,23.7700263873,23.76931687,23.7700802243,23.6708734122,23.7696719704
46,23.7698059192,23.7705001405,23.7710154759,23.7696680332,23.7697107729,23.7469763015,23.7695662314
47,23.769879952,23.7713472886,23.7705370749,23.769861793,23.7697486113,23.7899832124,23.7697089752
48,23.7698669478,23.7698613402,23.7695488592,23.7698400409,23.7697170985,23.8098453664,23.7697009973
49,23.7700841779,23.770112285,23.7711266983,23.7698273255,23.7697054614,23.8199025346,23.7696868654
50,23.7704243128,23.7691510064,23.7703511841,23.76981677,23.7696962562,23.8274383514,23.7696828284
51,23.7697595423,23.7692037533,23.7704418615,23.7698117691,23.769690181,23.8345953012,23.7696791197
52,23.769775619,23.771614947,23.7712226937,23.7698108397,23.769686473,23.841463461,23.7696755514
53,23.7693017829,23.7707622638,23.7700493501,23.7698111372,23.7696838221,23.8479450324,23.7696720892
54,23.7706075617,23.7722870182,23.7704367425,23.7698111458,23.7696814326,23.8538852311,23.7696687042
55,23.7699749284,23.7699489767,23.7702699886,23.769810349,23.7696790105,23.8594554017,23.7696653995
56,23.5643202571,23.5660213428,23.5608895452,23.5801762622,23.570209011,23.8603887229,23.5587751214
57,23.5509069833,23.5533843591,23.5506569016,23.5532019282,23.5510121146,23.8342599294,23.5503114574
58,23.5497032083,23.551880387,23.5497212869,23.5503313344,23.5498404995,23.7959136803,23.5497957207
59,23.5499031939,23.5499270837,23.5503103003,23.5499098333,23.5497176025,23.7686698311,23.5496783668
60,23.5498056425,23.5513206774,23.5510669821,23.5498717619,23.5497191103,23.7558313438,23.5497020746
61,23.5502992667,23.5500704127,23.5506654443,23.5498634361,23.5497187996,23.751493439,23.5497040357
62,23.5501936345,23.5492753904,23.5510312106,23.54985827,23.5497177605,23.7500783493,23.5497040933
63,23.5500251591,23.5515108843,23.5497914886,23.5498548124,23.5497168307,23.7490912017,23.5497040993
64,23.5500794138,23.5499430927,23.5499573291,23.5498528359,23.5497161576,23.7480820796,23.5497040349
65,23.5506987877,23.5494105026,23.551092537,23.5498515913,23.5497156467,23.7471824571,23.5501044355
66,23.5501852052,23.5494261638,23.5505943142,23.549850818,23.5497152304,23.7464979397,23.5497144837
67,23.5503950316,23.5491053149,23.549768167,23.5498501959,23.5497147616,23.7459679936,23.5497035313
68,23.530997238,23.5320749762,23.5304888971,23.5325233117,23.5314333308,23.7424288914,23.5304070053
69,23.5302815473,23.5306860867,23.5305085577,23.5301557922,23.529814919,23.7369386591,23.5296324562
70,23.5294736965,23.5316823093,23.5308769193,23.5298504449,23.5296781859,23.7322167465,23.5296277374
71,23.5296812734,23.5319765837,23.5303111518,23.5297937738,23.5296554986,23.7298724106,23.5303929
72,23.5297999199,23.5294403008,23.5295848708,23.5297863075,23.5296515314,23.7293756845,23.5296399623
73,23.5298008071,23.5317373725,23.5302183062,23.5297875131,23.5296504236,23.7297056987,23.5296116274
74,23.5297982942,23.5310597625,23.5297029356,23.5297899351,23.5296497584,23.7303617373,23.5303891973
75,23.5305000206,23.53077454,23.5296836099,23.5297920329,23.5296493752,23.7311357071,23.5296346666
76,23.5300762439,23.5294031385,23.5308746089,23.529793023,23.5296487136,23.7319804019,23.529606283
77,23.5303380685,23.5297012589,23.5307171521,23.5297929872,23.5296477863,23.7328805997,23.5296051708
78,23.5304155634,23.5306006859,23.5303150281,23.5297926018,23.5296468871,23.7338371337,23.5296029431
79,23.5295468988,23.5309571653,23.529994699,23.5297922606,23.5296460488,23.7348317008,23.5296013935
80,23.7387591868,23.7338334921,23.7405086531,23.7263093578,23.7365735521,23.7457112817,23.7457725802
81,23.7493524491,23.7476213761,23.7490940173,23.7468743796,23.7485467026,23.7841395384,23.7496067412
82,23.7493523683,23.7512083158,23.7507248758,23.7493900271,23.7495442206,23.8257414487,23.7495203716
83,23.7493353416,23.7523315544,23.7509941861,23.7497646656,23.7496620607,23.8532529627,23.7496624632
84,23.7510226496,23.7500455945,23.7509905508,23.7497887005,23.7496606236,23.8668970278,23.7496331317
85,23.7505257352,23.7490931722,23.7496125966,23.7497886858,23.7496614534,23.8730292846,23.749628571
86,23.7510019525,23.7493157432,23.7500843585,23.7497851899,23.7496616327,23.8766432735,23.7496259889
87,23.75024208,23.7497162696,23.7498122743,23.7497819844,23.7496614871,23.8798478971,23.7496233636
88,23.7493901155,23.7497545626,23.7511665247,23.7497793084,23.7496611353,23.882974195,23.749620863
89,23.7493227279,23.7493738282,23.7512632295,23.7497771686,23.7496607421,23.8859011541,23.7496184344
90,23.7500814769,23.7523253596,23.7506967663,23.7497755494,23.7496603275,23.888566859,23.7496160696
91,23.7503430388,23.7522353917,23.7502810797,23.7497740921,23.7496598682,23.891060775,23.7496137631
92,23.2845986921,23.2818323818,23.2827394299,23.2939057179,23.2879977418,23.868602905,23.3159509555
93,23.2699075551,23.2707390634,23.2708963746,23.2702930373,23.2698769372,23.7887430319,23.2698103635
94,23.2698195653,23.2715775235,23.2698666308,23.2699631633,23.2697169075,23.6879960837,23.2697225165
95,23.2697596616,23.2706117826,23.2700593866,23.2697140856,23.269596859,23.6275219913,23.2702421406
96,23.2697788416,23.2712623977,23.2697494758,23.2697404995,23.2696336094,23.6047228171,23.2695388219
97,23.2697790973,23.2715881516,23.2705863693,23.2697561882,23.2696472213,23.5994467105,23.270281042
98,23.2697800617,23.2705533749,23.269912582,23.2697696686,23.2696577329,23.5980531723,23.2695540882
99,23.2697753823,23.2706544498,23.2700061763,23.269774679,23.2696643538,23.596059157,23.2695258858
100,23.2697736962,23.2706379789,23.2706468932,23.2697745075,23.2696667998,23.5937176574,23.2695288665
101,23.2697735106,23.269657967,23.2699997549,23.2697745547,23.2696689115,23.591821387,23.269530838
102,23.2695095207,23.2697193465,23.2700854533,23.2697757637,23.2696712359,23.5905016336,23.2695333015
103,23.2704916871,23.2714806791,23.2705624033,23.2697780912,23.2696738872,23.589514463,23.2695356156
104,23.3273677683,23.326922645,23.3284013876,23.3219227713,23.3244662088,23.5924919863,23.32742777
105,23.3296562153,23.3294708508,23.3299240054,23.3287485982,23.3292133214,23.6012119211,23.3295157012
106,23.329865395,23.3296398067,23.3301033795,23.329654825,23.3296473066,23.6112500785,23.3295371294
107,23.329601073,23.3317159453,23.3305675637,23.3298004189,23.3296999017,23.6169087629,23.3295776429
108,23.329934273,23.3290881853,23.3305500663,23.3298221975,23.3297047055,23.6184185102,23.3295773519
109,23.3299923404,23.3318323874,23.330078821,23.3298314108,23.32970877,23.6178239951,23.3295818834
110,23.3299319602,23.3313467229,23.3306941878,23.3298383167,23.3297132745,23.6166238635,23.3295869082
111,23.3309928554,23.3310904721,23.3304626461,23.3298443397,23.3297179347,23.6153366982,23.32959185
112,23.3307849548,23.3298485285,23.3308086225,23.3298486139,23.3297226719,23.6139611499,23.3295967173
113,23.3306147279,23.3305666541,23.3300323525,23.3298527367,23.3297267571,23.6125064058,23.3296015056
114,23.330090571,23.3303219608,23.3297883128,23.329857185,23.329730853,23.611005113,23.3296062182
115,23.3293402457,23.3314534835,23.330805883,23.3298615143,23.3297348466,23.6094653135,23.329610852
