,prediction,real
0,23.4135482558,23.400323988
1,23.4158323915,23.4012845399
2,23.4151824603,23.3999477299
3,23.4156938416,23.4003181293
4,23.4157127826,23.3991226916
5,23.4152245512,23.3999486782
6,23.4157053162,23.3988641453
7,23.4150564234,23.5045236931
8,23.5141430965,23.5095483393
9,23.5245544536,23.5102588166
10,23.5255858926,23.5103653696
11,23.5255411442,23.5098319093
12,23.5260509868,23.5099389308
13,23.5253916328,23.5099866152
14,23.5249709771,23.5092606549
15,23.5253245132,23.5092995544
16,23.5249378415,23.5098617972
17,23.5253446179,23.5098818562
18,23.5255730414,23.5098713405
19,23.5250861027,23.6418872454
20,23.6472427512,23.6492917004
21,23.6591555212,23.6498023297
22,23.6602598832,23.6498355978
23,23.6608650502,23.6498258321
24,23.6608978689,23.649817766
25,23.6607552647,23.6498128592
26,23.6608663375,23.6498093676
27,23.6608209083,23.649806487
28,23.6606903462,23.6498040966
29,23.6607551657,23.6498016746
30,23.661237191,23.6497992853
31,23.6607210117,23.3435302141
32,23.3863764857,23.3299717546
33,23.3550935272,23.3298421254
34,23.3512897533,23.3297721907
35,23.350877204,23.3297824646
36,23.3510721066,23.3297866924
37,23.3516404819,23.3297938304
38,23.3515233774,23.329800338
39,23.3509827944,23.3298086288
40,23.3509186822,23.3298132105
41,23.3507857273,23.3298155408
42,23.3509502472,23.3298170986
43,23.3512980248,23.7628269777
44,23.7274301545,23.7696349561
45,23.7703289229,23.7698059192
46,23.7757787583,23.769879952
47,23.7760554754,23.7698669478
48,23.7765085093,23.7700841779
49,23.7764384035,23.7704243128
50,23.7767236458,23.7697595423
51,23.776716682,23.769775619
52,23.7758830772,23.7693017829
53,23.7760428842,23.7706075617
54,23.775530276,23.7699749284
55,23.7762319713,23.5643202571
56,23.583304308,23.5509069833
57,23.5634482265,23.5497032083
58,23.5616406195,23.5499031939
59,23.5621409758,23.5498056425
60,23.5617741127,23.5502992667
61,23.5621583036,23.5501936345
62,23.5624761609,23.5500251591
63,23.561773455,23.5500794138
64,23.5622140335,23.5506987877
65,23.5624495937,23.5501852052
66,23.562476386,23.5503950316
67,23.5625883841,23.530997238
68,23.5457541627,23.5302815473
69,23.544115495,23.5294736965
70,23.5435869564,23.5296812734
71,23.5434176682,23.5297999199
72,23.5442389092,23.5298008071
73,23.5435600683,23.5297982942
74,23.5436887681,23.5305000206
75,23.5437861273,23.5300762439
76,23.5442437576,23.5303380685
77,23.5441853184,23.5304155634
78,23.5438613883,23.5295468988
79,23.5436862901,23.7387591868
80,23.7358801141,23.7493524491
81,23.7552268855,23.7493523683
82,23.7562559516,23.7493353416
83,23.7559323133,23.7510226496
84,23.756613232,23.7505257352
85,23.7569977182,23.7510019525
86,23.756958071,23.75024208
87,23.7568088777,23.7493901155
88,23.7567668647,23.7493227279
89,23.7568793278,23.7500814769
90,23.75589474,23.7503430388
91,23.7557939889,23.2845986921
92,23.3455053888,23.2699075551
93,23.2982181649,23.2698195653
94,23.2924488413,23.2697596616
95,23.2922059553,23.2697788416
96,23.2920207667,23.2697790973
97,23.2918944964,23.2697800617
98,23.2922197927,23.2697753823
99,23.2926640259,23.2697736962
100,23.292722396,23.2697735106
101,23.2930538118,23.2695095207
102,23.293068415,23.2704916871
103,23.2924716896,23.3273677683
104,23.3452133265,23.3296562153
105,23.3509302741,23.329865395
