,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,sp0,m,rh
0,0,-2.29166666667,0.0,8075.34156938,22.8956027694,23.7657471049,23.76960586,23.7604573812,23.0956428828,23.75,0.0,0.0
1,1,-1.78333333333,0.0,8075.34156938,22.8949264219,23.7512283737,23.7537598934,23.7501210181,23.0954112406,23.75,0.0,0.0
2,2,-1.275,0.0,8075.34156938,22.8942486526,23.7506439768,23.7511795581,23.7497142082,23.0947304171,23.75,0.0,0.0
3,3,-0.766666666667,0.0,8075.34156938,22.8935698116,23.7502981708,23.7498488282,23.7512486129,23.0940990689,23.75,0.0,0.0
4,4,-0.258333333333,0.0,8075.34156938,22.8928900761,23.7486895528,23.7508446899,23.7504522128,23.0936685347,23.75,0.0,0.0
5,5,0.25,0.0,8075.34156938,22.8922101273,23.7499607575,23.7496419328,23.7501378688,23.0933522303,23.75,0.0,0.0
6,6,0.758333333333,0.0,8075.34156938,22.8915300783,23.751626057,23.7485762002,23.7500145866,23.0930329317,23.75,0.0,0.0
7,7,1.26666666667,0.0,8075.34156938,22.8908499442,23.7499008269,23.7500747489,23.7499276381,23.0926527747,23.75,0.0,0.0
8,8,1.775,0.0,8075.34156938,22.8901701166,23.7489575445,23.7505878258,23.7502069458,23.0922083987,23.75,0.0,0.0
9,9,2.28333333333,0.0,8075.34156938,22.8894912137,23.7492763113,23.7490308974,23.7512488488,23.0917140586,23.75,0.0,0.0
10,10,2.79166666667,0.0,8075.34156938,22.88881394,23.7505192041,23.7497359623,23.7506885803,23.0911786423,23.75,0.0,0.0
11,11,3.3,0.0,8075.34156938,22.8881389526,23.7502345006,23.7477532052,23.7508146256,23.0906024146,23.75,0.0,0.0
12,12,3.20833333333,0.0,8075.34156938,22.8874674889,23.9262326144,23.9282054335,23.9311962374,23.0901181909,23.94,0.0,0.0
13,13,3.11666666667,0.0,8075.34156938,22.886800267,23.93935301,23.9399981491,23.9394265888,23.0897186272,23.94,0.0,0.0
14,14,3.025,0.0,8075.34156938,22.8861375689,23.9384577471,23.9397838623,23.9396980096,23.0893632074,23.94,0.0,0.0
15,15,2.93333333333,0.0,8075.34156938,22.8854795807,23.9387208819,23.9399670084,23.9405207817,23.0890346551,23.94,0.0,0.0
16,16,2.84166666667,0.0,8075.34156938,22.8848265607,23.9388401232,23.9402438765,23.9390691175,23.0887318872,23.94,0.0,0.0
17,17,2.75,0.0,8075.34156938,22.8841786637,23.9402232018,23.938730834,23.9401152896,23.0884526574,23.94,0.0,0.0
18,18,2.65833333333,0.0,8075.34156938,22.883535819,23.939060002,23.9408470462,23.9386044993,23.0881893614,23.94,0.0,0.0
19,19,2.56666666667,0.0,8075.34156938,22.8828976968,23.9380719899,23.9419652433,23.9389465751,23.0879334237,23.94,0.0,0.0
20,20,2.475,0.0,8075.34156938,22.882263822,23.9389969121,23.9397576371,23.9386671637,23.0876792134,23.94,0.0,0.0
21,21,2.38333333333,0.0,8075.34156938,22.8816336543,23.9396478526,23.9405695451,23.9405147514,23.087424463,23.94,0.0,0.0
22,22,2.29166666667,0.0,8075.34156938,22.8810084462,23.9387338829,23.9405511077,23.94096329,23.0871698767,23.94,0.0,0.0
23,23,2.2,0.0,8075.34156938,22.8803855796,23.9383214039,23.9403326715,23.9385458295,23.0869138922,23.94,0.0,0.0
24,24,2.10833333333,0.0,8075.34156938,22.8797655779,23.9781129839,23.9772868088,23.976799332,23.0866577279,23.98,0.0,0.0
25,25,2.01666666667,0.0,8075.34156938,22.8791483504,23.9791568962,23.9810512305,23.9799280893,23.086401567,23.98,0.0,0.0
