,prediction,real
0,23.4760241347,
1,23.4074278698,23.4166977579
2,23.316977577,23.3258300436
3,23.2387370391,23.2464795202
4,23.1851345972,23.1919618888
5,23.1515690798,23.1578645454
6,23.129118871,23.135141939
7,23.1115214104,23.1173469551
8,23.0960022674,23.1016565998
9,23.0818524767,23.0873582238
10,23.0690259961,23.0743835989
11,23.0575267991,23.0627638334
12,23.0504827441,23.0530879673
13,23.0521989441,23.0546155908
14,23.0584453892,23.061061286
15,23.062046482,23.0647162989
16,23.0617221202,23.0643825688
17,23.0589232527,23.0615676541
18,23.0550426546,23.0576426691
19,23.0508011296,23.0533660807
20,23.0464149008,23.048929522
21,23.0419992393,23.0444747613
22,23.0375358389,23.0399733873
23,23.0329310304,23.0353023293
24,23.0317327774,23.030829416
25,23.03893504,23.0379886731
26,23.049518311,23.0487131952
27,23.0556059445,23.0548952595
28,23.056091526,23.0554044471
29,23.0528760943,23.0521529981
30,23.047923966,23.0471303794
31,23.0422867148,23.0414492994
32,23.0362821867,23.0353725782
33,23.0299502207,23.0289724222
34,23.0234029438,23.0223454477
35,23.0166896723,23.0155582109
36,23.0100234889,23.0099641385
37,23.0022052316,23.0020761964
38,22.9946228679,22.9944246337
39,22.9893608039,22.9890885608
40,22.9863992063,22.9861067063
41,22.9848797048,22.984559178
42,22.9841294256,22.9838112932
43,22.9837417865,22.9834174935
44,22.9835906007,22.9832614004
45,22.9836201801,22.983297497
46,22.983763999,22.9834471005
47,22.9840180025,22.9836912261
48,22.9860314068,22.9828388902
49,22.9933036219,22.9901471052
50,23.0019198671,22.9988023963
51,23.0058916591,23.0028162581
52,23.0046320459,23.001548965
53,22.9998814793,22.9967251219
54,22.9934619729,22.9902268213
55,22.9863007659,22.9829727907
56,22.9787427754,22.9753125581
57,22.9709132013,22.9673945639
58,22.9629124626,22.9592734212
59,22.9547802158,22.9510469725
60,22.9492448148,22.9462171925
61,22.946238973,22.9432022949
62,22.9457807477,22.942742126
63,22.9482809153,22.9452831788
64,22.9530700467,22.9501342889
65,22.959273466,22.9564129123
66,22.9662885278,22.9635208421
67,22.9738274231,22.9711578814
68,22.9817016943,22.9791224852
69,22.9898779465,22.9874048739
70,22.9983079839,22.9959392189
71,23.0069228372,23.0046644985
72,23.0144229269,23.0107069678
73,23.02204754,23.018406382
74,23.0284362337,23.024822974
75,23.0312177213,23.0276463342
76,23.0305962433,23.0270076271
77,23.0277409278,23.0241170579
78,23.0237185223,23.0200416892
79,23.0191260587,23.0153937578
80,23.0141718946,23.0103654628
81,23.008970326,23.005097802
82,23.0036450929,22.9997062348
83,22.9981744399,22.9941612016
84,22.9950069671,22.9911384163
85,22.9946129227,22.9907657486
86,22.9964529367,22.9926180024
87,22.9999630051,22.9961756308
88,23.0045787803,23.0008567898
89,23.0098329509,23.006168551
90,23.0154547895,23.0118247548
91,23.0212891872,23.0177034707
92,23.0273676449,23.0238486153
93,23.0336671122,23.0301983953
94,23.0401545838,23.036754218
95,23.046831424,23.0434935978
96,23.0492146675,23.0456807827
97,23.0463093047,23.0427178391
98,23.0392316591,23.0355157899
99,23.0293544456,23.025502484
100,23.0178196984,23.0138107848
101,23.0053762703,23.0011943393
102,22.9924422042,22.9880980783
103,22.9793089971,22.9747994286
104,22.9661170822,22.9614416987
105,22.9529161569,22.9480864304
106,22.9397165546,22.9347114654
107,22.926584651,22.9214167985
108,22.9100124549,22.9081942863
109,22.8862966272,22.8851952201
110,22.8573406452,22.8566788944
111,22.8311722924,22.8301944055
112,22.8119944054,22.8107890394
113,22.7994503588,22.7980832435
114,22.7912960706,22.7896696982
115,22.7861335731,22.7841388981
116,22.7835497223,22.7811153175
117,22.7833990191,22.7805025607
118,22.7898818172,22.7863847446
119,22.7973754813,22.7938706404
120,22.8020770738,22.8021193983
121,22.7909197033,22.7920522763
122,22.7882191908,22.7886585231
123,22.7853491415,22.7857025813
124,22.7893198891,22.7896346558
125,22.7973552812,22.7976113225
126,22.8075183383,22.8078027682
127,22.8185395455,22.8188664809
128,22.8300430595,22.8304172412
129,22.8418170762,22.8422410542
130,22.8537144853,22.8541918117
131,22.8656386916,22.8661715058
132,22.8755973387,22.8719285809
133,22.9112665183,22.9070570292
134,22.9498528934,22.9466755373
135,22.9788464908,22.9758937102
136,22.9969658747,22.9941369318
137,23.0089781527,23.0061978232
138,23.0187598044,23.0159835908
139,23.0279337741,23.0251745372
140,23.0367746703,23.0340382079
141,23.0452054653,23.042491826
142,23.0532249054,23.0505135551
143,23.0609723807,23.0582830145
144,23.0590011131,23.0579918203
145,23.0510939588,23.0502015296
146,23.0480197519,23.047164006
147,23.0483121875,23.0474725833
148,23.0507838876,23.0499619758
149,23.0546609232,23.0538578905
150,23.0591283779,23.0583863635
151,23.0637415374,23.0630678546
152,23.0684194461,23.067814763
153,23.0731330179,23.0725978495
154,23.0758627443,23.0753696273
155,23.0815631031,23.0811529585
156,23.0764041345,23.0780161937
157,23.0587135257,23.0601173418
158,23.0479538001,23.0492804742
159,23.0449270625,23.0462692237
160,23.0375539453,23.0388620773
161,23.0321885056,23.033492605
162,23.0278182166,23.0291318835
163,23.0238880419,23.0252200186
164,23.0201771792,23.0215315906
165,23.0185284771,23.0199294521
166,23.0140580783,23.0154777193
167,23.009595138,23.0110393649
168,23.0377390405,23.031546774
169,23.0815580825,23.0772190265
170,23.1189013114,23.115107494
171,23.1418661229,23.1382888335
172,23.1538959236,23.1505226267
173,23.1605373371,23.1573072934
174,23.164783709,23.1617257801
175,23.1678188851,23.1649124524
176,23.1700939482,23.167344163
177,23.171793871,23.1691871119
178,23.1731052239,23.1706531023
179,23.1741132287,23.1718037249
180,23.1761431767,23.1759849678
181,23.1600472508,23.1614026403
182,23.1342350546,23.13571843
183,23.1074839031,23.1091110274
184,23.0852026727,23.0867979683
185,23.0681776395,23.0697487211
186,23.0546024559,23.0562767056
187,23.0426452344,23.0444500978
188,23.0312544173,23.0332021523
189,23.0200383597,23.0221219891
190,23.0089243866,23.0111555177
191,22.9979203202,23.0002726854
192,22.9985051573,23.0046619376
193,22.9773049114,22.9850540558
194,22.9512411847,22.9584022687
195,22.9310914093,22.9384089513
196,22.9207937224,22.9282350162
197,22.9176441415,22.9253009773
198,22.9184619464,22.9263530848
199,22.921700557,22.9298337831
200,22.9260451485,22.9345291159
201,22.9301407149,22.93942354
202,22.932951681,22.9427883812
203,22.9348385995,22.944794917
204,22.9359117353,22.9451709531
205,22.9380117624,22.9473103648
206,22.9401035476,22.9494930044
207,22.9407364356,22.9502038835
208,22.9397325198,22.9492669231
209,22.937563406,22.9471271159
210,22.934775528,22.9443846836
211,22.9316407086,22.9412679565
212,22.9283091386,22.9379495414
213,22.9248701357,22.9345134485
214,22.9213689432,22.9310190015
215,22.9177959113,22.927460296
216,22.930657396,22.9342360904
217,22.9605387256,22.9640736567
218,22.9948670048,22.9994097995
219,23.0202282451,23.0252551325
220,23.0361931424,23.041428075
221,23.047494808,23.0528843512
222,23.0574958903,23.0630242506
223,23.0674697496,23.0731257608
224,23.0775720378,23.083358423
225,23.0877228356,23.0936287694
226,23.097871079,23.1039033863
227,23.1080352979,23.1142112525
228,23.1119157529,23.1206406613
229,23.1026000222,23.111960484
230,23.0842168135,23.0938418885
231,23.064140448,23.073817461
232,23.0462577293,23.0557982321
233,23.0315426192,23.0409104147
234,23.0194580603,23.0286796333
235,23.0090336069,23.0181337617
236,22.9994814949,23.0084697378
237,22.9903643494,22.9992453325
238,22.9814885621,22.9902654791
239,22.9726898821,22.9813552632
240,22.9940713369,22.993471545
241,23.0219731693,23.0242077308
242,23.0534892633,23.0560147761
243,23.0768083177,23.0796564224
244,23.0922959907,23.0953349215
245,23.1031290062,23.1063149905
246,23.1118602793,23.1151774678
247,23.1197147409,23.1231470073
248,23.1271575496,23.1306990674
249,23.1344130759,23.1380291996
250,23.1416270951,23.1453578423
251,23.1488272575,23.1526561423
252,23.1547882333,23.1575248599
253,23.1607916472,23.1635975482
254,23.1656959511,23.1685420977
255,23.1677284074,23.1705973077
256,23.1670572328,23.1699277452
257,23.1645311958,23.1673660527
258,23.1609484067,23.1637439315
259,23.1567850573,23.1595297414
260,23.1522461202,23.1549359801
261,23.1474878491,23.150118977
262,23.1425040751,23.1450931387
263,23.1373292422,23.1398569862
264,23.1373003452,23.136551887
265,23.1482506321,23.1476064636
266,23.1648881738,23.1643726708
267,23.1787921385,23.1784801597
268,23.1878885565,23.1876878602
269,23.1933603057,23.1932262166
270,23.1969717716,23.1968937258
271,23.1997477534,23.1997158739
272,23.2020275543,23.2020427807
273,23.2040525908,23.204084364
274,23.2059656654,23.2060336894
275,23.2077792518,23.2078858873
276,23.2093088556,23.2078884478
277,23.2124204362,23.2110190998
278,23.2154135553,23.2139989758
279,23.2153636123,23.2139690564
280,23.211974299,23.2105436047
281,23.2062259567,23.2047154892
282,23.1991336264,23.1975526587
283,23.1912973203,23.1896206644
284,23.1830304082,23.1812488647
285,23.1744568859,23.1725751063
286,23.1657035989,23.1637087445
287,23.1567753615,23.1546897372
288,23.14343316,23.146691209
289,23.1140593219,23.1184452498
290,23.0772417495,23.0825434393
291,23.0449525589,23.0498601465
292,23.0234326399,23.0280894651
293,23.0125884655,23.0171006257
294,23.0088445937,23.0133120106
295,23.0088605918,23.0133266076
296,23.010744346,23.0152323335
297,23.0136747128,23.0181990715
298,23.0173333566,23.0218939749
299,23.0215792442,23.0261923266
300,23.0823459693,23.0752389462
301,23.1198939055,23.1171331044
302,23.1527724971,23.1501987634
303,23.1746351661,23.1723479868
304,23.1878121126,23.1856789317
305,23.1954356022,23.1933980355
306,23.1999362829,23.197961621
307,23.2026497387,23.2007013291
308,23.204271101,23.2023405357
309,23.205132082,23.203236747
310,23.2054469849,23.2035248272
311,23.2054162967,23.2034989346
312,23.1936347222,23.19708848
313,23.1653951877,23.1700749658
314,23.1292081652,23.1347167717
315,23.0963661846,23.1015042696
316,23.0729165939,23.0777637988
317,23.0591156863,23.0638003625
318,23.0518836183,23.0564967316
319,23.0481490767,23.0527324623
320,23.0461501381,23.0507058861
321,23.0451863645,23.0497340582
322,23.0449491311,23.0494879581
323,23.045272014,23.0498276886
324,23.0507842491,23.0506051712
325,23.0694631745,23.0692602539
326,23.0945998357,23.0947854768
327,23.1140354001,23.1144831038
328,23.1252384407,23.1258265297
329,23.1305556351,23.1312262313
330,23.132736761,23.1334347367
331,23.1334657796,23.1341754226
332,23.1334784281,23.1341988519
333,23.132988496,23.1337115982
334,23.1321141247,23.1328254573
335,23.130951522,23.1316504336
336,23.2103341737,23.2006834695
337,23.250170865,23.2445361375
338,23.274423626,23.2688744542
339,23.286788797,23.2814226237
340,23.2935518609,23.2882741405
341,23.2978051886,23.2925685589
342,23.3008165744,23.2956180349
343,23.3029231093,23.297744164
344,23.3042898778,23.2991316078
345,23.3051107893,23.2999704621
346,23.305488735,23.3003348045
347,23.3056530004,23.3005211735
348,23.2879818979,23.2892971456
349,23.2467081003,23.2494427687
350,23.1922372509,23.1956474808
351,23.1389586894,23.141694577
352,23.0961117583,23.0983387847
353,23.0650432819,23.0668788723
354,23.0422950322,23.04385617
355,23.0242561994,23.0255797235
356,23.008650659,23.0097669627
357,22.9943659476,22.995309092
358,22.9808803771,22.98164514
359,22.9680051554,22.9686103342
360,22.9672276409,22.9673562237
361,22.9678463735,22.9679790751
362,22.9694572048,22.9696163104
363,22.9727783099,22.972967865
364,22.9779988012,22.9782579992
365,22.9847597668,22.9851040685
366,22.9925159526,22.9929590358
367,23.0009271317,23.0014718145
368,23.0097825383,23.0104618899
369,23.0189537465,23.0197362323
370,23.028440795,23.0293368284
371,23.0382465021,23.0392558907
372,23.1290465597,23.1187421595
373,23.1865580873,23.1805897459
374,23.2313059831,23.2256670036
375,23.2635067794,23.2583205852
376,23.2885531235,23.2836886832
377,23.3100837965,23.3054752527
378,23.3302491548,23.3258299669
379,23.3496673082,23.3454731502
380,23.3685317801,23.3645577359
381,23.3870393511,23.3832788417
382,23.4054138017,23.4018625716
383,23.4238285098,23.4204888854
384,23.4259103847,23.4214508109
385,23.4387197755,23.4327290709
