,prediction,real
0,23.7498026523,
1,23.7530205491,23.7505095626
2,23.7522920857,23.7516762022
3,23.7527911394,23.750734942
4,23.753321301,23.7491585892
5,23.7519997393,23.7512072076
6,23.753285533,23.7488869515
7,23.7524769147,23.749444283
8,23.7527396395,23.7478305397
9,23.752526154,23.7492502831
10,23.7535131043,23.7495942041
11,23.7526163851,23.749591681
12,23.9406459401,23.9270065369
13,23.937505216,23.9387294755
14,23.9381792978,23.9402871068
15,23.9371736786,23.9382495794
16,23.9375801259,23.9412585707
17,23.9385426383,23.938045564
18,23.9377544378,23.9407038329
19,23.9386273194,23.9399439699
20,23.9377256134,23.9389718651
21,23.9379859074,23.9384087837
22,23.9371870472,23.9399824171
23,23.9372300279,23.939621538
24,23.9767786558,23.9778529545
25,23.9761094155,23.9786295761
26,23.9762892777,23.9806553707
27,23.9763633531,23.9810434004
28,23.9758320903,23.9810440808
29,23.9770295807,23.981554527
30,23.977279931,23.9789604725
31,23.9771294368,23.9792938653
32,23.9768024622,23.9812897706
33,23.9773944172,23.9795732401
34,23.9765746182,23.9794805427
35,23.9771668017,23.9802704265
36,24.0359461688,24.0371145539
37,24.0341841375,24.038255032
38,24.0354813826,24.0386797139
39,24.034746773,24.0403639448
40,24.0348798596,24.039629958
41,24.0349933526,24.0414436703
42,24.0360915612,24.03842174
43,24.0350025153,24.0404616777
44,24.0343975749,24.0390258668
45,24.0355807708,24.039335771
46,24.0354717336,24.0380968745
47,24.0351029019,24.039845379
48,24.1046001442,24.107319272
49,24.1033442223,24.1106665355
50,24.1036554293,24.1112671047
51,24.1031166926,24.1090724336
52,24.1027172521,24.1103569436
53,24.102612525,24.1101045405
54,24.1025363184,24.1089959597
55,24.1037920167,24.1113764162
56,24.1026271967,24.1084181977
57,24.1029923607,24.109867177
58,24.1031415767,24.1103942796
59,24.1036451182,24.1097192522
60,24.2426568583,24.2416635555
61,24.2387850368,24.2477984599
62,24.2408123321,24.2494068041
63,24.2397802546,24.2491590426
64,24.2388703056,24.2502792114
65,24.2399581649,24.2502367641
66,24.2398251307,24.2507071335
67,24.2388488162,24.2494055391
68,24.2390567252,24.2516931624
69,24.2386731897,24.2496163097
70,24.240331703,24.2497431614
71,24.2395216028,24.2487645803
72,24.1414250186,24.1536180356
73,24.1427205772,24.1517877803
74,24.1427976225,24.1499348275
75,24.1426636742,24.1481836184
76,24.1423781869,24.1490806012
77,24.142359252,24.1495801282
78,24.1425796156,24.1482086927
79,24.1429008789,24.1486217788
80,24.1420572174,24.1487750653
81,24.1421432024,24.1506132524
82,24.1417797727,24.1515103446
83,24.1409744015,24.1504298594
84,23.9741429905,23.9902335841
85,23.9769450301,23.9814700598
86,23.9763871105,23.9804628145
87,23.9771473692,23.9819281016
88,23.976375902,23.9797891223
89,23.9773041656,23.9793970172
90,23.9779681854,23.9785652011
91,23.9766152019,23.9782105761
92,23.9771437562,23.9796849586
93,23.9768741569,23.9799761109
94,23.9767861954,23.9801532855
95,23.9767086725,23.9816113852
96,23.7599637815,23.7728447358
97,23.7641596025,23.7604126778
98,23.7634229469,23.7601876336
99,23.7633462007,23.7590535741
100,23.7637138648,23.7596569288
101,23.7636244662,23.758693681
102,23.7631436682,23.7599090935
103,23.7632486512,23.7607146894
104,23.7634571684,23.7608488086
105,23.7642611992,23.759762684
106,23.7638510701,23.7594167832
107,23.763396638,23.759753458
108,23.8919573991,23.8827412751
109,23.8900300929,23.8905340265
110,23.8906972779,23.890731478
111,23.8899509398,23.8900269754
112,23.8900057986,23.88969404
113,23.890355027,23.8901973559
114,23.8899231111,23.8899736033
115,23.8903584222,23.8899892826
116,23.8904553925,23.8899898226
117,23.8904588259,23.8899889744
118,23.8900127896,23.8899882016
119,23.8902544272,23.8899875035
120,23.4687549451,23.4821268435
121,23.472711479,23.4601486949
122,23.4714561861,23.4600123386
123,23.4718847331,23.4599694725
124,23.4714134317,23.4599738313
125,23.4716029199,23.4599729984
126,23.4710029355,23.4599704858
127,23.4706654144,23.4599687544
128,23.4707095956,23.4599678086
129,23.4715844653,23.4599668613
130,23.4709918237,23.4599662959
131,23.47151562,23.4599654227
132,23.5606752054,23.536318557
133,23.5582071732,23.5477726729
134,23.5589502543,23.5496060222
135,23.5591589494,23.5499026887
136,23.5582908777,23.5499503099
137,23.5580374323,23.549957139
138,23.558614955,23.5499573248
139,23.5573654678,23.5499562184
140,23.557745602,23.5499550707
141,23.5577116719,23.5499540331
142,23.5580561287,23.549953002
143,23.5576289361,23.5499519301
144,23.5078133738,23.5093138004
145,23.5093963065,23.5017030879
146,23.5091372584,23.5003128847
147,23.5095842806,23.5000531994
148,23.508602213,23.500005123
149,23.5090467496,23.50044258
150,23.5086572873,23.5000929537
151,23.509489001,23.5000248497
152,23.5097883197,23.5000129858
153,23.5087494007,23.5000123098
154,23.5086280153,23.5000121973
155,23.5091629681,23.5000011356
156,23.5991012285,23.5734864074
157,23.5969365686,23.5897955851
158,23.5967429979,23.5899973197
159,23.5966657673,23.5899998917
160,23.5967050202,23.5899999014
161,23.5967730469,23.5899999411
162,23.5968522585,23.5899999959
163,23.5967473881,23.590000055
164,23.5967736578,23.5900001135
165,23.5966801274,23.5899993688
166,23.5968451623,23.5900001136
167,23.5969312882,23.5900005223
168,23.8834185297,23.8799848994
169,23.8802953252,23.8800097301
170,23.8792826078,23.8800024802
171,23.879172478,23.8800015507
172,23.8792957339,23.8800001954
173,23.8792028465,23.8799992729
174,23.8792820944,23.8799991039
175,23.8792705316,23.8799991212
176,23.8793065805,23.8799992356
177,23.8793433342,23.8799993738
178,23.8793426182,23.8799995113
179,23.8792139343,23.8799987003
180,23.4884323165,23.5059501085
181,23.4907792452,23.4804310455
182,23.4897198668,23.4800793949
183,23.4895955318,23.4800166938
184,23.4901088975,23.4800107005
185,23.4904794844,23.4800084774
186,23.4898427122,23.4800075072
187,23.4902835438,23.4800075527
188,23.4899941487,23.4800079387
189,23.4907015358,23.4800082765
190,23.4904141875,23.4800084592
191,23.4897723514,23.4800084828
192,23.3423746921,23.3437389979
193,23.3448134625,23.3309349713
194,23.3440362412,23.3300634859
195,23.3440379288,23.3299958352
196,23.3442214375,23.3299917446
197,23.3438461188,23.3299909268
198,23.3441307113,23.3300344363
199,23.3439889007,23.3303890045
200,23.3447800005,23.3305885328
201,23.3442397061,23.3300016712
202,23.3445566323,23.3298884937
203,23.3435992288,23.3297284336
204,23.7273673301,23.7137808848
205,23.7231703246,23.7194318834
206,23.7223656707,23.7199712411
207,23.7235008962,23.7206851049
208,23.7238737246,23.7199144497
209,23.7240322315,23.7211960251
210,23.7231637508,23.7189572581
211,23.7244182773,23.7193938907
212,23.7241700523,23.7200974531
213,23.7241733342,23.7196581351
214,23.7241877482,23.7202943479
215,23.7237605523,23.7196959728
216,23.6053552206,23.6056760712
217,23.6072918631,23.6017249048
218,23.6056944608,23.6013108821
219,23.6058384275,23.5989451005
220,23.6065693611,23.5993831357
221,23.6075366426,23.6013549643
222,23.606846506,23.5999881155
223,23.6066550859,23.6001075949
224,23.6064738421,23.6006760181
225,23.6077811021,23.598914492
226,23.6070537964,23.6001928498
227,23.6061581709,23.5992193802
228,23.3411587204,23.3434378538
229,23.3443714021,23.3300716726
230,23.3435339736,23.3292564762
231,23.3437089517,23.3301423921
232,23.3439441945,23.3297244012
233,23.3443206844,23.3302545477
234,23.3439205844,23.3292217305
235,23.3435879121,23.3295091297
236,23.3440843868,23.3286428994
237,23.3443342909,23.3292049041
238,23.3443901606,23.3286361218
239,23.3448572403,23.3293343288
240,23.5811470224,23.5567699184
241,23.577627269,23.5686278051
242,23.5779757905,23.5694674511
243,23.577155453,23.5699765103
244,23.5778709592,23.569106922
245,23.5776552707,23.5685611459
246,23.5779759325,23.5692082617
247,23.5772822197,23.5709528086
248,23.5775828521,23.5701652891
249,23.5784094245,23.5692547685
250,23.577415367,23.5699697187
251,23.5775099062,23.5695205084
252,23.7362914379,23.7214159616
253,23.7320248077,23.7300574134
254,23.7335713029,23.7306570883
255,23.7338295054,23.7291548404
256,23.733451545,23.7285059232
257,23.7329384452,23.7290100139
258,23.7326098718,23.7300551446
259,23.7337327023,23.7311689103
260,23.73322931,23.7292005564
261,23.733922286,23.7293653586
262,23.7330814244,23.731365638
263,23.7339867374,23.7308309178
264,23.275655447,23.2677570417
265,23.2767546175,23.2610415254
266,23.2757766174,23.2598928507
267,23.2762873584,23.2593890748
268,23.2760366035,23.2596744673
269,23.2760964619,23.2598234687
270,23.2752793599,23.2596328743
271,23.2756418848,23.2594231781
272,23.2768084629,23.2595850781
273,23.2766180976,23.2601858039
274,23.2765340763,23.2612045368
275,23.2762204465,23.2594396161
276,23.7554435737,23.7396493449
277,23.753294726,23.7499442819
278,23.7515233866,23.7498394935
279,23.753603893,23.7518328864
280,23.7532768261,23.7485107334
281,23.7531394185,23.7496630939
282,23.7536874836,23.7497446268
283,23.7523154377,23.7496983644
284,23.752517868,23.7504849575
285,23.7537187183,23.74972256
286,23.7538821824,23.7508765109
287,23.7538540326,23.7485167545
288,23.2661398054,23.2584629674
289,23.2682481572,23.2512820486
290,23.2672554324,23.2515971379
291,23.2670922286,23.2516957055
292,23.2667079885,23.2501926483
293,23.2675617895,23.2489564576
294,23.2670113039,23.2495339271
295,23.2665621069,23.2490123897
296,23.2670234065,23.2492347411
297,23.2658108945,23.2515090245
298,23.2669726403,23.248906777
299,23.2674251842,23.248501866
300,23.5534277988,23.5243998473
301,23.548519385,23.5403613215
302,23.5491392584,23.5411807885
303,23.5487048164,23.5394356048
304,23.5491327738,23.5401194523
305,23.5488295936,23.5403891221
306,23.5490483886,23.540924426
307,23.5487695063,23.5396306137
308,23.5489132582,23.5412194168
309,23.5484578805,23.5393976181
310,23.5487968039,23.539408019
311,23.5491207149,23.5413987469
312,23.8248963506,23.8045427733
313,23.8206988001,23.8183926644
314,23.8225203547,23.8188923911
315,23.8207952016,23.8215988633
316,23.8217621233,23.8183333356
317,23.8212779543,23.820265229
318,23.8219752446,23.8186275344
319,23.8217852573,23.8198942165
320,23.8221779754,23.8184621368
321,23.8214783404,23.8204069285
322,23.8223783452,23.8194352636
323,23.8224588948,23.821429188
324,23.712525919,23.7176619674
325,23.7147972388,23.7121347822
326,23.7145812432,23.7084858776
327,23.7148233859,23.7089499872
328,23.7140299742,23.7116997139
329,23.7144917305,23.7102583744
330,23.7140894981,23.7100195086
331,23.7147670411,23.7093549614
332,23.7153915084,23.7091744854
333,23.7150372035,23.7099184648
334,23.7140907312,23.7113519451
335,23.7149083566,23.7086849528
336,23.3439151689,23.3364409345
337,23.3463861744,23.3284243742
338,23.344186469,23.3304646949
339,23.3441562941,23.3288227682
340,23.3449173518,23.3299703849
341,23.3441871598,23.3294499486
342,23.345194839,23.3301345204
343,23.3450444661,23.3311652995
344,23.3444170426,23.329142369
345,23.3450097216,23.3287089194
346,23.3441240756,23.3295367969
347,23.3439676781,23.3305702691
348,23.6317190406,23.6047793615
