,prediction,real
0,23.4131789249,23.4000309833
1,23.4118363082,23.3997035382
2,23.4126276486,23.3998411491
3,23.4124944221,23.3993237379
4,23.4123542837,23.3996718341
5,23.4123800959,23.400619759
6,23.411984675,23.3998994961
7,23.4120866257,23.5037025349
8,23.5317456751,23.5098554635
9,23.5212576454,23.5103944136
10,23.52227048,23.5097107935
11,23.5220174171,23.5099178807
12,23.5222982492,23.5106804823
13,23.5221186991,23.5101443994
14,23.5225831012,23.510166119
15,23.52245409,23.5093181748
16,23.5226341635,23.5110984192
17,23.5223933375,23.5110046753
18,23.5229669086,23.5106086077
19,23.5225105943,23.6429123805
20,23.6693305731,23.6491364829
21,23.6574620184,23.6502132978
22,23.6587912096,23.6494447138
23,23.6592319189,23.6499727825
24,23.6585995852,23.6498605132
25,23.6585063709,23.6498444024
26,23.6586801132,23.6498353919
27,23.658120367,23.6498281079
28,23.6585959413,23.649821953
29,23.6584568264,23.6498167957
30,23.6589347054,23.6498124648
31,23.658299958,23.3411380974
32,23.3225594136,23.3299307347
33,23.3491231838,23.3298473409
34,23.3466607275,23.3297783852
35,23.3470537092,23.3297931335
36,23.3464889476,23.3297981499
37,23.3467344001,23.3298078372
38,23.3468134497,23.3298174109
39,23.3467615287,23.3298295754
40,23.3465307827,23.3298371901
41,23.346544758,23.3298419934
42,23.3468085045,23.3298458733
43,23.3467956248,23.7627038011
44,23.809726198,23.769721382
45,23.7730374397,23.7703411393
46,23.775293329,23.770627518
47,23.7751479206,23.7705415101
48,23.7755290315,23.7702422987
49,23.7752601747,23.7702851388
50,23.7745612166,23.7703823224
51,23.7752845528,23.7710961915
52,23.7752147223,23.7704476549
53,23.775182774,23.7702049131
54,23.7751112285,23.7701714114
55,23.7747248719,23.5625189076
56,23.5422549033,23.5512590774
57,23.5603376609,23.5496697805
58,23.5598625233,23.5506427239
59,23.5601895758,23.5495161176
60,23.5601883353,23.5504035783
61,23.5603555458,23.5511385085
62,23.559849757,23.5505388745
63,23.5596919717,23.5494222077
64,23.5602448959,23.5502668667
65,23.560096961,23.5512426317
66,23.5600427069,23.5514554474
67,23.5605029184,23.5306133836
68,23.5394734754,23.5301826939
69,23.5409456716,23.5298250117
70,23.5414555678,23.5303285165
71,23.540806756,23.5294555288
72,23.5417504063,23.5309992167
73,23.5413045722,23.5306944779
74,23.5411556321,23.531387173
