,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,sp0,m,rh
0,0,-2.29166666667,0.0,910.589141162,23.7590636084,23.7678228913,23.771124491,23.7595531813,23.4767133444,23.75,3.14520632053,76405.9914619
1,1,-1.78333333333,0.0,910.589141162,23.752917065,23.7515860924,23.7500004418,23.7500262726,23.446061795,23.75,4.52698585885,112285.724497
2,2,-1.275,0.0,910.589141162,23.7489085601,23.7510665514,23.7518262303,23.7500130747,23.4026938249,23.75,3.83240545479,94533.821945
3,3,-0.766666666667,0.0,910.589141162,23.7504260659,23.7482756122,23.7483494709,23.7499808835,23.3638137116,23.75,4.01741585764,99230.0924263
4,4,-0.258333333333,0.0,910.589141162,23.7494585845,23.74949534,23.7523162661,23.7499114901,23.334470658,23.75,4.00699045844,98899.6582523
5,5,0.25,0.0,910.589141162,23.749674271,23.7516604212,23.7490758948,23.7499703623,23.3129475863,23.75,4.02073364257,99272.6124607
6,6,0.758333333333,0.0,910.589141162,23.7510156965,23.7494671295,23.7518942188,23.7495714076,23.2960276638,23.75,4.01108457339,99166.1190326
7,7,1.26666666667,0.0,910.589141162,23.7484712754,23.7505863197,23.7492722949,23.7499229546,23.2815460693,23.75,3.99540026261,98556.0736091
8,8,1.775,0.0,910.589141162,23.7500113061,23.7510097066,23.7507097641,23.7502352695,23.2686085559,23.75,3.99980960811,98825.2939621
9,9,2.28333333333,0.0,910.589141162,23.7480256796,23.7493389382,23.7475981744,23.7499468676,23.2569724924,23.75,3.96396928825,97770.6138957
10,10,2.79166666667,0.0,910.589141162,23.7485786819,23.7470827537,23.7497989443,23.749749244,23.2464996784,23.75,3.95887523873,97715.485931
11,11,3.3,0.0,910.589141162,23.749148354,23.7498176792,23.7490376156,23.7500664269,23.2371419715,23.75,3.92176886493,96864.290058
12,12,3.20833333333,0.0,910.589141162,23.9293065429,23.9253175127,23.9220946653,23.9347269941,23.2305439959,23.94,4.92097551682,121552.01131
13,13,3.11666666667,0.0,910.589141162,23.9385022483,23.9376620033,23.9385394395,23.9399698689,23.2391261945,23.94,3.92164664093,96877.0320305
14,14,3.025,0.0,910.589141162,23.9402857558,23.9403303283,23.9422801001,23.9399077503,23.2531012505,23.94,4.42544292686,109381.157553
15,15,2.93333333333,0.0,910.589141162,23.9408361329,23.9419705367,23.9394004904,23.940215856,23.2632981238,23.94,4.32680093201,107015.613611
16,16,2.84166666667,0.0,910.589141162,23.9401080444,23.941487766,23.9423308745,23.9398474164,23.2677333908,23.94,4.3322125839,107075.746167
