,prediction,real
0,23.7471913368,
1,23.7535531074,23.7503379417
2,23.7533241373,23.7505123705
3,23.7504891402,23.7504600176
4,23.752346771,23.7503918778
5,23.754188841,23.7495114582
6,23.7511516016,23.7504545263
7,23.7520716167,23.7500517452
8,23.7526580911,23.7494480005
9,23.7534073193,23.7497699049
10,23.7541162851,23.7497985205
11,23.752139547,23.7502632699
12,23.9407600561,23.9304179329
13,23.9371354382,23.9399652581
14,23.9381880301,23.9388330187
15,23.9369130058,23.9393442503
16,23.9389871709,23.93941211
17,23.9379516825,23.9388033233
18,23.9360155747,23.9403800882
19,23.9373973624,23.939960887
20,23.9365902899,23.9406349297
21,23.9388879758,23.9391782129
22,23.9364695808,23.9391602658
23,23.9391425096,23.9399149555
24,23.9778365561,23.9771243867
25,23.9764042829,23.9796636024
26,23.9757285222,23.9803954974
27,23.9753845267,23.979915989
28,23.9770308416,23.9790802384
29,23.9752161415,23.9807649983
30,23.976686341,23.9806972363
31,23.9769335296,23.9792533707
32,23.9756992772,23.9800316072
33,23.9745905315,23.9792874386
34,23.974973844,23.979916215
35,23.9746088259,23.9811173221
36,24.0362978246,24.0378048028
37,24.035978559,24.0388258704
38,24.0333364284,24.04067834
39,24.0330924095,24.0408685551
40,24.0334501072,24.0400690776
41,24.035162685,24.0391577708
42,24.0345767417,24.0408504116
43,24.0340171801,24.0409606094
44,24.0335494001,24.0397894914
45,24.0343646919,24.0407691181
46,24.0347741053,24.0402672925
47,24.0330392814,24.0410989846
48,24.1022092459,24.1070163542
49,24.1019625483,24.1108029092
50,24.1018031576,24.1093379542
51,24.1037252912,24.1099378477
52,24.102173075,24.1099291328
53,24.1034048804,24.1093900929
54,24.1056255664,24.1088304179
55,24.1011157608,24.1107455235
56,24.1011144964,24.1110971724
57,24.1027617717,24.1102025745
58,24.1040220079,24.109140698
59,24.1028106986,24.1106732141
60,24.2405713073,24.242479457
61,24.2382676451,24.249036391
62,24.2381463333,24.2505345288
63,24.2366417682,24.250322987
64,24.2380878197,24.2505039363
65,24.2395321138,24.2492559268
66,24.2386368311,24.2499795375
67,24.2405356102,24.249816438
68,24.2399730319,24.2491670697
69,24.2405048887,24.2488005588
70,24.2394596923,24.2488913582
71,24.2369936864,24.2492853604
72,24.1380380569,24.1554487034
73,24.1419430727,24.1502506075
74,24.141637995,24.1497803648
75,24.1403816066,24.1506383437
76,24.1416871428,24.1488002739
77,24.1413750671,24.150332982
78,24.1410464442,24.1488239312
79,24.1402252706,24.1501745902
80,24.1414688922,24.1506543869
81,24.1397592744,24.1500858397
82,24.1410225705,24.1492210099
83,24.1393593379,24.150752992
84,23.9705916846,23.9883327502
85,23.9753038341,23.9816677987
86,23.976570486,23.9798791078
87,23.9751630849,23.9810509396
88,23.9767291873,23.9796885281
89,23.9758147582,23.9789903997
90,23.9758981545,23.9799760361
91,23.9751183685,23.9800219452
92,23.9772971802,23.9794228947
93,23.976535941,23.9790962678
94,23.9764836299,23.9795623685
95,23.9748737739,23.9809153782
96,23.7562585759,23.7711379298
97,23.7619493671,23.7608878567
98,23.7609534686,23.7604187085
99,23.7616721619,23.7595107555
100,23.7606374287,23.760704498
101,23.7609420697,23.7609528335
102,23.7602916032,23.7600438155
103,23.7629182653,23.7599683334
104,23.76196228,23.7600872978
105,23.7596047157,23.760982269
106,23.7611182927,23.7598711306
107,23.759553928,23.7612076938
108,23.892360233,23.8827032535
109,23.8873825142,23.8888217491
110,23.8878725431,23.8899278364
111,23.8889592458,23.8895482291
112,23.8876798903,23.8895009678
113,23.8891365367,23.8899785206
114,23.8876083171,23.8905692292
115,23.8882503279,23.8909974598
116,23.8874537315,23.8911762465
117,23.8881818949,23.8911940241
118,23.88654538,23.8911711841
119,23.8874695187,23.8912399598
120,23.464797216,23.4709773287
121,23.4718739848,23.4588990471
122,23.4695561081,23.4596728693
123,23.4701733899,23.4598145443
124,23.4708107964,23.4602718749
125,23.4698677854,23.4604576009
126,23.4712087183,23.459896933
127,23.470641223,23.4602926488
128,23.4705911548,23.4593353549
129,23.4707238565,23.4606111598
130,23.4691892438,23.4595499833
131,23.4706369615,23.4601115546
132,23.5568348167,23.5459131816
133,23.5575723717,23.5492953459
134,23.5571067615,23.5497464728
135,23.5579670791,23.5504002692
136,23.5577215883,23.5499360493
137,23.5579065561,23.5505636046
