,prediction,real
0,23.4128817397,23.3999107528
1,23.4041538433,23.4008900866
2,23.4099317041,23.3997043563
3,23.4064595069,23.4005466
4,23.4092206778,23.400075802
5,23.4068328793,23.400027879
6,23.4081060139,23.3999544568
7,23.4059436053,23.5053124401
8,23.5992050246,23.5097182222
9,23.455316567,23.5095599866
10,23.5637907669,23.5095552241
11,23.4817396043,23.5103554009
12,23.5446505543,23.5100791565
13,23.4967447989,23.5098800622
14,23.5341565839,23.5098608389
15,23.504342657,23.5098511088
16,23.527192023,23.5098425538
17,23.5100952831,23.5098346367
18,23.5234994759,23.5098271501
19,23.5114287071,23.6433992438
20,23.7629134312,23.6494707174
21,23.5726413573,23.6495412618
22,23.718261763,23.6505453561
23,23.6075123795,23.6500394233
24,23.6908251848,23.6504236475
25,23.6268520103,23.6498915348
26,23.677578649,23.6502440038
27,23.6378115177,23.649501233
28,23.6686320742,23.6508866786
29,23.6446253392,23.6498615671
30,23.6630101062,23.65031027
31,23.6478676746,23.340347259
32,23.1094521962,23.3305977187
33,23.5158379195,23.329806274
34,23.2068410355,23.3297361878
35,23.4412278631,23.3297405118
36,23.2635094295,23.3297358605
37,23.3971171734,23.3297307787
38,23.2959431173,23.329727011
39,23.3734218176,23.3297231594
40,23.3144814017,23.3297211167
41,23.3600409294,23.3297187778
42,23.3250055256,23.3297164373
43,23.3509089679,23.763901268
44,24.0890872635,23.769532374
45,23.5337942094,23.7707103662
46,23.9547596562,23.7708227896
47,23.6369241808,23.7702721913
48,23.8765253017,23.7699551794
49,23.696462519,23.7699430318
50,23.8319144306,23.7700983659
51,23.7287330394,23.7701901299
52,23.8069503251,23.7699750123
53,23.74797207,23.7708668453
54,23.7930669428,23.7705127515
55,23.7587233742,23.5634433843
56,23.4059466386,23.5511094443
57,23.6712529865,23.5496695128
58,23.4686911345,23.5508217469
59,23.6227131578,23.5498557348
60,23.5073649497,23.5504654391
61,23.5937002343,23.5505724827
62,23.5272825644,23.5502528679
