,prediction,real
0,21.3452339519,21.3333833511
1,21.336105102,21.3220873637
2,21.3333499489,21.3113197224
3,21.3275533261,21.3014851299
4,21.3252954651,21.2942309816
5,21.3228707018,21.2900301702
6,21.3198625974,21.2885764232
7,21.3192743092,21.2919008461
8,21.3350244265,21.3244456106
9,21.3415120046,21.3504815912
10,21.3454101628,21.3676327133
11,21.3494929645,21.3832046844
12,21.3547460774,21.4018641687
13,21.3647899278,21.4244689088
14,21.3745085881,21.4505600571
15,21.3823590133,21.4791543357
16,21.3923483088,21.5095479975
17,21.4014295044,21.5413866174
18,21.4161839166,21.5745270745
19,21.4249864823,21.6019582125
20,21.4541763509,21.6551194126
21,21.47050201,21.698756479
22,21.487792036,21.730339621
23,21.5039189883,21.7574321248
24,21.5224284166,21.7848746358
25,21.5417309738,21.8135933251
26,21.5621800606,21.8427000107
27,21.5784076567,21.8714544196
28,21.5974012588,21.8993251424
29,21.6150093797,21.9264292084
30,21.6316698423,21.9526559076
31,21.6499088458,22.0850976948
32,21.6466376575,22.0939733588
33,21.6612175531,22.0780026819
34,21.6659842225,22.0702195567
35,21.6703625025,22.0818687215
36,21.67600332,22.1061328489
37,21.6812575201,22.1332704163
38,21.6837809283,22.1584841258
39,21.6859626328,22.1801766088
40,21.6899510276,22.1991266861
41,21.6942696353,22.2160267418
42,21.6974440856,22.2308427907
43,21.6978221159,22.2716338112
44,21.7168691784,22.3634437725
45,21.7234542329,22.4142583745
46,21.7372205752,22.4293819585
47,21.7477053158,22.4338676492
48,21.7559639756,22.4407411777
49,21.7606547094,22.4511024715
50,21.7660475955,22.4620813427
51,21.7694193198,22.4718642318
52,21.776171256,22.4802127161
53,21.7864508439,22.4875915384
54,21.7939366765,22.494725041
55,21.799343438,22.5294550869
56,21.7767372463,22.5113845118
57,21.7753376603,22.4687181498
58,21.7700902756,22.4334294199
59,21.7688111063,22.4133649002
60,21.7653676969,22.4024561797
61,21.7643614985,22.3940040552
62,21.7628602104,22.3849963312
63,21.760923043,22.3753945987
64,21.7589890987,22.3660413508
65,21.7552429032,22.3574956336
66,21.7571896043,22.3498489362
67,21.7588852028,22.3578421615
68,21.7549011766,22.3621450931
69,21.7468536455,22.3639851509
70,21.7443877353,22.3644613771
71,21.7396137037,22.3652722151
72,21.7353714853,22.3671437407
73,21.7337876381,22.3699616564
74,21.7320004095,22.3732590867
75,21.7274391136,22.376598311
76,21.7220322109,22.37955601
77,21.7220564067,22.3817788542
78,21.7170334811,22.383238244
79,21.7124727413,22.3725675069
80,21.7436709012,22.406843406
81,21.745521856,22.4288702484
82,21.7513865363,22.4334507128
83,21.7539905788,22.4300055063
84,21.755530846,22.4261863894
85,21.7545871862,22.4236136712
86,21.7554984773,22.4214083181
87,21.7520960258,22.4187240226
88,21.7542533634,22.4153996747
89,21.7589323955,22.4117603651
90,21.7542997288,22.4081981465
91,21.7519086682,22.5136380525
92,21.7533496953,22.4667578344
93,21.7417856517,22.3836222571
94,21.7216847841,22.3198359606
95,21.704495802,22.2870408445
96,21.6860687102,22.2723620033
97,21.6708571107,22.2626405317
98,21.6552782669,22.2524373875
99,21.6379875094,22.2415728344
100,21.6199793394,22.2309580862
101,21.6018959084,22.22096165
102,21.58677588,22.2113513859
103,21.5717129796,22.1890019451
104,21.5679209016,22.1868193766
105,21.5577797374,22.1841494491
106,21.5463249977,22.1773231159
107,21.53411349,22.1669076768
108,21.5214535571,22.1548640454
109,21.5080534107,22.1424789039
110,21.4969078439,22.1300240998
111,21.4869905369,22.1174551442
112,21.4740047445,22.1048580819
113,21.4630913829,22.0922662463
114,21.4512375353,22.0796435967
115,21.4408460856,22.0454105584
116,21.4308208789,22.0039459019
117,21.4271714179,21.9741400007
118,21.4210580703,21.9582649755
119,21.4146106361,21.9499434675
120,21.406298642,21.9437516408
121,21.4060043858,21.9377897588
122,21.4065991348,21.9321632757
123,21.4006448375,21.9275250999
124,21.3929721355,21.924195704
125,21.3904259971,21.9220385163
126,21.389275804,21.9208692776
127,21.3866043339,21.9164642217
128,21.4190721941,21.9339411151
129,21.4238960227,21.9537657197
130,21.4279169927,21.9627078576
131,21.4318371889,21.9613704563
132,21.4316916996,21.9553753626
133,21.4339106109,21.9485099434
134,21.4364530212,21.9417902472
135,21.4366834099,21.9352041723
136,21.4415038222,21.928352837
137,21.4477971837,21.9211429784
138,21.4527060175,21.9136264529
139,21.4564499263,21.9079914467
140,21.4639914511,21.9076605464
141,21.4653046118,21.9091683291
142,21.4685647197,21.9099636133
143,21.4700008685,21.9097651263
144,21.4714504621,21.9092472236
145,21.4756623422,21.9087097417
146,21.4711301682,21.908397816
147,21.4712923101,21.9083373233
148,21.4705477086,21.9083830992
149,21.4718477378,21.9084514241
150,21.4697926621,21.9085339306
151,21.4671112194,21.907429583
152,21.4935904615,21.9294415267
153,21.5053961233,21.9550532368
154,21.5148550979,21.9703458635
155,21.5250542699,21.975474553
156,21.5318557973,21.9757333471
157,21.5395168179,21.9748055125
158,21.5492582613,21.9737907572
159,21.5592728026,21.9726293716
160,21.5613936705,21.9710567336
161,21.5713444219,21.9690434466
162,21.577104759,21.9665518261
163,21.5818565573,22.0413091034
164,21.5669631201,22.0044175578
165,21.5604006827,21.9205044761
166,21.5575519397,21.8565887584
167,21.554493688,21.8255535913
168,21.55236338,21.813049358
169,21.5475382406,21.8049624873
170,21.542220275,21.7959599604
171,21.5373463462,21.7861384168
172,21.5288136263,21.77667545
173,21.5277146322,21.7682872733
174,21.526811717,21.7607784349
175,21.5208320042,21.7550763604
176,21.5012401712,21.7378644767
177,21.4954171048,21.719659859
178,21.4868580362,21.7075643107
179,21.4763009016,21.7011927867
180,21.4663147994,21.6976030934
181,21.4602718733,21.6947635216
182,21.4580049239,21.6921265621
183,21.4544101405,21.6897465015
184,21.4480872589,21.6877369259
185,21.4446259555,21.685935953
186,21.4371875404,21.6845741435
187,21.4281760845,21.6881692215
188,21.4603677415,21.7203722409
189,21.468579342,21.7577916126
190,21.4713918217,21.7828251337
191,21.4771136316,21.79581827
192,21.4836833663,21.8034142294
193,21.4849465492,21.8099966626
194,21.4886333226,21.8168806167
195,21.4922831148,21.8237046762
196,21.4949295825,21.8300555379
197,21.4978981757,21.83583528
198,21.4993207466,21.8410698921
199,21.5030648545,21.8428652445
200,21.4715610666,21.8101434153
201,21.4589746466,21.7696340082
202,21.4516643959,21.7406218818
203,21.4473575901,21.7238275428
204,21.4384980707,21.7131008918
205,21.4354608961,21.7036048264
206,21.4248475445,21.6939577944
207,21.4171390599,21.6844939934
208,21.4107943392,21.6755896825
209,21.4098550719,21.6673271873
210,21.4059686558,21.6596423805
211,21.4030494142,21.6874256439
212,21.4197279526,21.7308824077
213,21.4253402732,21.766191875
214,21.432962772,21.7842040457
215,21.4432539082,21.7909117623
216,21.4498932685,21.7937904712
217,21.4534442421,21.7965668405
218,21.4591681426,21.7994726958
219,21.4676571954,21.8020361016
220,21.4684571722,21.8038979796
221,21.4731940579,21.8051933927
222,21.4772851105,21.8059753547
223,21.4819457773,21.8299321097
224,21.5042052168,21.8702986883
225,21.5196491911,21.9086678957
226,21.5315541983,21.9334472162
227,21.5465438056,21.9469732643
228,21.5592116064,21.9553254651
229,21.5781817103,21.9623742477
230,21.5895242383,21.9693604228
231,21.5986916308,21.976155233
232,21.6113458942,21.9824781066
233,21.6252393234,21.9882268581
234,21.6319207009,21.9935492351
235,21.6375254867,22.0049772519
236,21.6696655477,22.033781509
237,21.6896625479,22.0657353446
238,21.7101797785,22.0874434105
239,21.7252817061,22.0988651384
240,21.7376553697,22.1050448024
241,21.7534005024,22.1098206716
242,21.7719392178,22.1144282196
243,21.785734035,22.1187735725
244,21.7932153178,22.122543778
245,21.8040100511,22.1256200327
246,21.8144656059,22.1281388736
247,21.8305898706,22.1336751195
248,21.8418605552,22.1422822246
249,21.851289289,22.153006902
250,21.8650086766,22.1652255522
251,21.8731970624,22.1782114187
252,21.8847764354,22.1916319093
253,21.8987006948,22.2053832516
254,21.9015517561,22.2194760468
255,21.9088317143,22.2337242172
256,21.9233292944,22.2481127388
257,21.936969165,22.2630582541
258,21.9442051351,22.2784782484
259,21.9477143546,22.2884144023
260,21.9186503478,22.259932944
261,21.919895495,22.2215651316
262,21.9226581444,22.1940105104
263,21.9244336214,22.1789380496
264,21.9298480491,22.1699434042
265,21.9293815857,22.1620692661
266,21.9271080997,22.1539222462
267,21.9258193714,22.145582255
268,21.929638139,22.1376126166
269,21.932474367,22.1302727704
270,21.9385693239,22.1234442108
271,21.9420742365,22.2093914206
272,21.9228592604,22.1687455349
273,21.9162070723,22.07549199
274,21.9070999457,22.0056052156
275,21.8976438957,21.9743395302
276,21.885464056,21.9662743874
277,21.8732179014,21.9655496511
278,21.8596814446,21.9651015784
279,21.8518916254,21.9642007406
280,21.8446283797,21.9640354495
281,21.8366710452,21.9650726373
282,21.8291177253,21.9672466094
283,21.8208771328,21.965664393
284,21.8195341829,21.9649433628
285,21.8164856751,21.9625048845
286,21.8114256272,21.9573517576
287,21.8075328769,21.950215778
288,21.8040855902,21.9425224417
289,21.8056529008,21.935510726
290,21.8069632779,21.9296827817
291,21.8066334846,21.9249970283
292,21.8018575911,21.9215135152
293,21.7952054259,21.9193682159
294,21.7937534873,21.9186255684
295,21.7906000643,21.9214512228
296,21.8130934953,21.9543244286
297,21.824627269,21.9919147187
298,21.8294860555,22.0207780592
299,21.8297628563,22.0412635592
300,21.8338730135,22.0581840005
301,21.8370007579,22.0750437221
302,21.846804193,22.0927566222
303,21.8539418986,22.1111698577
304,21.8584740446,22.1300318609
305,21.8595801439,22.1490982479
306,21.8662131128,22.1682805238
307,21.8730118826,22.2920965778
308,21.8603263943,22.2876969419
309,21.8574427845,22.2436736131
310,21.8491648328,22.2104635309
311,21.8440727189,22.2052581574
312,21.837987176,22.2202087913
313,21.8344881321,22.243182132
314,21.8320531244,22.2675990934
315,21.8297520645,22.2920274527
316,21.8275722158,22.3169710979
317,21.8279247455,22.342935471
318,21.8263226845,22.3700427137
319,21.8249559707,22.3849300764
320,21.8409956768,22.4210856307
321,21.8438163142,22.4515205455
322,21.8506046244,22.4750428308
323,21.8550017533,22.4938151618
324,21.8604599432,22.5101931278
325,21.8675570905,22.5253687114
326,21.8707566408,22.5396605183
327,21.8735173947,22.5529582603
328,21.8788047438,22.5651634946
329,21.8829015435,22.5764037284
330,21.8886647814,22.5867760419
331,21.8936215834,22.5934788354
332,21.9062045711,22.6160439543
333,21.9142156863,22.6411135001
334,21.9227185929,22.6647752551
335,21.9327056982,22.6865738814
336,21.9400309407,22.707520436
337,21.9492833246,22.7284438693
338,21.9567323016,22.7496903565
339,21.9647574454,22.7712401573
340,21.9719269654,22.7929992975
341,21.9769384007,22.8149480269
342,21.9843162753,22.8370546045
343,21.9903428586,22.8498668381
344,22.019348178,22.8681882494
345,22.0316374602,22.8871186503
346,22.0473774376,22.9011069338
347,22.0606466409,22.9093381598
348,22.0748660756,22.9133045919
349,22.0895311445,22.9149422187
350,22.1030851902,22.9154356786
351,22.1198640491,22.9155128569
352,22.1326597109,22.9155203713
353,22.1452666911,22.9155850235
354,22.1658601204,22.9159389951
355,22.1788224845,22.9496471767
356,22.2105793548,23.0283641804
357,22.2293832525,23.0899745159
358,22.2547616654,23.1257234571
359,22.2806690659,23.1476346352
360,22.3055461549,23.1666448871
361,22.3332043887,23.1871939897
362,22.3604756617,23.2092952468
363,22.3849398916,23.2317487691
364,22.4109775083,23.2534958785
365,22.4394136729,23.2740314416
366,22.4661466535,23.2933654964
367,22.4927641948,23.308847807
368,22.5547120602,23.3534035468
369,22.5902835348,23.4033740962
370,22.619321298,23.4399167396
371,22.6473369403,23.4606012743
372,22.6736376973,23.4708539789
373,22.6997214551,23.4759819108
374,22.729101264,23.4787335529
375,22.7516334601,23.4799090177
376,22.772868543,23.4792181532
377,22.793992806,23.4763760176
378,22.820484806,23.4715176665
379,22.8423532791,23.5300600565
380,22.8361214431,23.4866903428
381,22.8441066463,23.402328727
382,22.8452582619,23.3295633833
383,22.8458908128,23.2863289005
384,22.8473772577,23.2651649556
385,22.8490675662,23.2536804326
386,22.8489121584,23.2442138626
387,22.8520937229,23.2342445813
388,22.8556419314,23.2239141025
389,22.8584643027,23.2138999885
390,22.8573129162,23.2045872413
391,22.8583418836,23.230313664
392,22.87899329,23.2954924012
393,22.8892215992,23.3364864793
394,22.908073118,23.3484092161
395,22.9215832244,23.3459023817
396,22.9331872287,23.3405962075
397,22.9433374875,23.3366456608
398,22.9539504096,23.3339332701
399,22.9635339434,23.331417653
400,22.9762677726,23.3287141337
401,22.9886760506,23.3257948836
402,23.0008236134,23.3228199902
403,23.011520156,23.3196484889
404,23.032567763,23.3294456381
405,23.0433825884,23.3421481147
406,23.0547142463,23.3494953689
407,23.0652709376,23.3503918833
408,23.074082126,23.3471917235
409,23.0848496384,23.3422527516
410,23.0917678552,23.3370130988
411,23.0998530439,23.3317072205
412,23.1031095588,23.3262658272
413,23.1142070967,23.3207754919
414,23.1251692376,23.3153242898
415,23.1278753948,23.3090690163
416,23.1141471748,23.2877959291
417,23.1138883698,23.2627643565
418,23.1141466502,23.2428145704
419,23.1158673825,23.2290373605
420,23.1168161914,23.2190813142
421,23.1210240346,23.2108503044
422,23.1187688301,23.2032330155
423,23.1229145961,23.1959746242
424,23.1306213271,23.1892619205
425,23.1300503923,23.1830598699
426,23.1354339637,23.1774091025
427,23.1406991794,23.1723928798
428,23.1324821108,23.1581304577
429,23.1313444195,23.1421369732
430,23.1341529647,23.1299891665
431,23.1321101946,23.1221153485
432,23.1296617479,23.1165040832
433,23.1269042151,23.1115672695
434,23.1256664933,23.1065276539
435,23.1238582572,23.10134404
436,23.1243499921,23.0961295265
437,23.116943723,23.0908830626
438,23.1128422514,23.0855542361
439,23.1052140026,23.0961217205
440,23.1191298901,23.1444169879
441,23.1268693837,23.1804347323
442,23.135757308,23.1993034555
443,23.1412576622,23.2125569633
444,23.1480449748,23.2239381775
445,23.1532988988,23.2343360372
446,23.1579676656,23.2442126241
447,23.1618611411,23.2537052905
448,23.1662773073,23.2629801353
449,23.1727833592,23.2721702369
450,23.1766560557,23.2813333152
451,23.1800531888,23.2864469449
452,23.1802790179,23.2846512165
453,23.1831523566,23.2817477409
454,23.1856741361,23.2791166448
455,23.1880985617,23.2763388126
456,23.1902072998,23.2732994006
457,23.1939232099,23.2699785321
458,23.1964880201,23.2665056943
459,23.1999795481,23.2629170177
460,23.2029493031,23.2592032174
461,23.2077699709,23.2553613686
462,23.2110279414,23.2515005035
463,23.2156693097,23.2490389857
464,23.1951316684,23.2263944762
465,23.1862070709,23.19978212
466,23.1819845854,23.1816190618
467,23.1738276729,23.1729183001
468,23.1735347821,23.1696616516
469,23.1697652933,23.1682030424
470,23.1686866145,23.1670704749
471,23.1630867132,23.1658906338
472,23.1640506576,23.1649940614
473,23.1643461787,23.1646455616
474,23.1627013636,23.1647427055
475,23.1640255564,23.1645867673
476,23.1494411389,23.15552053
477,23.1437356058,23.1444564899
478,23.1386566949,23.136650536
479,23.1316912858,23.1326392743
480,23.1262126452,23.1306676528
481,23.1267409679,23.1293537943
482,23.1302146437,23.128138986
483,23.1286919939,23.1270019339
484,23.1268221703,23.1259130716
485,23.1263340975,23.1249510229
486,23.1237040009,23.1242041043
487,23.1222255464,23.1228339559
488,23.1143049946,23.1173466609
489,23.1132792368,23.110666971
490,23.1070649543,23.1049102844
491,23.1070566735,23.1004679847
492,23.1034576122,23.0967240606
493,23.1023359435,23.0931605557
494,23.1014087357,23.089544997
495,23.1004428002,23.0858527696
496,23.0941098496,23.0820870063
497,23.0881496967,23.0784417862
498,23.0802083045,23.0746916542
499,23.0745951969,23.0721186654
500,23.0619370925,23.0644513978
501,23.0621121594,23.0565026092
502,23.0570394474,23.0515644598
503,23.0531628241,23.0497705671
504,23.0557764193,23.0497547246
505,23.0525704629,23.0504660974
