,prediction,real
0,72588.2635026,65156.4018319
1,67968.3281317,60166.2384746
2,72524.5673349,64286.0940165
3,67555.7361179,59687.2251037
4,68243.3592467,58892.3849321
5,67406.089009,58015.1994461
6,73052.7622952,62387.5569773
7,67721.4170438,57288.9716062
8,68975.0828739,57648.6963895
9,75474.4064618,63086.3162845
10,67624.2906378,57032.9183379
11,72954.1732557,59117.9731375
12,66155.6692397,56965.3755328
13,68750.3149589,57125.1483109
14,65613.3576371,56941.4309111
15,79972.3139893,64914.6492913
16,65202.2844221,56931.7171972
17,71990.2195914,57903.95962
18,64792.9502758,56900.7856752
19,64928.3438878,56893.447374
20,65218.3191652,56885.9586627
21,70438.9177982,56973.1589114
22,65009.4671764,56868.4093836
23,64154.2622797,56850.1593481
24,68566.7904893,56918.7107132
25,63547.0496161,56826.5674188
26,63662.5573091,56818.6645581
27,65246.572554,56839.5783279
28,63699.9760157,56803.4592041
29,62536.7253606,56781.362652
30,64541.1035676,56803.0813278
31,67229.1922367,56848.031878
32,63019.1825224,56766.0617686
33,61950.9644341,56745.7173369
34,67348.4847586,56836.2995655
35,62923.3860449,56745.4918751
36,61928.6639138,56731.6795671
37,60895.8559748,56716.2882504
38,61454.2310699,56723.7877738
39,60485.6268584,56710.0717614
40,60861.96825,56716.0396172
41,62854.6149343,56751.0772984
42,61038.1697192,56721.3379566
43,60791.5189626,56720.3846173
44,59460.0730763,56702.32559
45,59821.7454336,56707.749282
46,59111.0395198,56701.7541345
47,59502.9759498,56706.58418
48,58980.1044069,56697.5361877
49,59668.6653057,56708.0556262
50,59092.546941,56699.9958012
51,59525.9666836,56706.7975129
52,58953.0343391,56697.9403323
53,63091.0112093,56776.6116407
54,58844.8165114,56698.1594554
55,59610.6185126,56708.3939891
56,59034.9999497,56700.2847636
57,59393.6316336,56705.3216647
58,61970.656805,56752.5951241
59,59530.0652197,56707.5332683
60,59884.1865157,56719.0193698
61,58844.8345828,56710.5275141
62,61943.9437524,56778.4297136
63,58945.6482835,56733.947062
64,58888.2722844,56734.8352341
65,60968.0127882,56778.770942
66,58844.7651431,56752.7243835
67,59259.6980813,56767.8737742
68,59607.9730635,56780.9084678
69,58871.568596,56776.6587131
70,64694.864394,56908.454847
71,58844.7753388,56797.4017203
72,58844.7021735,56795.033164
73,58844.7293576,56793.877124
74,59198.3098429,56800.0469912
75,63422.0254262,56895.924443
76,59529.2252246,56808.470037
77,62797.2755475,56877.869004
78,59745.4484319,56814.5235868
79,59444.13523,56808.6770065
80,65479.8034052,56938.8641457
81,59221.067588,56805.6586562
82,58869.562495,56799.3803818
83,58844.8207411,56797.3594942
84,86497.6315777,72758.4033773
85,60606.4451714,56866.9407571
86,65946.3283413,56997.4645568
87,61800.9231388,56911.4498747
88,84194.1477782,72467.8327534
89,66897.363393,57345.9517024
90,87632.0870632,76404.2622932
91,63634.3025741,57013.5773008
92,66593.3963034,58149.7313885
93,71089.6172165,63073.1793749
94,111269.681953,101629.336711
95,82138.7896792,71486.0967516
96,73932.5927456,65170.8453205
97,65666.6507776,58140.5976319
98,67072.3271468,59356.547032
99,73151.5419406,64756.0695048
