,prediction,real
0,22.186430399,
1,22.1687100499,22.17511784
2,22.1514115877,22.1576235
3,22.1344604746,22.14161158
4,22.1171794182,22.12494276
5,22.0998656764,22.10739998
6,22.0824088925,22.08966044
7,22.0643915993,22.07248425
8,22.0477732131,22.05657749
9,22.0300957934,22.03933963
10,22.012114098,22.0216875
11,21.9944503271,22.00431186
12,21.9765774157,21.98666342
13,21.9593940477,21.96916585
14,21.9430801383,21.95256119
15,21.9259742852,21.93537781
16,21.9103331766,21.91970663
17,21.8944638646,21.90392891
18,21.8790393122,21.88854463
19,21.8627313399,21.87285901
20,21.8477170831,21.85780502
21,21.8317783364,21.84296566
22,21.816351882,21.82731411
23,21.7998773452,21.81062775
24,21.7831092515,21.79478595
25,21.7682977293,21.77988575
26,21.7520781554,21.76363411
27,21.7363735624,21.74788786
28,21.7211698075,21.73285373
29,21.7064070993,21.7181385
30,21.6900768874,21.70289189
31,21.6749321512,21.6885108
32,21.6592541371,21.67262381
33,21.6432080748,21.65644885
34,21.627495372,21.64072901
35,21.6125698806,21.62574785
36,21.5969790717,21.61110137
37,21.5821945475,21.59716395
38,21.5670908366,21.58169687
39,21.5519670167,21.56650098
40,21.5368684509,21.55127475
41,21.5220022905,21.53645866
42,21.5080963923,21.52255085
43,21.4935956654,21.50819032
44,21.4791707128,21.49479185
45,21.465185193,21.48054626
46,21.4498199504,21.46531856
47,21.4361979577,21.45148531
48,21.4316647283,21.44333289
49,21.4209674674,21.4328408
50,21.4138163062,21.42572176
51,21.4055157024,21.41729426
52,21.3987162323,21.41053187
53,21.3918124139,21.40360726
54,21.3854713046,21.39730476
55,21.3792554728,21.39152135
56,21.3737063288,21.38592349
57,21.3680186987,21.38029389
58,21.3633254577,21.3756099
59,21.3799869999,21.37175141
60,21.3820588013,21.37299692
61,21.4027780441,21.39445467
62,21.4207431231,21.41264463
63,21.4351444488,21.42720222
64,21.4484256114,21.4407772
65,21.4610276856,21.45358561
66,21.4739272176,21.4668391
67,21.4881336285,21.48145147
68,21.5028121186,21.49664061
