,t1,w1,t2
0,21.24792116,22.19269075,21.68055698
1,21.2390707,22.17511784,21.67142081
2,21.22461528,22.1576235,21.65607055
3,21.21399425,22.14161158,21.64543255
4,21.19142894,22.12494276,21.62119226
5,21.17316133,22.10739998,21.59945331
6,21.1633746,22.08966044,21.58861611
7,21.1537422,22.07248425,21.57871238
8,21.13182278,22.05657749,21.55441143
9,21.11319969,22.03933963,21.53168474
10,21.09693609,22.0216875,21.51122354
11,21.0814672,22.00431186,21.49207495
12,21.06660174,21.98666342,21.47376379
13,21.05212077,21.96916585,21.45624939
14,21.04341747,21.95256119,21.44646315
15,21.03474464,21.93537781,21.43747817
16,21.02321561,21.91970663,21.42527027
17,21.01217023,21.90392891,21.41368776
18,20.99966059,21.88854463,21.40043367
19,20.98808019,21.87285901,21.3880803
20,20.96988345,21.85780502,21.36760066
21,20.9597354,21.84296566,21.35620566
22,20.93719434,21.82731411,21.32955806
23,20.92902878,21.81062775,21.31976101
24,20.91961442,21.79478595,21.3094184
25,20.89828186,21.77988575,21.28431088
26,20.8891527,21.76363411,21.27324995
27,20.87813528,21.74788786,21.26073246
28,20.86745766,21.73285373,21.24889229
29,20.85492791,21.7181385,21.23478783
30,20.84395202,21.70289189,21.22260865
31,20.82127847,21.6885108,21.19587611
32,20.80381237,21.67262381,21.17285832
33,20.79540107,21.65644885,21.16253846
34,20.78558776,21.64072901,21.15129112
35,20.77464518,21.62574785,21.13888746
36,20.76464027,21.61110137,21.12786719
37,20.74388505,21.59716395,21.10354124
38,20.72537991,21.58169687,21.08026865
39,20.71898284,21.56650098,21.07234923
40,20.70922981,21.55127475,21.06111148
41,20.69985994,21.53645866,21.05085407
42,20.6888332,21.52255085,21.03850093
43,20.67893528,21.50819032,21.02767127
44,20.66711275,21.49479185,21.01460885
45,20.64671181,21.48054626,20.98969773
46,20.63973504,21.46531856,20.98171284
47,20.62754322,21.45148531,20.96774298
48,20.62165827,21.44333289,20.95780101
49,20.69725731,21.4328408,20.95007851
50,20.68078864,21.42572176,20.94726214
51,20.67474301,21.41729426,20.9420154
52,20.66998662,21.41053187,20.93732917
53,20.66438163,21.40360726,20.93200177
54,20.65938658,21.39730476,20.92722422
55,20.6540024,21.39152135,20.92234455
56,20.64418276,21.38592349,20.91310651
57,20.64024908,21.38029389,20.90997571
58,20.63463659,21.3756099,20.90595737
59,20.63030038,21.37175141,20.90325911
60,21.07096622,21.37299692,20.9145687
61,21.02472114,21.39445467,20.99486919
62,21.02577371,21.41264463,21.00903329
63,21.02859329,21.42720222,21.02948932
64,21.03008312,21.4407772,21.04742694
65,21.03060614,21.45358561,21.06122209
66,21.03099299,21.4668391,21.0762732
67,21.0308106,21.48145147,21.0887776
68,21.030426,21.49664061,21.10236412
69,21.02984365,21.51307914,21.1143245
70,21.02915007,21.53028336,21.12550985
71,21.02832697,21.54804029,21.13843055
72,21.04265444,21.58468768,21.15851948
73,21.05594819,21.61569689,21.17420622
74,21.07218094,21.64736939,21.19934319
75,21.07897203,21.67668358,21.21750817
76,21.09251429,21.70745533,21.25452819
77,21.09549257,21.73909733,21.26882255
78,21.1006232,21.76815584,21.29086084
79,21.10516657,21.79719765,21.31228761
80,21.11037297,21.8254057,21.33622091
81,21.11515986,21.85351825,21.35787687
82,21.12520515,21.88047335,21.40446714
83,21.12937676,21.90904695,21.42400812
84,21.30454803,22.02106013,21.45245425
85,21.43385116,22.11841969,21.50160039
86,21.5413343,22.20450401,21.55771967
87,21.62569984,22.28243951,21.61704963
88,21.71366136,22.35319095,21.68688624
89,21.79375845,22.42486748,21.76281946
90,21.85979672,22.49679111,21.83217815
91,21.98446267,22.56462124,21.97208624
92,22.02261151,22.63896197,22.02656464
93,22.10913759,22.70846148,22.14767732
94,22.17620054,22.78132552,22.24966578
95,22.10913297,22.85343923,22.29332152
96,22.15324112,22.91014324,22.36810683
97,22.20156716,22.97527094,22.40508819
98,22.29540714,23.03596989,22.49565934
99,22.33453118,23.10137554,22.54146435
100,22.37683772,23.16459622,22.59400948
101,22.41971033,23.22562121,22.65056273
102,22.45910907,23.28623964,22.70416078
103,22.53320924,23.34383255,22.81132378
104,22.41621629,23.4058737,22.8411259
105,22.49316153,23.44906557,22.88462853
106,22.53299368,23.5043672,22.92906563
107,22.60004313,23.55726016,22.98625576
108,22.64718435,23.61404251,23.03833456
109,22.69690079,23.66809617,23.09762897
110,22.73216843,23.72407066,23.15306558
111,22.38293294,23.77722228,23.15951122
112,22.40479371,23.78811466,23.16140999
113,22.6135841,23.81824216,23.21604482
114,22.55037112,23.86794855,23.26174104
115,22.7809016,23.91336872,23.35908785
116,22.5257355,23.97395178,23.34962613
117,22.73490136,23.99889137,23.42019771
118,22.67247293,24.0544609,23.45280404
119,22.85302312,24.09693231,23.51013138
120,22.88865321,24.15405416,23.56392437
121,22.9900348,24.20697283,23.62328543
122,22.8525652,24.2631649,23.6603387
123,22.88995393,24.30789898,23.70584715
124,22.90737933,24.35381937,23.74729725
125,23.16044289,24.40000422,23.84873106
126,22.93094498,24.45876092,23.86314326
127,23.18945274,24.4942158,23.94176573
128,23.08230441,24.55045112,24.01759668
129,22.77002315,24.5987632,23.96766666
130,22.62405724,24.57389602,23.89610611
131,22.76218191,24.57695004,23.93661192
132,22.91501944,24.59886121,23.98083887
133,23.03375751,24.62450758,24.03350876
134,22.49862661,24.65864772,23.92913813
135,22.83562496,24.61216727,23.99086896
136,22.80618084,24.64625182,24.01500076
137,22.79577624,24.66593975,24.03561802
138,23.01788249,24.68986804,24.08831637
139,23.11786699,24.72502613,24.13601885
140,23.17455442,24.76087396,24.18395193
141,23.00574942,24.79224936,24.2289176
142,22.6672023,24.81845968,24.1159731
143,22.79924928,24.78137677,24.13592883
144,23.13503177,24.81431012,24.1970771
145,23.20622581,24.86978878,24.23689701
146,22.83382629,24.91155391,24.17061838
147,23.0274654,24.87938981,24.21031072
148,22.68705702,24.9197193,24.11125359
149,23.04086381,24.88333442,24.14314599
150,23.06566861,24.93037294,24.20592849
151,23.13955066,24.95775098,24.27235401
152,23.29266879,24.99533933,24.33117607
153,23.22265483,25.03800301,24.36750913
154,23.41959369,25.0636476,24.42392023
155,23.56225397,25.1058256,24.49127057
156,23.34317238,25.15419832,24.56356718
157,23.56003467,25.18181488,24.58693731
158,22.98905165,25.21885531,24.46507945
159,23.1219933,25.16630938,24.42131985
160,23.06560382,25.1725066,24.45133761
161,23.13959762,25.17814559,24.45743851
162,23.247013,25.18834643,24.50246663
163,22.7246575,25.2157089,24.33016548
164,22.73901255,25.13835551,24.25561944
165,22.96064767,25.13512053,24.31394488
166,22.95942469,25.15133999,24.28896273
167,22.93266882,25.12565229,24.33367326
168,22.83508504,25.14083242,24.24519244
169,22.78797579,25.09725474,24.22059222
170,23.29189317,25.07517025,24.29547869
171,23.03095834,25.12450152,24.34935648
172,22.9430252,25.14841455,24.29555067
