,t1,w1,t2
0,23.49593911,36.4560527,26.99977367
1,23.49255417,36.45433693,26.99972754
2,23.48880183,36.45253804,26.99954521
3,23.48267021,36.45071562,26.99936019
4,23.47860776,36.44882797,26.99963712
5,23.47444786,36.44676081,26.999498
6,23.46925503,36.44476758,26.99962897
7,23.4644161,36.44263914,26.99948103
8,23.45482444,36.44055416,26.99970407
9,23.44760371,36.43817973,26.99980152
10,23.4414919,36.43578829,26.99949157
11,23.43563688,36.43346435,26.9992522
12,23.43167672,36.43105145,26.93961871
13,23.4231291,36.42734859,26.99017573
14,23.41885283,36.4252289,26.88745585
15,23.41272195,36.41708081,26.98188683
16,23.40350878,36.41755927,26.9974815
17,23.3975236,36.41567682,26.96394456
18,23.39190074,36.41325653,26.88027447
19,23.37976825,36.40494592,26.96437119
20,23.37487754,36.40406132,26.99427547
21,23.36379267,36.40312868,26.9395091
22,23.35472506,36.39975786,26.93069019
23,23.35095528,36.39670671,26.97957268
24,23.34422209,36.39442859,26.96252883
25,23.33801977,36.39261688,26.98894067
26,23.33089447,36.39009099,26.9981839
27,23.32420703,36.38805157,26.99940358
28,23.3162897,36.38580887,26.99990507
29,23.30943083,36.38327644,26.89221415
30,23.30124828,36.37522897,26.95439268
31,23.29424593,36.37548645,26.98652206
32,23.28576962,36.37293705,26.97609098
33,23.27877764,36.37086951,26.99291167
34,23.27040416,36.3682975,26.96420052
35,23.26329236,36.36571867,26.98940634
36,23.2490684,36.3628907,26.99693054
37,23.2386382,36.36014288,26.999163
38,23.23003731,36.35731581,26.99981646
39,23.22179806,36.35445298,27.00001673
40,23.21368221,36.35156299,27.00007597
41,23.20565306,36.34866296,27.00009349
42,23.20102774,36.3457669,27.000155
43,23.19106643,36.34300349,27.000092
44,23.18650733,36.34007557,27.00022901
45,23.17993844,36.33743886,27.00019645
46,23.17021658,36.33468239,27.00027886
47,23.16473258,36.33208811,27.00029481
48,23.16290237,36.3346183,27.00009631
49,23.15922262,36.33478742,27.00001529
50,23.15817474,36.33450797,26.99999628
51,23.15526715,36.33413579,26.999997
52,23.15302943,36.33354757,26.99999525
53,23.15190508,36.33285771,26.99999193
54,23.15059511,36.33212117,26.99998605
